experiment_id,area,replication_id,target_block_time,weight_epoch_length,setup_blocks,final_height,wpoa_sortition_delta,wpoa_sortition_lambda,wpoa_randao_lookback,dumpfunction,malus_enabled,wpoa_malus_mu,wpoa_malus_max,malus_points_equiv_delay_selfwrite_badweight,weight_kappa,weight_alpha,weight_lambda,mining_diversity,shadow_seed,poesia_rng_seed,rtt_max_between_miners_ms,n_measured_blocks,n_rounds_with_scores,measured_epochs,fully_measured_epochs,inversion_rate,inversion_wilson95_low,inversion_wilson95_high,inversion_with_fork_n,inversion_n,sigma_S1_s,sigma_S2_s,inversion_bound_S1,inversion_bound_S2,inversion_mc_prob_gaussian_S2,gof_pooled_method,gof_pooled_p,gof_pooled_min_expected,gof_pooled_mc_round_by_round_p,TV_pooled,MaxAE_pooled,epochs_gof_reject_alpha05,epochs_gof_tested,ks_beta_pooled_p,ks_mc_pooled_p,G_median_over_Dmax,HHI_p_hat_pooled,HHI_p_theoretical_pooled,nakamoto_1_2_p_hat,L_max_observed,L_max_mc_mean,L_max_mc_p,BlockSuccessRate,n_forks,InterBlockTime_median_s,InterBlockTime_p95_s,time_bar_violations,n_rejects,delay_recompute_mismatch_rounds,phi_mismatch_rounds,glm_beta1_logw,glm_beta1_ci_low,glm_beta1_ci_high,weight_recompute_mismatches,weight_rows,gini_delta_last,gini_delta_slope,gini_verdict,spearman_rho_to_w_next_pooled,spearman_p_pooled,malus_registry_records,xlsx
run1-tbt-15s,continentale,1,15,12,60,169,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60828,20260828,21.242,109,109,10,8,0.073394,0.037657,0.138178,3,8,0.010621,0.673531,0.039347,0.625705,0.074442,chi2_asymptotic,0.514091,9.260549,0.522974,0.050671,0.050671,1,10,5.5e-05,0.282592,0.6272,0.516202,0.472294,1,20,8.3471,0.0026,0.95614,5,16.0,22.0,0,0,0,0,1.767954,1.278255,2.257653,0,45,-0.176338,-0.006887,published Gini grows slower than input Gini,0.503746,0.002802,0,run1-tbt-15s/continentale/phase3/run1-tbt-15s__continentale.xlsx
run1-tbt-15s,intercontinentale,1,15,12,60,172,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60828,20260828,91.5,112,112,10,8,0.035714,0.013975,0.088247,2,4,0.04575,0.824962,0.104166,0.716288,0.093326,chi2_asymptotic,0.197306,9.52654,0.186941,0.055678,0.055678,2,10,0.000362,0.071358,0.587133,0.46875,0.471389,1,7,8.2542,0.757224,0.965517,4,16.0,22.0,0,0,0,1,1.188475,0.802729,1.574221,0,45,-0.185947,-0.009028,published Gini grows slower than input Gini,0.502586,0.003959,0,run1-tbt-15s/intercontinentale/phase3/run1-tbt-15s__intercontinentale.xlsx
run1-tbt-15s,nazionale,1,15,12,60,173,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60828,20260828,10.206,113,113,10,8,0.053097,0.02456,0.111021,5,6,0.005103,0.762371,0.024137,0.679583,0.084796,chi2_asymptotic,0.726773,9.54935,0.747413,0.036222,0.036222,0,10,3e-06,0.169172,0.530533,0.498943,0.472443,1,8,8.3798,0.582242,0.889764,13,14.0,22.0,0,0,0,0,1.631118,1.170034,2.092201,0,45,2e-06,0.001485,amplification by feedback (published Gini grows faster than input Gini),0.498867,0.003125,0,run1-tbt-15s/nazionale/phase3/run1-tbt-15s__nazionale.xlsx
run1-tbt-15s,regionale,1,15,12,60,167,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60828,20260828,3.766,107,107,9,8,0.11215,0.065329,0.185854,8,12,0.001883,0.753032,0.012417,0.674021,0.082463,chi2_asymptotic,0.328904,8.970105,0.326934,0.069307,0.069307,1,9,0.080655,0.468001,0.4552,0.53009,0.474668,1,16,8.3864,0.015298,0.884298,14,16.0,22.0,0,0,0,4,1.673559,1.207402,2.139716,0,42,2e-06,-0.001812,published Gini grows slower than input Gini,0.520541,0.003188,0,run1-tbt-15s/regionale/phase3/run1-tbt-15s__regionale.xlsx
run2-tbt-10s,continentale,1,10,12,64,324,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60827,20260827,21.242,260,260,23,21,0.092308,0.062815,0.133672,10,24,0.010621,0.692067,0.051559,0.83488,0.106993,chi2_asymptotic,0.939857,20.401884,0.949303,0.009441,0.009441,2,23,1e-05,0.480985,0.5487,0.511953,0.517852,1,12,12.029,0.49695,0.925267,20,11.0,15.0,0,0,0,7,1.532255,1.285946,1.778564,0,84,-0.173213,6.4e-05,no amplification: published inequality mirrors the inputs,0.301126,0.017392,0,run2-tbt-10s/continentale/phase3/run2-tbt-10s__continentale.xlsx
run2-tbt-10s,intercontinentale,1,10,12,64,327,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60827,20260827,91.5,263,263,23,21,0.091255,0.06209,0.132188,11,24,0.04575,0.662542,0.136496,0.810963,0.100637,chi2_asymptotic,0.048354,20.55144,0.050597,0.04012,0.04012,0,23,1e-06,0.730451,0.5874,0.55003,0.518682,1,17,12.1382,0.091191,0.916376,21,11.0,15.0,0,0,0,8,1.755711,1.487727,2.023695,0,84,-0.174562,-0.000671,published Gini grows slower than input Gini,0.299956,0.016921,0,run2-tbt-10s/intercontinentale/phase3/run2-tbt-10s__intercontinentale.xlsx
run2-tbt-10s,nazionale,1,10,12,64,329,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60827,20260827,10.206,265,265,23,21,0.10566,0.07412,0.14847,11,28,0.005103,0.69284,0.031628,0.835502,0.103823,chi2_asymptotic,0.141622,20.816844,0.140493,0.053905,0.053905,2,23,0.0,0.082425,0.6306,0.570637,0.518818,1,13,12.1765,0.387961,0.939716,17,11.0,15.0,0,0,0,4,1.774086,1.504918,2.043254,0,84,-0.162981,-0.001949,published Gini grows slower than input Gini,0.301012,0.017437,0,run2-tbt-10s/nazionale/phase3/run2-tbt-10s__nazionale.xlsx
run2-tbt-10s,regionale,1,10,12,64,325,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60827,20260827,3.766,261,261,23,21,0.130268,0.094739,0.176523,13,34,0.001883,0.655317,0.016271,0.805057,0.101358,chi2_asymptotic,0.001358,20.449129,0.0022,0.078827,0.078827,2,23,0.0,0.48221,0.5702,0.611574,0.51695,1,13,12.027,0.367763,0.925532,21,11.0,15.0,0,0,0,8,2.224595,1.903757,2.545433,0,84,-0.003101,-0.002158,published Gini grows slower than input Gini,0.294695,0.018086,0,run2-tbt-10s/regionale/phase3/run2-tbt-10s__regionale.xlsx
run3-tbt-5s,continentale,1,5,12,98,420,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60827,20260827,21.242,322,322,28,26,0.173913,0.136423,0.219092,28,56,0.010621,0.71126,0.081844,1.0,0.184511,chi2_asymptotic,0.056069,28.237744,0.056247,0.063054,0.063054,1,28,0.0,0.665853,0.598,0.577235,0.512551,1,25,12.5446,0.0037,0.865591,47,6.0,8.0,0,0,0,7,2.034762,1.771431,2.298093,0,108,4e-06,0.000873,amplification by feedback (published Gini grows faster than input Gini),0.436942,4.1e-05,0,run3-tbt-5s/continentale/phase3/run3-tbt-5s__continentale.xlsx
run3-tbt-5s,intercontinentale,1,5,12,98,421,0.5,0.2,1,none,true,0.5,4,4/0.25/1/2,100,0.2,0.5,0.0,60827,20260827,91.5,323,323,28,26,0.136223,0.103065,0.177932,17,44,0.04575,0.643867,0.216674,1.0,0.169679,chi2_asymptotic,5.7e-05,29.027572,0.00015,0.115503,0.115503,3,28,0.0,0.224064,0.6372,0.63941,0.510125,1,34,12.5034,0.0002,0.909859,31,6.0,8.0,0,0,0,6,2.339188,2.047534,2.630841,0,108,4e-06,-8.2e-05,no amplification: published inequality mirrors the inputs,0.488963,4e-06,0,run3-tbt-5s/intercontinentale/phase3/run3-tbt-5s__intercontinentale.xlsx
