run_id,livello,tbt,blocchi_misurati,consecutivi_osservati,consecutivi_attesi
run1-tbt-15s/continentale,continentale,15,109,72,55.75
run1-tbt-15s/intercontinentale,intercontinentale,15,112,55,52.03
run1-tbt-15s/nazionale,nazionale,15,113,64,55.88
run1-tbt-15s/regionale,regionale,15,107,64,56.19
run2-tbt-10s/continentale,continentale,10,260,158,132.6
run2-tbt-10s/intercontinentale,intercontinentale,10,263,172,144.11
run2-tbt-10s/nazionale,nazionale,10,265,171,150.65
run2-tbt-10s/regionale,regionale,10,261,175,159.01
run3-tbt-5s/continentale,continentale,5,322,227,185.29
run3-tbt-5s/intercontinentale,intercontinentale,5,323,221,205.89
run3-tbt-5s/nazionale,nazionale,5,317,226,184.39
run3-tbt-5s/regionale,regionale,5,318,240,197.55
run4-tbt-3s/continentale,continentale,3,393,313,230.75
run4-tbt-3s/intercontinentale,intercontinentale,3,391,340,274.08
run4-tbt-3s/nazionale,nazionale,3,385,308,225.89
run4-tbt-3s/regionale,regionale,3,387,313,239.58
run5-tbt-2s/continentale,continentale,2,451,372,251.43
run5-tbt-2s/intercontinentale,intercontinentale,2,455,404,308.29
run5-tbt-2s/nazionale,nazionale,2,459,394,292.26
run5-tbt-2s/regionale,regionale,2,458,384,281.48
