run_id,livello,tbt,host,epoche,spearman_fee_vs_rho,p_fee_vs_rho,n_fee_vs_rho,spearman_entrate_vs_rho,p_entrate_vs_rho,n_entrate_vs_rho,spearman_rho_vs_peso_successivo,p_rho_vs_peso_successivo,n_rho_vs_peso_successivo
run1-tbt-15s/continentale,continentale,15,m1,15,0.590624,0.020435,15,0.590097,0.020576,15,0.650027,0.022122,12
run1-tbt-15s/continentale,continentale,15,m2,15,0.546661,0.034974,15,0.24988,0.369085,15,0.650027,0.022122,12
run1-tbt-15s/continentale,continentale,15,m3,15,0.46225,0.082772,15,0.022901,0.935433,15,0.743392,0.021695,9
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,15,0.590624,0.020435,15,0.590097,0.020576,15,0.67235,0.02342,11
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,15,0.590624,0.020435,15,0.272352,0.32608,15,0.675441,0.022555,11
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,15,0.546661,0.034974,15,0.022716,0.935954,15,0.743392,0.021695,9
run1-tbt-15s/nazionale,nazionale,15,m1,15,0.433013,0.106908,15,0.433013,0.106908,15,0.502288,0.115371,11
run1-tbt-15s/nazionale,nazionale,15,m2,15,0.433013,0.106908,15,-0.123718,0.660457,15,0.485504,0.109582,12
run1-tbt-15s/nazionale,nazionale,15,m3,15,0.402443,0.13697,15,-0.309295,0.261965,15,0.537086,0.109402,10
run1-tbt-15s/regionale,regionale,15,m1,14,0.608312,0.020985,14,0.607644,0.021165,14,0.67082,0.023856,11
run1-tbt-15s/regionale,regionale,15,m2,14,0.608312,0.020985,14,0.405096,0.15075,14,0.702728,0.023424,10
run1-tbt-15s/regionale,regionale,15,m3,14,0.559471,0.037504,14,0.025346,0.93146,14,0.75,0.019942,9
run2-tbt-10s/continentale,continentale,10,m1,28,0.446417,0.017251,28,0.446356,0.017268,28,0.366047,0.093851,22
run2-tbt-10s/continentale,continentale,10,m2,28,0.429424,0.02258,28,0.197454,0.313862,28,0.371474,0.088719,22
