run_id,livello,tbt,host,address,esg,cluster
run1-tbt-15s/continentale,continentale,15,c1,1D6PJV75UTxj8dgm531atGexacCGEWfyMmy77a,77.16,m1
run1-tbt-15s/continentale,continentale,15,c2,15HZnWPZSNEEfD441Fp18f5CFLmHAebH9Etao8,99.26,m1
run1-tbt-15s/continentale,continentale,15,c3,1Hi5s8Rww46YtnHuDvgJhomtaW9DDqgYPMbF5m,92.76,m2
run1-tbt-15s/continentale,continentale,15,c4,1KLJEbmB4XPjt4kR62F7CTatfoBVmQuSJHsqA4,70.53,m2
run1-tbt-15s/continentale,continentale,15,c5,1Rdfp1jsXm439C5pmQy5Unm4Dgv7365vr4KK6U,76.32,m3
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,26.46,m1
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,24.17,m2
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,17.5,m3
run1-tbt-15s/intercontinentale,intercontinentale,15,c1,1UuhZp1mdeDYsyGLjYW5jNAt2zzn8daSqBfRWU,77.16,m1
run1-tbt-15s/intercontinentale,intercontinentale,15,c2,1N5pZ9ATziUiTe4C94diXTBbe8YUFs5Jf6EyW3,99.26,m1
run1-tbt-15s/intercontinentale,intercontinentale,15,c3,1Qph1f5EVvmrppqhVvLm5vqef9o4Cs7NPz7c41,92.76,m2
run1-tbt-15s/intercontinentale,intercontinentale,15,c4,12tdJgQEva9Mg1Y4mEbyXRLYtyyd6zQFwcVdQU,70.53,m2
run1-tbt-15s/intercontinentale,intercontinentale,15,c5,1Vr49SApRPcTMV1J6XEUWPiSbhRLWCHkZdTC7w,76.32,m3
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,26.46,m1
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,24.17,m2
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,17.5,m3
run1-tbt-15s/nazionale,nazionale,15,c1,1Y5QRkhzARWsjpX6bCWXciUpGN8T2ze3WhG63W,77.16,m1
run1-tbt-15s/nazionale,nazionale,15,c2,161et7NmSyvnXFLeGZdKmT2B2Jrn6V4cLW2GqV,99.26,m1
