run_id,livello,tbt,host,address,blocchi,quota_osservata,peso_ultimo,quota_attesa,delay_campioni,delay_medio_s,delay_min_s,delay_max_s,delay_pos_in_banda
run1-tbt-15s/continentale,continentale,15,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,7,0.06422,12849,0.09153,117,21.22,7.918,22.767,0.9147
run1-tbt-15s/continentale,continentale,15,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,30,0.27523,42596,0.30343,117,18.997,7.754,22.767,0.7665
run1-tbt-15s/continentale,continentale,15,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,72,0.66055,84937,0.60504,117,16.87,7.238,22.629,0.6247
run1-tbt-15s/intercontinentale,intercontinentale,15,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,70,0.625,91646,0.60462,119,16.317,7.262,22.567,0.5878
run1-tbt-15s/intercontinentale,intercontinentale,15,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,14,0.125,12849,0.08477,120,21.064,8.579,22.783,0.9043
run1-tbt-15s/intercontinentale,intercontinentale,15,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,28,0.25,47081,0.31061,120,18.814,7.851,22.627,0.7543
run1-tbt-15s/nazionale,nazionale,15,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,9,0.07965,12849,0.08604,122,21.12,8.105,23.033,0.908
run1-tbt-15s/nazionale,nazionale,15,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,31,0.27434,44838,0.30026,122,18.758,7.549,22.941,0.7505
run1-tbt-15s/nazionale,nazionale,15,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,73,0.64602,91646,0.6137,122,15.777,7.271,22.455,0.5518
run1-tbt-15s/regionale,regionale,15,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,8,0.07477,12849,0.08604,116,21.046,7.843,22.898,0.9031
run1-tbt-15s/regionale,regionale,15,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,26,0.24299,44838,0.30026,116,18.819,7.87,22.85,0.7546
run1-tbt-15s/regionale,regionale,15,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,73,0.68224,91646,0.6137,116,16.663,7.325,22.428,0.6109
run2-tbt-10s/continentale,continentale,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,20,0.07692,13358,0.07309,272,13.891,4.808,15.148,0.8891
run2-tbt-10s/continentale,continentale,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,172,0.66154,123285,0.6746,272,10.885,4.801,15.05,0.5885
run2-tbt-10s/continentale,continentale,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,68,0.26154,46111,0.25231,272,12.751,4.826,15.149,0.7751
run2-tbt-10s/intercontinentale,intercontinentale,10,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,181,0.68821,115186,0.65951,276,10.831,4.652,15.046,0.5831
run2-tbt-10s/intercontinentale,intercontinentale,10,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,10,0.03802,13358,0.07648,276,14.234,5.355,15.183,0.9234
run2-tbt-10s/intercontinentale,intercontinentale,10,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,72,0.27376,46111,0.26401,276,12.519,4.603,15.166,0.7519
run2-tbt-10s/nazionale,nazionale,10,m2,19kvdJGdyLyMu8NcGpqistnByR71TSqfptkRQe,53,0.2,41030,0.24196,277,12.905,5.075,15.16,0.7905
run2-tbt-10s/nazionale,nazionale,10,m3,1PZ3gzLZ6RaKq1ZtUUs5657xvQwtwxQH2tMqJa,20,0.07547,13358,0.07877,276,14.157,5.682,15.217,0.9157
run2-tbt-10s/nazionale,nazionale,10,m1,1adtRPUq4ybX3pziYy2xMkFSGwepw299oQivBt,192,0.72453,115186,0.67927,276,10.708,4.853,15.061,0.5708
run2-tbt-10s/regionale,regionale,10,m1,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,195,0.74713,113689,0.67641,273,10.805,4.565,15.009,0.5805
run2-tbt-10s/regionale,regionale,10,m2,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,60,0.22989,41030,0.24411,273,12.66,4.841,15.083,0.766
run2-tbt-10s/regionale,regionale,10,m3,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,6,0.02299,13358,0.07948,273,14.271,5.185,15.183,0.9271
run3-tbt-5s/continentale,continentale,5,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,23,0.07143,9948,0.09391,343,6.912,2.55,7.548,0.8824
run3-tbt-5s/continentale,continentale,5,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,64,0.19876,25787,0.24343,343,6.316,2.412,7.533,0.7632
run3-tbt-5s/continentale,continentale,5,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,235,0.72981,70199,0.66267,343,5.266,2.33,7.482,0.5531
run3-tbt-5s/intercontinentale,intercontinentale,5,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,54,0.16718,25787,0.24343,346,6.422,2.392,7.55,0.7843
run3-tbt-5s/intercontinentale,intercontinentale,5,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,17,0.05263,9948,0.09391,346,6.995,2.598,7.55,0.8989
run3-tbt-5s/intercontinentale,intercontinentale,5,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,252,0.78019,70199,0.66267,346,5.272,2.253,7.507,0.5544
run3-tbt-5s/nazionale,nazionale,5,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,232,0.73186,62099,0.65225,337,5.406,2.329,7.473,0.5812
run3-tbt-5s/nazionale,nazionale,5,m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,67,0.21136,23161,0.24327,337,6.322,2.205,7.495,0.7643
run3-tbt-5s/nazionale,nazionale,5,m3,1Z8u3jdAAsLX6vgyujHKQGSGEEhYiELHoQV1ac,18,0.05678,9948,0.10449,337,6.946,2.272,7.533,0.8892
run3-tbt-5s/regionale,regionale,5,m1,12zTjgCumTMomJBYYnuKAixmrhW7dXX12NKDwg,242,0.76101,70199,0.64766,340,5.351,2.374,7.483,0.5703
run3-tbt-5s/regionale,regionale,5,m2,1B6r6YPpfhSzpSvUo39JkyfYERxVrLyDC1ai7u,66,0.20755,28242,0.26056,340,6.239,2.302,7.56,0.7478
run3-tbt-5s/regionale,regionale,5,m3,1CL4LiiNpuWSxPGYkh8WN8g7EnEjU4EK3kDWCA,10,0.03145,9948,0.09178,340,7.09,2.428,7.55,0.9179
run4-tbt-3s/continentale,continentale,3,m1,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,290,0.73791,45901,0.65089,425,3.204,1.369,4.475,0.568
run4-tbt-3s/continentale,continentale,3,m2,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,79,0.20102,18080,0.25638,427,3.819,1.376,4.5,0.773
run4-tbt-3s/continentale,continentale,3,m3,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,24,0.06107,6539,0.09273,426,4.147,1.424,4.5,0.8822
run4-tbt-3s/intercontinentale,intercontinentale,3,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,54,0.13811,20535,0.26542,424,3.852,1.343,4.517,0.7838
run4-tbt-3s/intercontinentale,intercontinentale,3,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,14,0.03581,5826,0.0753,424,4.101,1.403,4.533,0.867
run4-tbt-3s/intercontinentale,intercontinentale,3,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,323,0.82609,51006,0.65927,425,3.14,1.374,4.469,0.5466
run4-tbt-3s/nazionale,nazionale,3,m1,1ETD6u7wdHS6P9D1mxb1Qx3Aapa2DwAyyZutL2,285,0.74026,44404,0.62782,423,3.207,1.328,4.448,0.5689
run4-tbt-3s/nazionale,nazionale,3,m3,1LtuCHDRfFnaxMXGm2gmsN7NoezE7zExV3Cet8,28,0.07273,8243,0.11655,423,4.131,1.435,4.566,0.8769
run4-tbt-3s/nazionale,nazionale,3,m2,1WKxQntNgmP3dtjbv3UL3DHV2JEciQTnQ4K3sr,72,0.18701,18080,0.25563,422,3.768,1.39,4.555,0.7559
run4-tbt-3s/regionale,regionale,3,m3,1Fvwvr9t6JbW7AevoxRSprbvz8VvNC6RQrjo4j,21,0.05426,5826,0.07625,419,4.126,1.408,4.526,0.8752
run4-tbt-3s/regionale,regionale,3,m1,1LDi4AMPpyKL7zUKtJHfjBPmNqTCR7cePZa1hk,296,0.76486,52503,0.68713,421,3.181,1.35,4.533,0.5603
