run_id,livello,tbt,height,height_conferma,epoca,tipo,nodo_mittente,indirizzo_mittente,nodo_destinatario,indirizzo_destinatario,importo_gas,saldo_mittente_dopo,fonte_saldo_mittente,saldo_destinatario_dopo,fonte_saldo_destinatario,note,saldo_mittente_prima
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,c1,19tmz4FYx6edh324hq22R7cbnZPZwPsSoFgkUu,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,c2,1NKfxpBVQ6Dwj42rabdPqSsTtiJPeXSLgSkZR5,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,c3,1UVoePQHSbTtPqNpKfAzFf22zUiV3RVT1NyYzU,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,c4,14Z543WVJLihcUGSe1gDjPviSg2SGY2R4ypgoj,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8044,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,c5,1CyZ6VYS93ZAFmXbPhQK61zNeinNVbWCzNybqU,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),99.8042,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.4206,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),21.0686,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),40.4352,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,6,,1,init,admin,,ca,,50.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),49.3566,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,34,,3,refill,admin,,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),4.4206,campione a height=34,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,37,,4,refill,admin,,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.076,campione a height=37,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,37,,4,refill,admin,,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),9.5822,campione a height=37,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
run2-tbt-10s/intercontinentale,intercontinentale,10,49,,5,refill,admin,,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,100.0,,non_disponibile (l'admin non e' campionato in gas_balances.csv),7.2033,campione a height=49,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia; height e' l'altezza di INVIO, non di conferma (gas_transfers.csv non porta il txid)",
