run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run4-tbt-3s/intercontinentale,intercontinentale,3,1,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,6,3,0.0,0.0,1.0,m2,0.333333,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,7,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run4-tbt-3s/intercontinentale,intercontinentale,3,8,3,0.295554,0.295554,0.856948,m1,0.598547,0.295524,0.208001,3e-05
run4-tbt-3s/intercontinentale,intercontinentale,3,9,3,0.300441,0.300441,0.834916,m1,0.628194,0.300512,0.0,-7.1e-05
run4-tbt-3s/intercontinentale,intercontinentale,3,10,3,0.346946,0.346946,0.801793,m1,0.644196,0.34696,0.184093,-1.3e-05
run4-tbt-3s/intercontinentale,intercontinentale,3,11,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,12,3,0.340851,0.340851,0.811432,m1,0.627822,0.340844,0.216668,7e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,13,2,0.389248,0.389248,0.502179,m1,0.889248,0.397331,0.276598,-0.008082
run4-tbt-3s/intercontinentale,intercontinentale,3,14,3,0.368304,0.368304,0.767676,m1,0.67839,0.368299,0.163691,5e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,15,2,0.238297,0.238297,0.829305,m1,0.738297,0.36866,0.234787,-0.130363
run4-tbt-3s/intercontinentale,intercontinentale,3,16,2,0.38737,0.38737,0.507798,m1,0.88737,0.382716,0.198152,0.004654
run4-tbt-3s/intercontinentale,intercontinentale,3,17,3,0.398314,0.398314,0.736804,m1,0.682469,0.39832,0.252398,-6e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,18,3,0.381627,0.381627,0.755233,m1,0.682784,0.381621,0.216986,5e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,19,2,0.210646,0.210646,0.867885,m1,0.710646,0.340844,0.216668,-0.130198
run4-tbt-3s/intercontinentale,intercontinentale,3,20,3,0.442832,0.442832,0.667376,m1,0.722649,0.442838,0.276118,-6e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,21,3,0.347604,0.347604,0.803279,m1,0.635537,0.347598,0.198152,5e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,22,1,0.0,0.0,0.0,m1,1.0,0.36866,0.234787,-0.36866
run4-tbt-3s/intercontinentale,intercontinentale,3,23,3,0.421865,0.421865,0.700705,m1,0.71178,0.421858,0.217341,7e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,24,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,25,2,0.343429,0.343429,0.626043,m1,0.843429,0.353989,0.163691,-0.01056
run4-tbt-3s/intercontinentale,intercontinentale,3,26,2,0.202408,0.202408,0.878328,m2,0.702408,0.380306,0.274277,-0.177899
run4-tbt-3s/intercontinentale,intercontinentale,3,27,3,0.338732,0.338732,0.813942,m1,0.625402,0.338725,0.217341,6e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,28,2,0.218845,0.218845,0.85702,m1,0.718845,0.363017,0.199512,-0.144172
run4-tbt-3s/intercontinentale,intercontinentale,3,29,3,0.402072,0.402072,0.731302,m1,0.680879,0.402064,0.234787,8e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,30,3,0.386504,0.386504,0.752709,m1,0.676069,0.386512,0.21006,-7e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,31,3,0.368667,0.368667,0.776339,m1,0.659597,0.36866,0.234787,7e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,32,2,0.241822,0.241822,0.823984,m1,0.741822,0.353989,0.163691,-0.112166
run4-tbt-3s/intercontinentale,intercontinentale,3,33,3,0.394578,0.394578,0.740665,m1,0.665741,0.394575,0.199512,3e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,34,3,0.388267,0.388267,0.747155,m1,0.687117,0.388269,0.271947,-2e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,35,3,0.36302,0.36302,0.784603,m1,0.645944,0.363017,0.199512,3e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,36,1,0.0,0.0,0.0,m2,1.0,0.374321,0.217341,-0.374321
run4-tbt-3s/intercontinentale,intercontinentale,3,37,2,0.396873,0.396873,0.478831,m1,0.896873,0.364357,0.274277,0.032516
run4-tbt-3s/intercontinentale,intercontinentale,3,38,3,0.387328,0.387328,0.746952,m1,0.689197,0.387322,0.217341,6e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,39,2,0.24014,0.24014,0.826535,m1,0.74014,0.369482,0.2286,-0.129342
run4-tbt-3s/intercontinentale,intercontinentale,3,40,3,0.376499,0.376499,0.766206,m1,0.650037,0.376492,0.216668,7e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,41,2,0.389248,0.389248,0.502179,m1,0.889248,0.397331,0.276598,-0.008082
run4-tbt-3s/intercontinentale,intercontinentale,3,42,3,0.368304,0.368304,0.767676,m1,0.67839,0.368299,0.163691,5e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,43,2,0.243848,0.243848,0.820885,m1,0.743848,0.374321,0.217341,-0.130473
run4-tbt-3s/intercontinentale,intercontinentale,3,44,3,0.389313,0.389313,0.747745,m1,0.659273,0.389309,0.215224,4e-06
run4-tbt-3s/intercontinentale,intercontinentale,3,45,0,0.0,0.0,0.0,,,0.372117,0.261024,-0.372117
