run_id,livello,tbt,epoca,n_host_con_peso,gini_peso_pubblicato,gini_peso_effettivo,entropia_normalizzata_peso,host_dominante,quota_host_dominante,gini_atteso_da_input,gini_contributi_c_i,delta_gini_pubblicato_input
run5-tbt-2s/continentale,continentale,2,1,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,2,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,6,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,7,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,9,3,0.0,0.0,1.0,m3,0.333333,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,10,0,0.0,0.0,0.0,,,0.0,0.0,0.0
run5-tbt-2s/continentale,continentale,2,11,3,0.295554,0.295554,0.856948,m1,0.598547,0.295524,0.208001,3e-05
run5-tbt-2s/continentale,continentale,2,12,3,0.300441,0.300441,0.834916,m1,0.628194,0.300512,0.0,-7.1e-05
run5-tbt-2s/continentale,continentale,2,13,0,0.0,0.0,0.0,,,0.300512,0.0,-0.300512
run5-tbt-2s/continentale,continentale,2,14,3,0.37579,0.37579,0.763491,m1,0.676302,0.375791,0.236679,-1e-06
run5-tbt-2s/continentale,continentale,2,15,3,0.346778,0.346778,0.803109,m1,0.640489,0.346779,0.264376,-1e-06
run5-tbt-2s/continentale,continentale,2,16,2,0.201424,0.201424,0.879543,m1,0.701424,0.340395,0.219199,-0.138971
run5-tbt-2s/continentale,continentale,2,17,3,0.414931,0.414931,0.711098,m1,0.706002,0.414936,0.198027,-5e-06
run5-tbt-2s/continentale,continentale,2,18,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run5-tbt-2s/continentale,continentale,2,19,3,0.325091,0.325091,0.82378,m1,0.630876,0.325081,0.194073,1e-05
run5-tbt-2s/continentale,continentale,2,20,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run5-tbt-2s/continentale,continentale,2,21,1,0.0,0.0,0.0,m2,1.0,0.388269,0.271947,-0.388269
run5-tbt-2s/continentale,continentale,2,22,3,0.332833,0.332833,0.811084,m1,0.58635,0.33284,0.219199,-7e-06
run5-tbt-2s/continentale,continentale,2,23,2,0.338847,0.338847,0.637062,m1,0.838847,0.34696,0.184093,-0.008113
run5-tbt-2s/continentale,continentale,2,24,2,0.112894,0.112894,0.962907,m2,0.612894,0.405449,0.271947,-0.292555
run5-tbt-2s/continentale,continentale,2,25,2,0.142293,0.142293,0.940763,m1,0.642293,0.284273,0.219199,-0.141979
run5-tbt-2s/continentale,continentale,2,26,2,0.380451,0.380451,0.528064,m1,0.880451,0.385128,0.184093,-0.004678
run5-tbt-2s/continentale,continentale,2,27,2,0.112894,0.112894,0.962907,m2,0.612894,0.405449,0.271947,-0.292555
run5-tbt-2s/continentale,continentale,2,28,2,0.142293,0.142293,0.940763,m1,0.642293,0.284273,0.219199,-0.141979
run5-tbt-2s/continentale,continentale,2,29,3,0.424705,0.424705,0.697102,m1,0.707483,0.42471,0.300996,-5e-06
run5-tbt-2s/continentale,continentale,2,30,3,0.31179,0.31179,0.842951,m1,0.605063,0.311783,0.160924,6e-06
run5-tbt-2s/continentale,continentale,2,31,3,0.388267,0.388267,0.747155,m1,0.687117,0.388269,0.271947,-2e-06
run5-tbt-2s/continentale,continentale,2,32,2,0.201424,0.201424,0.879543,m1,0.701424,0.340395,0.219199,-0.138971
run5-tbt-2s/continentale,continentale,2,33,3,0.430743,0.430743,0.687448,m1,0.714783,0.430745,0.271947,-2e-06
run5-tbt-2s/continentale,continentale,2,34,3,0.347879,0.347879,0.80151,m1,0.642522,0.34788,0.248932,-1e-06
run5-tbt-2s/continentale,continentale,2,35,3,0.360245,0.360245,0.779287,m1,0.668865,0.360235,0.233692,1e-05
run5-tbt-2s/continentale,continentale,2,36,2,0.202678,0.202678,0.877993,m2,0.702678,0.373585,0.238582,-0.170906
run5-tbt-2s/continentale,continentale,2,37,2,0.18099,0.18099,0.903301,m1,0.68099,0.299028,0.232597,-0.118037
run5-tbt-2s/continentale,continentale,2,38,3,0.385135,0.385135,0.755371,m1,0.668469,0.385128,0.184093,7e-06
run5-tbt-2s/continentale,continentale,2,39,3,0.365724,0.365724,0.780933,m1,0.643322,0.365727,0.274277,-3e-06
run5-tbt-2s/continentale,continentale,2,40,2,0.270412,0.270412,0.777292,m1,0.770412,0.364389,0.198027,-0.093977
run5-tbt-2s/continentale,continentale,2,41,3,0.376499,0.376499,0.766206,m1,0.650037,0.376492,0.216668,7e-06
run5-tbt-2s/continentale,continentale,2,42,3,0.37358,0.37358,0.770534,m1,0.661125,0.373585,0.238582,-5e-06
run5-tbt-2s/continentale,continentale,2,43,1,0.0,0.0,0.0,m2,1.0,0.388269,0.271947,-0.388269
run5-tbt-2s/continentale,continentale,2,44,3,0.341836,0.341836,0.809946,m1,0.617479,0.341828,0.184093,8e-06
run5-tbt-2s/continentale,continentale,2,45,2,0.347377,0.347377,0.616367,m1,0.847377,0.340395,0.219199,0.006982
run5-tbt-2s/continentale,continentale,2,46,2,0.305614,0.305614,0.710557,m1,0.805614,0.405449,0.271947,-0.099835
run5-tbt-2s/continentale,continentale,2,47,3,0.383947,0.383947,0.753633,m1,0.649684,0.383953,0.219199,-7e-06
run5-tbt-2s/continentale,continentale,2,48,3,0.398599,0.398599,0.724203,m1,0.710019,0.398606,0.283015,-8e-06
run5-tbt-2s/continentale,continentale,2,49,3,0.340851,0.340851,0.811432,m1,0.627822,0.340844,0.216668,7e-06
run5-tbt-2s/continentale,continentale,2,50,3,0.355353,0.355353,0.792266,m1,0.650126,0.355356,0.232597,-3e-06
run5-tbt-2s/continentale,continentale,2,51,2,0.2352,0.2352,0.833904,m1,0.7352,0.373585,0.238582,-0.138385
run5-tbt-2s/continentale,continentale,2,52,1,0.0,0.0,0.0,m3,1.0,0.385128,0.184093,-0.385128
run5-tbt-2s/continentale,continentale,2,53,3,0.361832,0.361832,0.777293,m1,0.670355,0.361833,0.271947,-2e-06
run5-tbt-2s/continentale,continentale,2,54,0,0.0,0.0,0.0,,,0.340395,0.219199,-0.340395
run5-tbt-2s/continentale,continentale,2,55,0,0.0,0.0,0.0,,,0.412747,0.271947,-0.412747
