run_id,livello,tbt,height_invio,height_conferma,epoca,nodo_publisher,indirizzo,miner_cluster,seq,esito,dettaglio_errore,txid
run5-tbt-2s/nazionale,nazionale,2,160,161,14,c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,m1,1,ok,,c73ee7c0851273bc0934d355789ce484e7080bbcd1e5f2ff9d79838fc0eba71b
run5-tbt-2s/nazionale,nazionale,2,160,161,14,c4,15MfkrDvfK6QQHJVoqzG9HgScKc8XrzWYXa7Sk,m2,1,ok,,2f55d48952767b146916e3f25e14db6763c65ccc78183f4b2f2815c68bf029c9
run5-tbt-2s/nazionale,nazionale,2,160,161,14,c3,1NxMuHRzQZoNq73HEYjXVA5qpYJV4MZDtF25sq,m2,1,ok,,14566d0f84a6573ce7829811b2258eca92114b3200974335c39fe3ece2b25a32
run5-tbt-2s/nazionale,nazionale,2,160,161,14,c5,1aVSyFhFdvV1dbdL22neKvqvCFxQX4rx68z1NL,m3,1,ok,,a8dcfefca5a709833ae9b996fbb6255dcb8b90ca651bb20fb42fe0d19d02d05d
run5-tbt-2s/nazionale,nazionale,2,160,161,14,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,m1,1,ok,,626b7b11cb2555605086509582b75d48fddfa9d5a6fd8f05b02603d2a8e3a047
run5-tbt-2s/nazionale,nazionale,2,163,165,14,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,m1,2,ok,,453daeac8dd53dc84320981e67a60364500b2a93ce372657e3c12f5b52b16074
run5-tbt-2s/nazionale,nazionale,2,165,166,14,c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,m1,2,ok,,f28f63470260be0ffdc5fa80884d87aa9c2abe494f2fd218cc432471a19894f6
run5-tbt-2s/nazionale,nazionale,2,167,169,15,c3,1NxMuHRzQZoNq73HEYjXVA5qpYJV4MZDtF25sq,m2,2,ok,,15b7263aa18fbdf0cd2823ebfbc9ee384e9077302a345dadc66d14b9090af013
run5-tbt-2s/nazionale,nazionale,2,167,169,15,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,m1,3,ok,,fd6c2994913ce38b010a481855169d585c7cbf906c837264013a83e1ac2e066d
run5-tbt-2s/nazionale,nazionale,2,169,171,15,c4,15MfkrDvfK6QQHJVoqzG9HgScKc8XrzWYXa7Sk,m2,2,ok,,f5f1141bcd4f57c25fa27fbc4013efcfc0f7890f5e9e3115bef0db4b13696e85
run5-tbt-2s/nazionale,nazionale,2,172,173,15,c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,m1,3,ok,,7062347057d04bde0b2e7d2f060e01c322f79fbaa921416a94280d73fd02dd3f
run5-tbt-2s/nazionale,nazionale,2,172,173,15,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,m1,4,ok,,7d22f948d314afc95515cb3abf47bb039626cfdaa7189feb9e102f8411db3005
run5-tbt-2s/nazionale,nazionale,2,172,173,15,c5,1aVSyFhFdvV1dbdL22neKvqvCFxQX4rx68z1NL,m3,2,ok,,749aa655760d1566c03c5893e6945d8c2eea7ccd3f8dd427132e2fd664440522
run5-tbt-2s/nazionale,nazionale,2,175,176,15,c3,1NxMuHRzQZoNq73HEYjXVA5qpYJV4MZDtF25sq,m2,3,ok,,15227ada3fafbca6b7cc4ed47604355e63c6cc9c03a68340fa37fb0605f60de8
run5-tbt-2s/nazionale,nazionale,2,175,176,15,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,m1,5,ok,,a5e7ad54103f38d040aceb6d6c27bc194fd91309483288ab3647e445d6c8bf5a
run5-tbt-2s/nazionale,nazionale,2,177,178,15,c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,m1,4,ok,,c158ed53b085cd2fd1fd3713c2add53f68e9eab1c51d582bc6eafd2e604ffeab
run5-tbt-2s/nazionale,nazionale,2,179,180,16,c4,15MfkrDvfK6QQHJVoqzG9HgScKc8XrzWYXa7Sk,m2,3,ok,,f52609b0d0b49353381e768be59074def21d26dec5df9a3ed3ec9ccc39793b97
run5-tbt-2s/nazionale,nazionale,2,179,180,16,c1,16RTwvjtNu8oaPEx44dk78wbLYzWZCaTwHkKxd,m1,6,ok,,9943b03fcdc33f76e9bf5b26b81398e7091a574c782918a2df2fefc5ff8ece07
run5-tbt-2s/nazionale,nazionale,2,182,184,16,c3,1NxMuHRzQZoNq73HEYjXVA5qpYJV4MZDtF25sq,m2,4,ok,,2d574f91a1b8dfba2b3c40964c869b782ea72c40cc024225b8e46992e56edd71
run5-tbt-2s/nazionale,nazionale,2,182,184,16,c2,1LffcfYRs8mVNfNV493VbkxS6mD9UAuc8gvhGz,m1,5,ok,,0a88ba434ab57f0573d6f69de038c0e5069455d16288d74cbcf99a41925a7998
