run_id,livello,tbt,height,epoca,categoria_evento,nodo_mittente,nodo_destinatario,importo,unita,note
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,c1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,c2,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,c3,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,c4,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,c5,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,m1,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,m2,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,m3,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,28,3,gas/init,admin,ca,50.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,m1,85.56,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,m2,26.46,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,m3,24.17,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,c1,17.5,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,c2,77.16,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,c3,99.26,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,c4,92.76,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,esg,ca,c5,70.53,punteggio ESG,"stream chiuso, scrive solo la CA delegata"
run5-tbt-2s/regionale,regionale,2,123,11,membership,m2,m2,,,auto-adesione del miner
run5-tbt-2s/regionale,regionale,2,123,11,membership,m1,m1,,,auto-adesione del miner
run5-tbt-2s/regionale,regionale,2,123,11,membership,c5,m3,,,adesione
run5-tbt-2s/regionale,regionale,2,123,11,membership,c4,m2,,,adesione
run5-tbt-2s/regionale,regionale,2,123,11,membership,c1,m1,,,adesione
run5-tbt-2s/regionale,regionale,2,123,11,membership,c3,m2,,,adesione
run5-tbt-2s/regionale,regionale,2,123,11,membership,m3,m3,,,auto-adesione del miner
run5-tbt-2s/regionale,regionale,2,123,11,membership,c2,m1,,,adesione
run5-tbt-2s/regionale,regionale,2,160,14,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,161,14,gas/reconcile,m2,treasury,28.5617,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,161,14,gas/reconcile,m1,treasury,45.4391,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,161,14,gas/reconcile,m3,treasury,9.5204,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,161,14,traffico,c4,stream applicativo,1,seq,ok
run5-tbt-2s/regionale,regionale,2,161,14,traffico,c5,stream applicativo,1,seq,ok
run5-tbt-2s/regionale,regionale,2,161,14,traffico,c2,stream applicativo,1,seq,ok
run5-tbt-2s/regionale,regionale,2,161,14,traffico,c3,stream applicativo,1,seq,ok
run5-tbt-2s/regionale,regionale,2,161,14,traffico,c1,stream applicativo,1,seq,ok
run5-tbt-2s/regionale,regionale,2,166,14,traffico,c1,stream applicativo,2,seq,ok
run5-tbt-2s/regionale,regionale,2,167,14,traffico,c2,stream applicativo,2,seq,ok
run5-tbt-2s/regionale,regionale,2,169,15,traffico,c3,stream applicativo,2,seq,ok
run5-tbt-2s/regionale,regionale,2,169,15,traffico,c1,stream applicativo,3,seq,ok
run5-tbt-2s/regionale,regionale,2,171,15,gas/reconcile,m3,treasury,7.6526,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,171,15,gas/reconcile,m2,treasury,11.8465,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,171,15,gas/reconcile,m1,treasury,97.229,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,171,15,traffico,c4,stream applicativo,2,seq,ok
run5-tbt-2s/regionale,regionale,2,173,15,traffico,c2,stream applicativo,3,seq,ok
run5-tbt-2s/regionale,regionale,2,173,15,traffico,c1,stream applicativo,4,seq,ok
run5-tbt-2s/regionale,regionale,2,173,15,traffico,c5,stream applicativo,2,seq,ok
run5-tbt-2s/regionale,regionale,2,174,15,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,174,15,gas/refill,admin,m2,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,176,15,traffico,c3,stream applicativo,3,seq,ok
run5-tbt-2s/regionale,regionale,2,176,15,traffico,c1,stream applicativo,5,seq,ok
run5-tbt-2s/regionale,regionale,2,178,15,traffico,c2,stream applicativo,4,seq,ok
run5-tbt-2s/regionale,regionale,2,180,16,traffico,c4,stream applicativo,3,seq,ok
run5-tbt-2s/regionale,regionale,2,180,16,traffico,c1,stream applicativo,6,seq,ok
run5-tbt-2s/regionale,regionale,2,184,16,traffico,c3,stream applicativo,4,seq,ok
run5-tbt-2s/regionale,regionale,2,184,16,traffico,c2,stream applicativo,5,seq,ok
run5-tbt-2s/regionale,regionale,2,184,16,traffico,c1,stream applicativo,7,seq,ok
run5-tbt-2s/regionale,regionale,2,185,16,gas/reconcile,m2,treasury,65.0197,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,185,16,gas/reconcile,m3,treasury,6.109,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,185,16,gas/reconcile,m1,treasury,99.9627,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,185,16,traffico,c5,stream applicativo,3,seq,ok
run5-tbt-2s/regionale,regionale,2,188,16,gas/refill,admin,m1,100.0,GAS,"l'admin finanzia il nodo: init = dotazione iniziale, refill = rifornimento sotto soglia"
run5-tbt-2s/regionale,regionale,2,188,16,traffico,c1,stream applicativo,8,seq,ok
run5-tbt-2s/regionale,regionale,2,190,16,traffico,c4,stream applicativo,4,seq,ok
run5-tbt-2s/regionale,regionale,2,190,16,traffico,c2,stream applicativo,6,seq,ok
run5-tbt-2s/regionale,regionale,2,192,17,traffico,c3,stream applicativo,5,seq,ok
run5-tbt-2s/regionale,regionale,2,192,17,traffico,c1,stream applicativo,9,seq,ok
run5-tbt-2s/regionale,regionale,2,195,17,gas/reconcile,m3,treasury,4.9071,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,195,17,gas/reconcile,m2,treasury,25.9175,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,195,17,gas/reconcile,m1,treasury,100.1726,GAS,il miner paga il treasury: e' la R_k dell'epoca (Cap. 6.4). sent=0 significa nessun invio (saldo sotto la riserva o RPC fallita)
run5-tbt-2s/regionale,regionale,2,196,17,traffico,c2,stream applicativo,7,seq,ok
run5-tbt-2s/regionale,regionale,2,196,17,traffico,c1,stream applicativo,10,seq,ok
