run_id,livello,tbt,height_invio,height_conferma,epoca,nodo_publisher,indirizzo,miner_cluster,seq,esito,dettaglio_errore,txid
run5-tbt-2s/regionale,regionale,2,160,161,14,c4,1Lpw4FLdnt8a8YCbVjgVHcqDVcGjbKEfngWKoX,m2,1,ok,,f30e9f5ba49cec9775ab32b5afed9ef6d3833de4e1a6f8c682b315452842dfbf
run5-tbt-2s/regionale,regionale,2,160,161,14,c5,1ERY6SvADvp4pscwK8av3gMUXwNUnYNGJhEccH,m3,1,ok,,2e97fa77ebe77b5f4ff163a46b14c6f95b7f99768d4f745b230f347673bf4e11
run5-tbt-2s/regionale,regionale,2,160,161,14,c2,1ZHFeR8BCHYKHGxW8BC8iN9Dd3ihFZEZ3GKjfd,m1,1,ok,,72a92012f996c62c94a67a5eb8bf44610fc5a489e7490cd1cec13768dc733bbf
run5-tbt-2s/regionale,regionale,2,160,161,14,c3,1T3jCVULPS2vNVQF9wJrBoXKQ6G8eHxF37a6Pr,m2,1,ok,,d9b666579109b4a5f7e111eb33c348b9d923dfb6900212ea6e1cc412a0f56d75
run5-tbt-2s/regionale,regionale,2,160,161,14,c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,m1,1,ok,,a70bf37ba9e30cf2b1afda1e36cd87ef33146d725800f3a95acf3d1f7cb7af52
run5-tbt-2s/regionale,regionale,2,164,166,14,c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,m1,2,ok,,f897ec61dc7f69d3069568d88e57ce3bd1c0c7af14bb938672ccf948f8a47c76
run5-tbt-2s/regionale,regionale,2,166,167,14,c2,1ZHFeR8BCHYKHGxW8BC8iN9Dd3ihFZEZ3GKjfd,m1,2,ok,,1e19196010510e215dae7544520c3c5de4bebeb98d60d62506d43de8b630d257
run5-tbt-2s/regionale,regionale,2,168,169,15,c3,1T3jCVULPS2vNVQF9wJrBoXKQ6G8eHxF37a6Pr,m2,2,ok,,2ce0700a438d0d5c12c87865beb512cfeb186eb943f568e8f7689b60539a8798
run5-tbt-2s/regionale,regionale,2,168,169,15,c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,m1,3,ok,,57adcf07c827221b6ab200b68fd8363579fe9f94f9f73a18f98275a52ffb408a
run5-tbt-2s/regionale,regionale,2,170,171,15,c4,1Lpw4FLdnt8a8YCbVjgVHcqDVcGjbKEfngWKoX,m2,2,ok,,6e374f364135d8f70f6cd11ca3375c87700c35be81a304f5b322cedaf456f17a
run5-tbt-2s/regionale,regionale,2,171,173,15,c2,1ZHFeR8BCHYKHGxW8BC8iN9Dd3ihFZEZ3GKjfd,m1,3,ok,,a9c94da5faba80f16cd990bcea359922650e97a6bf126b2b8aaec38f4881a7fa
run5-tbt-2s/regionale,regionale,2,171,173,15,c1,17GLGDAofhTLycusCU8fqaAK2xoyvZdp1DfuXs,m1,4,ok,,7ca2b382cf1267562cdc153f60dd7de5b05b325f33b58c0ea1c48f19f10bceb0
run5-tbt-2s/regionale,regionale,2,172,173,15,c5,1ERY6SvADvp4pscwK8av3gMUXwNUnYNGJhEccH,m3,2,ok,,e40dfedcc9d395d6dbb5973bb0045166a4dda92333364c2a09f5354f9160f585
run5-tbt-2s/regionale,regionale,2,175,176,15,c3,1T3jCVULPS2vNVQF9wJrBoXKQ6G8eHxF37a6Pr,m2,3,ok,,1c5b8b498544edac51323e488d5c9f3a935b1846f37113038c3909076451ba06
