height,host,balance
23,c1,99.8044
23,c2,99.8044
23,c3,99.8044
23,c4,99.8042
23,c5,99.8042
23,m1,4.4204
23,m2,21.0686
23,m3,40.182
23,ca,49.3568
24,c1,99.6082
24,c2,99.6636
24,c3,99.7192
24,c4,99.719
24,c5,99.719
24,m1,7.0758
24,m2,9.5824
24,m3,32.5004
24,ca,49.3568
27,c1,99.386
27,c2,99.4968
27,c3,99.608
27,c4,99.6078
27,c5,99.6636
27,m1,108.6668
27,m2,109.5824
27,m3,32.5004
27,ca,49.3568
29,c1,99.1632
29,c2,99.3858
29,c3,99.4968
29,c4,99.5522
29,c5,99.608
29,m1,108.8392
29,m2,109.8106
29,m3,32.3948
29,ca,49.3568
31,c1,98.9402
31,c2,99.2192
31,c3,99.386
31,c4,99.441
31,c5,99.5524
31,m1,108.8392
31,m2,110.7386
31,m3,32.3948
31,ca,49.3568
33,c1,98.7172
33,c2,99.1076
33,c3,99.2748
33,c4,99.3854
33,c5,99.4414
33,m1,108.8392
33,m2,111.0722
33,m3,32.3948
33,ca,49.3568
35,c1,98.55
35,c2,98.9404
35,c3,99.1632
35,c4,99.2742
35,c5,99.3858
35,m1,108.8392
35,m2,111.0722
35,m3,32.3948
35,ca,49.3568
37,c1,98.327
37,c2,98.8288
37,c3,99.0518
37,c4,99.2186
37,c5,99.3304
37,m1,7.2378
37,m2,45.5837
37,m3,26.2706
37,ca,49.3568
39,c1,98.1042
39,c2,98.6616
39,c3,98.9402
39,c4,99.107
39,c5,99.2746
39,m1,107.2378
39,m2,45.5837
39,m3,26.2706
39,ca,49.3568
40,c1,97.8812
40,c2,98.55
40,c3,98.8286
40,c4,99.0512
40,c5,99.219
40,m1,107.2378
40,m2,45.5837
40,m3,26.8836
40,ca,49.3568
43,c1,97.6582
43,c2,98.3826
43,c3,98.717
43,c4,98.9398
43,c5,99.1074
43,m1,107.613
43,m2,45.5077
43,m3,27.254
43,ca,49.3568
45,c1,97.4908
45,c2,98.271
45,c3,98.6612
45,c4,98.884
45,c5,99.0516
45,m1,107.613
45,m2,45.5077
45,m3,27.8674
45,ca,49.3568
46,c1,97.2676
46,c2,98.1038
46,c3,98.5496
46,c4,98.7724
46,c5,98.9958
46,m1,107.613
46,m2,45.5077
46,m3,28.1464
46,ca,49.3568
49,c1,97.0446
49,c2,97.9922
49,c3,98.438
49,c4,98.7166
49,c5,98.9402
49,m1,7.2059
49,m2,19.3579
49,m3,23.5635
49,ca,49.3568
51,c1,96.8216
51,c2,97.8248
51,c3,98.3264
51,c4,98.6052
51,c5,98.8286
51,m1,107.2059
51,m2,119.7829
51,m3,24.1191
51,ca,49.3568
53,c1,96.5988
53,c2,97.6574
53,c3,98.2148
53,c4,98.5494
53,c5,98.7728
53,m1,107.1001
53,m2,120.3759
53,m3,24.0431
53,ca,49.3568
55,c1,96.4314
55,c2,97.546
55,c3,98.1032
55,c4,98.438
55,c5,98.717
55,m1,107.1001
55,m2,120.8013
55,m3,24.3217
55,ca,49.3568
57,c1,96.2086
57,c2,97.3786
57,c3,97.9916
57,c4,98.3824
57,c5,98.6612
57,m1,107.1001
57,m2,121.3591
57,m3,24.3217
57,ca,49.3568
59,c1,95.9856
59,c2,97.2672
59,c3,97.88
59,c4,98.2708
59,c5,98.6054
59,m1,107.1001
59,m2,121.4147
59,m3,24.3217
59,ca,49.3568
62,c1,95.7628
62,c2,97.0998
62,c3,97.7688
62,c4,98.215
62,c5,98.494
62,m1,7.2098
62,m2,50.4695
62,m3,19.8122
62,ca,49.3568
63,c1,95.5398
63,c2,96.9884
63,c3,97.6572
63,c4,98.1034
63,c5,98.4384
63,m1,107.2098
63,m2,50.5253
63,m3,119.8122
63,ca,49.3568
65,c1,95.3726
65,c2,96.8212
65,c3,97.6014
65,c4,98.0476
65,c5,98.3826
65,m1,108.1414
65,m2,50.4193
65,m3,119.8122
65,ca,49.3568
66,c1,95.1494
66,c2,96.7098
66,c3,97.4898
66,c4,97.9362
66,c5,98.3268
66,m1,108.476
66,m2,50.4193
66,m3,119.8122
66,ca,49.3568
69,c1,94.9262
69,c2,96.5426
69,c3,97.3786
69,c4,97.8804
69,c5,98.271
69,m1,109.3572
69,m2,50.4193
69,m3,120.1468
69,ca,49.3568
70,c1,94.7032
70,c2,96.4312
70,c3,97.267
70,c4,97.7688
70,c5,98.1596
70,m1,109.3572
70,m2,50.6979
70,m3,120.1468
70,ca,49.3568
72,c1,94.4804
72,c2,96.2638
72,c3,97.1556
72,c4,97.6572
72,c5,98.1038
72,m1,7.1611
72,m2,21.3458
72,m3,96.4722
72,ca,49.3568
73,c1,94.3132
73,c2,96.1522
73,c3,97.044
73,c4,97.6016
73,c5,98.048
73,m1,107.1611
73,m2,21.6806
73,m3,96.4722
73,ca,49.3568
75,c1,94.0892
75,c2,95.9848
75,c3,96.9324
75,c4,97.4902
75,c5,97.9922
75,m1,107.1611
75,m2,22.8808
75,m3,96.4722
75,ca,49.3568
77,c1,93.8658
77,c2,95.8734
77,c3,96.8208
77,c4,97.4346
77,c5,97.8806
77,m1,107.3905
77,m2,23.0802
77,m3,96.3668
77,ca,49.3568
79,c1,93.6422
79,c2,95.7062
79,c3,96.7092
