host,height,besthash,hash_h_meno_6,peers,balance
admin,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,999344.4213
m1,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,107.893
m2,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,22.5174
m3,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,22.4543
c1,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,83.8238
c2,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,89.1456
c3,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,91.8376
c4,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,93.4068
c5,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,94.694
ca,172,00376bd45a64296ac12cbf9769dc6b897f5f5bf6f897c65127aed36bfe719ea1,009703c404b5f8bcd634615414912e494f9caa7ee6420dda4c34977be0e3b6af,9,49.357
