height,host,balance
22,c1,99.804
22,c2,99.8042
22,c3,99.804
22,c4,99.804
22,c5,99.8046
22,m1,4.4205
22,m2,21.0687
22,m3,40.4346
22,ca,49.3566
25,c1,99.6078
25,c2,99.6638
25,c3,99.719
25,c4,99.7188
25,c5,99.7194
25,m1,7.3191
25,m2,9.5823
25,m3,32.7025
25,ca,49.3566
27,c1,99.3854
27,c2,99.4972
27,c3,99.6078
27,c4,99.6078
27,c5,99.6638
27,m1,108.2447
27,m2,109.5823
27,m3,32.7025
27,ca,49.3566
28,c1,99.1626
28,c2,99.386
28,c3,99.4968
28,c4,99.5524
28,c5,99.6082
28,m1,108.2447
28,m2,109.5823
28,m3,32.9249
28,ca,49.3566
31,c1,98.9396
31,c2,99.219
31,c3,99.3856
31,c4,99.4412
31,c5,99.5528
31,m1,109.0109
31,m2,109.4769
31,m3,33.2643
31,ca,49.3566
33,c1,98.7724
33,c2,99.1076
33,c3,99.2744
33,c4,99.3858
33,c5,99.4418
33,m1,109.2339
33,m2,109.4769
33,m3,33.2643
33,ca,49.3566
35,c1,98.5494
35,c2,98.9402
35,c3,99.163
35,c4,99.2744
35,c5,99.3862
35,m1,109.5677
35,m2,109.4769
35,m3,33.2643
35,ca,49.3566
37,c1,98.3262
37,c2,98.8286
37,c3,99.0514
37,c4,99.2186
37,c5,99.3308
37,m1,7.2152
37,m2,45.113
37,m3,26.9662
37,ca,49.3566
39,c1,98.1032
39,c2,98.6614
39,c3,98.9398
39,c4,99.1072
39,c5,99.275
39,m1,107.2152
39,m2,46.0248
39,m3,26.9662
39,ca,49.3566
41,c1,97.8804
41,c2,98.55
41,c3,98.8282
41,c4,99.0514
41,c5,99.2192
41,m1,107.1092
41,m2,46.1714
41,m3,26.8902
41,ca,49.3566
42,c1,97.7132
42,c2,98.3826
42,c3,98.7724
42,c4,98.9398
42,c5,99.1078
42,m1,107.555
42,m2,46.1714
42,m3,26.8902
42,ca,49.3566
45,c1,97.49
45,c2,98.271
45,c3,98.6608
45,c4,98.8842
45,c5,99.052
45,m1,107.7782
45,m2,47.1548
45,m3,26.8902
45,ca,49.3566
47,c1,97.267
47,c2,98.1038
47,c3,98.5492
47,c4,98.7726
47,c5,98.9964
47,m1,107.7782
47,m2,47.1548
47,m3,27.3922
47,ca,49.3566
49,c1,97.0442
49,c2,97.9922
49,c3,98.4376
49,c4,98.7168
49,c5,98.9408
49,m1,7.5191
49,m2,20.0167
49,m3,22.4914
49,ca,49.3566
51,c1,96.8768
51,c2,97.8248
51,c3,98.326
51,c4,98.6054
51,c5,98.885
51,m1,107.5191
51,m2,20.0167
51,m3,23.4558
51,ca,49.3566
52,c1,96.6538
52,c2,97.7132
52,c3,98.2144
52,c4,98.5498
52,c5,98.7738
52,m1,107.5191
52,m2,20.0167
52,m3,23.679
52,ca,49.3566
55,c1,96.4306
55,c2,97.546
55,c3,98.1028
55,c4,98.4382
55,c5,98.718
55,m1,108.5991
55,m2,19.9403
55,m3,23.679
55,ca,49.3566
57,c1,96.2076
57,c2,97.4346
57,c3,97.9914
57,c4,98.3824
57,c5,98.6622
57,m1,108.5991
57,m2,120.3201
57,m3,23.679
57,ca,49.3566
59,c1,95.9844
59,c2,97.2674
59,c3,97.88
59,c4,98.271
59,c5,98.6064
59,m1,108.5991
59,m2,120.5989
59,m3,24.1248
59,ca,49.3566
61,c1,95.817
61,c2,97.1558
61,c3,97.8242
61,c4,98.2154
61,c5,98.4948
61,m1,7.5917
61,m2,49.3946
61,m3,19.6546
61,ca,49.3566
62,c1,95.594
62,c2,96.9886
62,c3,97.713
62,c4,98.1038
62,c5,98.439
62,m1,108.0419
62,m2,49.3946
62,m3,119.6546
62,ca,49.3566
64,c1,95.3712
64,c2,96.8772
64,c3,97.6014
64,c4,98.048
64,c5,98.3832
64,m1,108.4319
64,m2,49.9312
64,m3,119.6546
64,ca,49.3566
66,c1,95.148
66,c2,96.7098
66,c3,97.4898
66,c4,97.9364
66,c5,98.3274
66,m1,108.9335
66,m2,49.8252
66,m3,119.8576
66,ca,49.3566
68,c1,94.9808
68,c2,96.5982
68,c3,97.3784
68,c4,97.8806
68,c5,98.2716
68,m1,109.4353
68,m2,49.8252
68,m3,120.3186
68,ca,49.3566
70,c1,94.7576
70,c2,96.431
70,c3,97.267
70,c4,97.769
70,c5,98.1602
70,m1,109.8259
70,m2,49.8252
70,m3,120.3186
70,ca,49.3566
72,c1,94.5346
72,c2,96.2636
72,c3,97.1554
72,c4,97.7132
72,c5,98.1044
72,m1,7.1103
72,m2,21.249
72,m3,96.6097
72,ca,49.3566
75,c1,94.3114
75,c2,96.152
75,c3,97.044
75,c4,97.602
75,c5,98.0488
75,m1,108.0983
75,m2,21.5728
75,m3,96.6097
75,ca,49.3566
77,c1,94.0878
77,c2,95.9848
77,c3,96.9326
77,c4,97.5462
77,c5,97.993
77,m1,108.4383
77,m2,21.4668
77,m3,96.5041
77,ca,49.3566
80,c1,93.92
80,c2,95.8734
80,c3,96.8768
80,c4,97.4348
80,c5,97.9372
80,m1,108.9407
80,m2,22.1186
80,m3,96.5041
80,ca,49.3566
82,c1,93.696
82,c2,95.7062
82,c3,96.7654
82,c4,97.379
82,c5,97.8256
82,m1,109.3313
82,m2,22.1186
82,m3,96.5041
82,ca,49.3566
84,c1,93.4726
84,c2,95.5946
84,c3,96.654
84,c4,97.2674
84,c5,97.7698
84,m1,7.0485
84,m2,9.7958
84,m3,77.3221
84,ca,49.3566
86,c1,93.249
86,c2,95.4272
86,c3,96.5424
86,c4,97.2116
86,c5,97.714
86,m1,108.9051
86,m2,111.2618
86,m3,77.3221
86,ca,49.3566
88,c1,93.0252
88,c2,95.3158
88,c3,96.431
88,c4,97.1
88,c5,97.6582
88,m1,107.4391
88,m2,111.6526
88,m3,77.3221
88,ca,49.3566
91,c1,92.8572
91,c2,95.1484
91,c3,96.3194
91,c4,97.0442
91,c5,97.6026
91,m1,107.9209
91,m2,112.0576
91,m3,77.2167
91,ca,49.3566
93,c1,92.6336
93,c2,95.037
93,c3,96.208
93,c4,96.9328
93,c5,97.4912
93,m1,108.4233
93,m2,112.0576
93,m3,77.2167
93,ca,49.3566
95,c1,92.41
95,c2,94.8696
95,c3,96.0966
95,c4,96.8772
95,c5,97.4354
95,m1,109.0369
95,m2,112.0576
95,m3,77.2167
95,ca,49.3566
97,c1,92.186
97,c2,94.758
97,c3,95.985
97,c4,96.7658
97,c5,97.3796
97,m1,7.534
97,m2,45.978
97,m3,62.1282
97,ca,49.3566
99,c1,92.0182
99,c2,94.5908
99,c3,95.9292
99,c4,96.7102
99,c5,97.324
99,m1,108.3416
99,m2,45.978
99,m3,62.1282
99,ca,49.3566
101,c1,91.7938
101,c2,94.4788
101,c3,95.8174
101,c4,96.5984
101,c5,97.2122
101,m1,108.2654
101,m2,45.872
101,m3,62.666
101,ca,49.3566
104,c1,91.5692
104,c2,94.3108
104,c3,95.7054
104,c4,96.4866
104,c5,97.1562
104,m1,109.3642
104,m2,45.872
104,m3,62.666
104,ca,49.3566
105,c1,91.345
105,c2,94.1988
105,c3,95.5934
105,c4,96.4306
105,c5,97.1002
105,m1,109.3642
105,m2,46.1522
105,m3,62.666
105,ca,49.3566
107,c1,91.1204
107,c2,94.0302
107,c3,95.4814
107,c4,96.3188
107,c5,97.0442
107,m1,110.0364
107,m2,46.1522
107,m3,62.666
107,ca,49.3566
109,c1,90.9522
109,c2,93.9178
109,c3,95.3696
109,c4,96.263
109,c5,96.9882
109,m1,7.6237
109,m2,19.6157
109,m3,50.4876
109,ca,49.3566
111,c1,90.7276
111,c2,93.7496
111,c3,95.2576
111,c4,96.151
111,c5,96.8764
111,m1,108.7261
111,m2,119.6157
111,m3,50.4876
111,ca,49.3566
113,c1,90.503
113,c2,93.6372
113,c3,95.1456
113,c4,96.095
113,c5,96.8204
113,m1,108.6201
113,m2,120.0437
113,m3,50.4876
113,ca,49.3566
115,c1,90.2784
115,c2,93.4692
115,c3,95.0338
115,c4,95.983
115,c5,96.7646
115,m1,108.8445
115,m2,120.6741
115,m3,50.4876
115,ca,49.3566
117,c1,90.11
117,c2,93.3568
117,c3,94.922
117,c4,95.927
117,c5,96.7086
117,m1,109.2931
117,m2,120.6741
117,m3,50.4876
117,ca,49.3566
119,c1,89.8852
119,c2,93.1884
119,c3,94.866
119,c4,95.815
119,c5,96.6526
119,m1,109.7977
119,m2,120.6741
119,m3,50.4876
119,ca,49.3566
121,c1,89.6608
121,c2,93.0198
121,c3,94.754
121,c4,95.7592
121,c5,96.5408
121,m1,7.1383
121,m2,49.604
121,m3,41.0251
121,ca,49.3566
122,c1,89.4364
122,c2,92.9074
122,c3,94.6422
122,c4,95.6474
122,c5,96.485
122,m1,107.1383
122,m2,50.2262
122,m3,41.0251
122,ca,49.3566
124,c1,89.2118
124,c2,92.739
124,c3,94.5302
124,c4,95.5914
124,c5,96.429
124,m1,107.1383
124,m2,50.6638
124,m3,41.4171
124,ca,49.3566
126,c1,89.0432
126,c2,92.627
126,c3,94.4182
126,c4,95.4794
126,c5,96.373
126,m1,107.6495
126,m2,50.5876
126,m3,41.3411
126,ca,49.3566
128,c1,88.8184
128,c2,92.4584
128,c3,94.3064
128,c4,95.4234
128,c5,96.317
128,m1,108.5805
128,m2,50.5876
128,m3,41.3411
128,ca,49.3566
129,c1,88.5936
129,c2,92.3464
129,c3,94.194
129,c4,95.3114
129,c5,96.205
129,m1,108.5805
129,m2,51.0362
129,m3,41.3411
129,ca,49.3566
132,c1,88.3694
132,c2,92.1778
132,c3,94.0818
132,c4,95.2556
132,c5,96.149
132,m1,7.0601
132,m2,21.4511
132,m3,33.4279
132,ca,49.3566
134,c1,88.2008
134,c2,92.0654
134,c3,93.9694
134,c4,95.1436
134,c5,96.093
134,m1,108.2413
134,m2,21.4511
134,m3,33.4279
134,ca,49.3566
136,c1,87.9762
136,c2,91.8968
136,c3,93.9132
136,c4,95.0878
136,c5,96.037
136,m1,108.4659
136,m2,21.6757
136,m3,33.4279
136,ca,49.3566
137,c1,87.7518
137,c2,91.7844
137,c3,93.801
137,c4,94.9758
137,c5,95.9252
137,m1,108.8383
137,m2,21.5699
137,m3,33.3223
137,ca,49.3566
139,c1,87.5272
139,c2,91.616
139,c3,93.6886
139,c4,94.9198
139,c5,95.8692
139,m1,108.8383
139,m2,22.5869
139,m3,33.3223
139,ca,49.3566
142,c1,87.3028
142,c2,91.5036
142,c3,93.5762
142,c4,94.8078
142,c5,95.8134
142,m1,109.7363
142,m2,22.5869
142,m3,33.3223
142,ca,49.3566
144,c1,87.1344
144,c2,91.3352
144,c3,93.464
144,c4,94.752
144,c5,95.7574
144,m1,110.0725
144,m2,23.0357
144,m3,33.3223
144,ca,49.3566
146,c1,86.9098
146,c2,91.223
146,c3,93.3516
146,c4,94.6402
146,c5,95.7014
146,m1,8.0692
146,m2,10.0741
146,m3,27.0126
146,ca,49.3566
148,c1,86.6852
148,c2,91.0546
148,c3,93.2392
148,c4,94.5842
148,c5,95.5896
148,m1,108.4058
148,m2,110.0741
148,m3,27.3834
148,ca,49.3566
150,c1,86.4606
150,c2,90.9422
150,c3,93.1268
150,c4,94.4724
150,c5,95.5336
150,m1,108.4058
150,m2,110.4665
150,m3,27.72
150,ca,49.3566
152,c1,86.236
152,c2,90.7738
152,c3,93.0146
152,c4,94.4164
152,c5,95.4776
152,m1,108.7424
152,m2,110.6913
152,m3,27.72
152,ca,49.3566
153,c1,86.0674
153,c2,90.6616
153,c3,92.9584
153,c4,94.3046
153,c5,95.4216
153,m1,109.1352
153,m2,110.6913
153,m3,27.72
153,ca,49.3566
155,c1,85.8426
155,c2,90.4932
155,c3,92.846
155,c4,94.2484
155,c5,95.3656
155,m1,109.1352
155,m2,111.4767
155,m3,27.72
155,ca,49.3566
158,c1,85.6178
158,c2,90.3248
158,c3,92.7336
158,c4,94.1362
158,c5,95.2536
158,m1,7.5792
158,m2,46.0263
158,m3,22.5308
158,ca,49.3566
159,c1,85.393
159,c2,90.2126
159,c3,92.6212
159,c4,94.08
159,c5,95.1978
159,m1,107.916
159,m2,46.0263
159,m3,22.5308
159,ca,49.3566
161,c1,85.1682
161,c2,90.0442
161,c3,92.5088
161,c4,93.9678
161,c5,95.1418
161,m1,108.7538
161,m2,45.9499
161,m3,22.4548
161,ca,49.3566
164,c1,84.9996
164,c2,89.9318
164,c3,92.3966
164,c4,93.9116
164,c5,95.0858
164,m1,109.2924
164,m2,46.3993
164,m3,22.4548
164,ca,49.3566
165,c1,84.775
165,c2,89.7632
165,c3,92.2842
165,c4,93.7994
165,c5,95.03
165,m1,109.2924
165,m2,46.3993
165,m3,22.6232
165,ca,49.3566
167,c1,84.5502
167,c2,89.6508
167,c3,92.1722
167,c4,93.7432
167,c5,94.918
167,m1,109.2924
167,m2,47.4097
167,m3,22.6232
167,ca,49.3566
169,c1,84.3258
169,c2,89.4824
169,c3,92.0598
169,c4,93.6308
169,c5,94.862
169,m1,7.449
169,m2,20.1638
169,m3,18.4534
169,ca,49.3566
171,c1,84.1572
171,c2,89.37
171,c3,91.9476
171,c4,93.5186
171,c5,94.8062
171,m1,108.3868
171,m2,20.1638
171,m3,118.4534
171,ca,49.3566
172,c1,83.9328
172,c2,89.2018
172,c3,91.8914
172,c4,93.4624
172,c5,94.7502
172,m1,108.3868
172,m2,20.5002
172,m3,118.4534
172,ca,49.3566
174,c1,83.7084
174,c2,89.0894
174,c3,91.779
174,c4,93.35
174,c5,94.6382
174,m1,109.0668
174,m2,20.3942
174,m3,118.348
174,ca,49.3566
176,c1,83.4836
176,c2,88.921
176,c3,91.6666
176,c4,93.294
176,c5,94.5822
176,m1,110.0576
176,m2,20.3942
176,m3,118.348
176,ca,49.3566
178,c1,83.259
178,c2,88.8086
178,c3,91.5542
178,c4,93.1816
178,c5,94.5262
178,m1,110.3944
178,m2,20.3942
178,m3,118.7974
178,ca,49.3566
181,c1,83.0906
181,c2,88.64
181,c3,91.4418
181,c4,93.1254
181,c5,94.4702
181,m1,7.4455
181,m2,9.0118
181,m3,95.5276
181,ca,49.3566
