host,height,besthash,hash_h_meno_6,peers,balance
admin,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,999249.2786
m1,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,108.6742
m2,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,20.3942
m3,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,118.348
c1,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,83.8766
c2,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,89.2018
c3,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,91.8352
c4,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,93.4062
c5,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,94.6942
ca,173,008942e551cde0735249bb338405683472862d163f666449565511f300fabfe9,00a0477f95fa8e6f275a32605f916b9f774a5204e907eaf2259342e556827382,9,49.3566
