height,host,seq,txid_or_error
34,c1,1,143aa39c37c1bf4fc6d5c4e406be54788b1649eed695ef945020d15366dea456
34,c3,1,2f4ffba0e72ad0c3d49522caab9f2872e5cdff56bd6aa8d592171f1f1e443fd9
34,c5,1,e459a1cb78fdd0170281a2f1202fbdcb22c71f28a8764e221ef87df0e2bb0e05
34,c2,1,301030a54f492335a751128e2ececaa2348f976a44ce0afc36b9f7980644c4f4
34,c4,1,3c4651b8025307b5f7eb7be4737c4392b8ab177c31d56e9f169d2bf82ed34cc8
34,c1,2,736c2fa0d9312ea84d1472c7eb0ee46b319996225ef72f709332245e97395682
35,c2,2,5638ec6a9880a4e82a5deb13a1b2465034abdbca8815503758b401db56ec6ec1
35,c3,2,898280d54228b6128588de2a5254571ff7a37020971c7c35054a162cd43eda1f
35,c1,3,5df6b4450ec55a45a799b40f71ff04df4a480369057953e72f3f148ac31836d3
36,c4,2,4bcc05ba831f19b780236fd9ec31b919e173a47b35ce4433e6d574ce23aac50a
36,c2,3,7e470f476cdb035374a8fa5cdfd8da4c93898578380102bd2723c4d903079a64
36,c1,4,8375f22e942a9662347716d3668af8c8cbf1a47cf6540c09f133a58bbb0294e3
36,c5,2,f566291aa9547bb672df95e7b764bea04068a2adf9f5e360ace2ab77c1160906
37,c3,3,c5952f2aee276e3161145c845533c6dcd3db2a3d1a3470375c82a0880c96be46
37,c1,5,e5f33038e15284007a49331d044172a860af770ca826641a0c67d96a095ff5f7
37,c2,4,a90357a1d16ba502c12c28f39cfafa6d14eda7229a350ec0fa810c0843b3cd3e
38,c4,3,c712ca82dc564d6f933dd42f27b0837934577ddcb6c63728924086c219d00b19
38,c1,6,114f1bea814ff00db3f8e4a5a5fb1d3773093340946475ad448fa7064b6d211a
39,c3,4,c243dd1497e328cc0262c230344d56f97efb1022f3f30099ec50b129de675c60
39,c2,5,26c346d3faa96490aca518cb6551cb1107d7cac0d9de12511f9b952c6e109374
39,c1,7,cbc9cca23d27aa8a9e2dd432085726c5968103005c61ff56fea04928b209ec9b
39,c5,3,12a3383f38c5e1843d272ca1d38b81031bf307ecac43c0f44cf1c18ec35a2256
40,c1,8,94c02142e54394af94d1a0819fefaf13b1795a585129cb79464d26a63d15878f
40,c4,4,095578ebabf01399b3466c07388491f1268bc7dbf6e75c3d27db9559f16cfa49
40,c2,6,b77a1c3f784c472dbeed269af216b91b34b7bcc6fc8f2f8b23165a88e575bcf8
40,c3,5,519f2e8a9f3fafe462bce73d5a72f58055b6a0a2a32946280e61710f6d458115
40,c1,9,c390130fa33cddbd5de5731ac2891fb7e9db7f3588e3e2fee21c7004f1d43bbf
41,c2,7,350b4c9f4f2189ee549c2726df59add77789676944129a616e6d805e318af6c7
41,c1,10,1b6dad930719954b8d61911e3d3732455efb0c7bb6dd71d7c6a5fc01f789719a
41,c5,4,cd9f5ab481f20a0ecf99a2bc696b883fcde8d3ab86e1c2b6dfb65d698ae45ef8
42,c4,5,70954bb31b1f7e71e7d95bf7f7bacfb108520a8cf722b326192f3bdc87082ba4
42,c3,6,32613790d9b313d379dfdcade544239f310dc5ed7f5a4fc4abb84beec524c1ea
42,c1,11,caa1fe00175d65b28e2e9e2c3490e1562883d5e783492ecd51aa319994c2b1df
42,c2,8,c47a4096f01659d87b6fdcd46a5bec6030361e2abfe2f7006c4545e487c979fb
42,c1,12,8c813bfa8a6b46b51ab108c847e06e7b6b2a8ac51c05854db77501f087e38227
