height,host,seq,txid_or_error
67,c5,1,45e4165e4e8dc25e4ed0ae5bd2076947d7638224f78086981b8a1699511e3a37
67,c4,1,d28a59e64547e2e6b6d6d20b0c951e55229ce5a6473968033df9b85f2c804b0c
67,c3,1,97af0e956498fc0c4ad2916936bfaa095c84145264e883a6d28798152ae283f1
67,c2,1,9ab753271ff6d6eb4c789d23402449142c8323a47b8ae79a213e322af725139a
67,c1,1,60dff68a7e460a14e59a1d5a4fcf743c5f41691dcf9cdb599a0ceaf4cf517034
69,c1,2,de4f6e2c7986ac26ef018aa46250eefa9636b212226eda896a8b8fa3addade17
70,c2,2,4b7323a23ee99ac4f3f81ccc3abbdbc8d7a5de317771eb5bbc322977c59223a2
70,c3,2,d5f8faddf0d4027d4a17a1c6a45f4dc777ba953f79a3e0cff0e4bdebc30cee3a
70,c1,3,d61e17281ab310f976dd86b3d24d6e3c56f16008bafd66b66eb6fd2a571e3f2f
71,c4,2,473f67969b6ccba35f801fd8771ca903cca8e86e47c8a4b921db623289f4d229
72,c2,3,1fbb172c95b877f55a2622ad17092f52de3695cb07efde8e7be8b7196d14bb9e
72,c1,4,2581b513505de82e5ed4a3bb0bc753a252d2886fae836a2fb66f0a94ae47f4b1
72,c5,2,4f36a3828d1d6aea6ac6d28c8c89168925468fabc47b2e6fbf7c5808b06e910b
73,c3,3,37fc1b5d7b7ecab323574c20df9d3fa001fed0f187b5c074aed6c2fabacfa3af
73,c1,5,2d3c63715fb4592a654fb294df1064f7f3ed46cc5621c71eac2173fc3265b029
74,c2,4,33491efb38fc90d972281c8db3346e9a82b681809b63b7b2c94bf70b15b9cc22
75,c4,3,9d9acdd2aff5477176fafd161f8bb740effa146eaf36ffce45381bbeb873503a
75,c1,6,579e5a996392123bd4d0696a0fadadf74af39bbbefe828dfd6dd7d220ca15609
77,c3,4,a81a3b321223de2b5ad60bbbc16fccb6abe77c46cd4d5e2e4ce51766f6f968f9
77,c2,5,b9efdfbc806223003d71d72c2d1db667868eac4b924c0575f943006d883a7330
77,c1,7,a6326c89a6be83ce9d76679b2a6b791d71b1807227180dc6570a5f63154c44fa
77,c5,3,08a6939f8528c73ac41b92feeab1127b3a9aa298dce44fd4030d61ae5728bda1
78,c1,8,82cc7f7ea18d578412d298922a58ca4c458900da1c0df80bebe2ead108bb027a
79,c4,4,eae0a736d4e2655b2ffe2fffd9853ea6267916130c5a4cf352687497b7562c62
79,c2,6,3e39f8688200e127630911ee3217ea416e7d34a58e667dc2914d91540c6fe374
80,c3,5,e20a54ad70573b8b862d56227a25fa0d33ff248fa7a24c6481651c64af1f88bc
80,c1,9,5231be3050b82c6ac6408c67b4225efb6b71c79fe2890d1f06ca600e65dd7a05
82,c2,7,5e2616e2c8b8c4e19a2ce10b0980bbb55877f1511792a12d0c66445a3d742eca
82,c1,10,c7830cc83a3a8bd3d0f0b36d1fc3c3c9420f3772a719dae18bf65e279a84009f
82,c5,4,4614680c46022bda4794d3d94e40025f2eaefdce5880eb99efb8e474f43d73d4
83,c4,5,4d2c5c586750bf3cb297fc3fe1604305e6127105eb2c411935b36cc472a98ac9
83,c3,6,df84522ed02b544f51aa1146290bc037a5b3de749ac92a8df565efb2605123f2
83,c1,11,f994971cef7bf7b20700fd0e7db7329762c5b385c66e4d4c0a33803a2dcdad58
84,c2,8,43913b9374e67b16fb8eb5abfde8f2feb90640999a6960dc399a529b666f0cc2
85,c1,12,bd695b3194835927db96055fc114e444bbc6cdcb316163dc9888cf2f4ad50adb
86,c3,7,ebd8982eca3a549ff2d96d3898db21bb94f2065536c8f3a5c12f651ede89e349
86,c2,9,97aad1fa90c4268492764a90f88d420695b53de92baeb1a86c75a68451c28db1
86,c1,13,7b5c7d4f6ad126d79daec94134d8eaa5f74755dfdc2d5ae5e42e0a19ad642665
87,c5,5,14c0f5ae64dc4642260a5a0d05c0cb8fc23850212e6cfb13b14c0d0a520bd21e
87,c4,6,ea04b42181f14e935bf4ccd0fd1a44c9d42eb71826e036a7233fafc5b4a9edf9
88,c1,14,226ece68837018ba2476877a1550a3268f0cf9437af571405987111c59981bdb
89,c2,10,a7b5465ad34057eff4d8dcaf6e2695749c55a2638c2ddb38c497e69b12d079be
90,c3,8,20eb9786b6b1306ecaf638a72f4681787186d2eeaed26a10e3ad59702d0b0bd6
90,c1,15,d7c6f527b568894d6e6c57f68d93d291d58a287c150079b86aaa59b36bf28b66
90,c4,7,3ea8edc2c7a5afea883d223c5856a886f310abafe39f0fed78f7185334bd496d
90,c2,11,7e0f595ea0f791d5a91aaee0b9d9c39a6b82ebb5fd3368be2d4d2dae00a6a0f9
91,c1,16,d06d78160421db031912795e549b44d588dc7639f1d4175877c9c0580f1d4663
92,c5,6,226c1be50e1cda553301e44a4cd80dd2b3534f0c1c933eb41e242672391c6532
92,c3,9,9e472cb3eadd44366570eb9840f4a35c2e841a17b7e7195becb4a6c6a5818ac1
92,c1,17,7dbfe064200eb6891c3919a5302186700d30639b7ccf058f433e8c176eaef8cb
