height,host,seq,txid_or_error
66,c5,1,b2595e961112e84b19ef78a11d83d762580df43fad9bf82c5aa380e67e6fd380
66,c1,1,227f651efccffe84fc51ae4cb3d21555eec2a0deed92e9b16a518e9a382242ae
66,c2,1,a98a4b5600b1202e612ad0d8086d12ba358c9a34699a562b4a3c38eb65b830b7
66,c4,1,02a82e15171d5b33b4b27646c24a035e70408d2b29463c2d84dfccb479eb91f9
66,c3,1,e40961c45bafb0391f14c5824960b4ddb6ac0e52774f83ad51c22d20c70cba63
68,c1,2,59c182f5eda34f4bd31ddd65694fa7e5e5d50d7bb2bf263bcc6421edb3409c5d
69,c2,2,9f6fc4a87854e168d1178007639a477c75a1dc0f49440a27b639c759b7c5123b
69,c3,2,b1a305fc368f84571dc63005a63f8e169c9ec09f1470a6677360dace845f64ca
69,c1,3,54fcb1088d698970b1bb40f66f1c6a3e7f7de4729a2804c66022edf2588bbb8b
70,c4,2,09ed53221455f8961e80cb4a3b8e36ed03960f2d7521c1832fcd72900631052f
71,c2,3,776302d7a4b910882aa76d521d1e27bbe18d20afe9df510660a69c7b589f7fb1
72,c1,4,b04e22270a3bd66f7ed8deadb99f1d6857ce9073f5223416420c6bde03cfde1e
72,c5,2,2e3f835aa6752065f3157166ede382a8f760f07e0a82672c87661373c6c2263a
73,c3,3,9f3169153f7d29e45a0e58d4fe843bca99a727b6bb6dd502ec2e6580b8f70fbc
73,c1,5,80dcb9a6dc13bb79fd430b4fe103c245b3f7ce7c29dcb471d32dbdfc724ac7be
73,c2,4,820ea85e698e49a74b8699e9ec5836a1ac9484113e724a952a20780c8ea7591d
75,c4,3,3e627784cbc32103331c9d27b4ba18f185b9502561f7da8720c4bec04abfa1f5
75,c1,6,af7c975b555746b588d6e6bbd56f1b89475b2a41486c1eb8250b80d03274916c
76,c3,4,c460d31a1300da0130c3cc9753bac37902e2c60331f6e93bac2b65458be9a4b2
76,c2,5,bc36d587c4a9d43265f845c74f0905fc02f32fa34ddbd00a705ee2c6495205a4
76,c1,7,73118b86fa443bfd8aad3e334f77400280f5d1b273438e20ca982642b20768c2
76,c5,3,912455d6efe5b35857b62a8b0774a801f7f24f6b01cb66a259d16c79bc66b5fd
78,c1,8,668b99508d3e24b83763e943737f5a968b4a6cda95629737a6ad6efc7aa4ff13
78,c4,4,ca4ca14991e1f2a5d40f1da9d225cb11898c222af9a037412bc8a9286895dcfb
78,c2,6,cfff4e051f57e534d7dd1b11ddf7c07015a86c6f125d1551dd8c2f13e6312b3e
79,c3,5,461db1e9557041f51a953292c7e2368d46ae77d34ab07513817755992afeb2ae
79,c1,9,770862e46299d0d53b2eb77e67eeab05855bdd775670b89cffee442906a5ec86
80,c2,7,2220f6a6e4ca7b675989518e2ff29db9947ca0320d1b4169591d8bcf73eab048
80,c1,10,345c5677092119eee4abd95bfe1ab7f23c534272c7cf07fbb4056e68d1532ee3
81,c5,4,41687b350062d5c0fbf214896d876daebabf15140e7d4e9d5ca9c82baf5d8f1b
82,c4,5,a50cae61560276104985fea0e7eb7ffab854f88447f1e782d55ef46c9c458bbd
82,c3,6,27cbc7ba6c7275e59df4cc0e484a80956c118c16c7ed78d71d92e1b3e42eaa4e
82,c1,11,c6bb240402ca84a28171c92f8c06dbb08c58b3e1fe04ab58aa2d9d7c6a3b4a8a
83,c2,8,47f486047eeeaba79f4f0bc31106973c83c68b35a6c9e3f34af90f7dbf58a7e9
84,c1,12,a61657eb539bcc5b7779e1c05bc8110925f2bb61a509a823bea476d7797faeaa
86,c3,7,9ae8291a956fed20e5907c7ca9dcaf403dfefb720b563eace253923176c9e1ea
86,c2,9,c7a62d139e7542214946c6a9c890c0065ae6f3edb29562f776a0d43a533992fe
86,c1,13,3044fc477f709cf48ec9cd890ad1d6db354ce7ad2bb2c583e2c6d2a7a650692d
86,c5,5,483c7a06f0faad7def5d95d577192bb0379d5e709465f4eae0ef2afd065cc4cc
86,c4,6,67b01c0d5a6fd5da5025d81d6d11191fbc81592ed279b3705fb74f09e0b03430
87,c1,14,b2272f6f057bae77b4119928909fc7cf5adf6bb90eea978269f4d1f958d57905
88,c2,10,64ab0beb19f2cce47a90fc07a8ef203c46da029a204230da5180107a54592b5b
89,c3,8,f153769ebf0d9d8c5a3659afd2c73edaade499f3724b6a4ddae9f624fe035240
89,c1,15,9242ee98360b26ecb4278c37eaf9a8049efbbe0b95e7ad3a87065b16162bd253
90,c4,7,96ef9f1a8efd908a2ac516a86961ef67d13b872a9ce51a4ca80130d482396305
90,c2,11,1874966e14260be07a5277d12ab87a5b63a47ceb405d68994571457743f5a3a5
90,c1,16,18986259959425e8b5d5fb7e389891506087a8cfd6d2d56c0cd3197bac823c75
91,c5,6,26b8b99e921b2f19203601eb3dce96042bb0ec03c1f59b7453733f4cd788aade
92,c3,9,c7b6110ef52b36fe9c3d067fcf9fc731e8dafb6f6e7412654adadc86a22ab3a8
92,c1,17,0312e9057f5706de5d21d9051abb2f8aca9e325294d330d211adf88e3f5707cc
92,c2,12,33d97952dc49e7138dafab32a7442fb757fdb45c61257f471f4738c1526f9578
93,c1,18,cc0d1bdfb18bfc584e70d98411aa155a2f0cf72bfd020f9dbb37d12b47313378
94,c4,8,0f3af0a14a2fcbf759fb54cad803e2e978dc837ac439be1315df4fa01a381e96
95,c3,10,f1a41ba9f9df3d0cf7ccbaa84b3db14f4f33454cc3de82faefbf88e509db9a0e
95,c2,13,7ac7ead9129bfa8f2bf6d6bd3a99dff9b579c0109724ef3e8554c8a7ebe1cc0a
95,c1,19,1ff479270f598dc7a0ec630afa4979c5f5580cab8bafc26d07829633bb42602d
96,c5,7,317df4b9ab084191abbf90047ce2262fa51879f17b6e15be96416b381d9f4992
97,c1,20,09ae75305369a726dd5048285e1207c5d4917342c8a208e242eb9f22b666ced5
97,c2,14,94efd3d4ce7bd9ba2b7ac87258651db74a4558682558891972b8cb4e72e35ac2
98,c4,9,65388c9c529b1a3df19762a2e4c154523b0ec95ecc3afa1570dc7cc8bed6f74c
98,c3,11,5bb6b925ada7f9cee209877a76d6602a9c6a6a452353e8292ba095321d5b1f64
98,c1,21,e06a1e8bf3b3fbf28afd43ad94f22ff2cf51c4ee558050d8b330c3a83ecf1413
100,c2,15,3582df215437a5956b7c116b8fac69e3bb170c763ab9bcdbbd7ec7772c5a473f
100,c1,22,636cedbf74089719816a0fc3fe54e225cf51e97ca5c4b1ea3de658c62d71bec5
101,c5,8,79f90de7c055e8db6069e9ea158f33ba164cce6c062c8959626a0bc1e3b013ed
102,c3,12,c971834d04097b9609df43790e9b61d1e0e997025d5459a2c0a184363869fdb0
102,c1,23,f2cf7c34d94007ae71302740f2b491c47f2a255a97742642ac3bcab40b18f86a
103,c4,10,593d54381ba4bac641a3ae59616b3aea7d159fa1c1fa472d151392d78171d5b6
103,c2,16,42ec11a99d2b29ba60f1072ee80e30df2c79dbf63c98db848935aa3a125c86b4
103,c1,24,74dff146217e1c66a9a8e7945c86d7ddd465067237d1d1928025baa78c9d87ef
105,c3,13,d0cffd699c5e4e578b3dd33af88165398d28ff143d1feb143daf9d90d70e8194
105,c2,17,5b43321a7364f4a7829c5c9478a05ada7d63fbd6ef93588983c8ad979bd59ea9
105,c1,25,c67bd13871e3b7448438d634cd1768d498aed6c1a3703ab35275c9bfcca20959
106,c5,9,206bc56a0f51ad370ed45b5553f79798d91122aa270a475479d0c42c5c3fe802
106,c4,11,542f98ad61b9568cc934a1396a344dde97d8dee26d6ae8d7b455deac8a02e96d
106,c1,26,74c11fa10d8e76ae99b5bd9f3ed4238819f3e32a1ca9e5c0a9793233aefb76f8
107,c2,18,0c7409f74672884e0b1d055be3fd15f0977ba8a82918a36ddaa7d29f8687c4bd
108,c3,14,2d0eac6404b10a67463abcd8fd436d52e06adef8e529ee4766273a7c68c7dd01
108,c1,27,b0cbeab3e450a086665678414267421eed32387c00f45ad66cba4e0d27589be5
109,c2,19,19357adeaa1e4760a4fa6c62936abba2d64ce3a6ea0fb987c9aa352e772e793d
109,c1,28,c6f3a3af30cd3d14a60f5ed400457061b7d0836ecd992bc2057b2f2248cf2f60
110,c4,12,1b353b2b28350c2799b66b5e60842d3c8c2bae4ac6b31f0bb809b999539ad0c5
111,c3,15,aefcf6a9d5bca3aacdf80cfacf07c17cf28346256a2e01d5e04dfc44824af8c1
111,c1,29,203f297d064f8aeb08e717594cf4b8f679440cc8112eb4fba6dc216ab29e94ed
111,c5,10,27b3a94e5f342cf31b81bb76c259ec816e8c687b9b6c9ba76d84b422d2ed9b32
112,c2,20,d134c8fcb6135f49fa61de71b66c96d5249c4d7195a50f2bd8fecfbe3e8ada0a
113,c1,30,897c3b4794a18025e3d81781dadd9a96594e4d3a15b129caa2025abb03ef4813
114,c4,13,ed2c7ddc75edae9b3aaf1afc26406566aafff44325d6f390548cc88b156dd6bd
114,c3,16,b55885391e519db45f904dc2fab2e98b226807000f5f66515367ff3f8e838028
