host,height,besthash,hash_a_529,peers,balance
admin,535,001423f99ed6536524743f1e295c7e5e5fffa39855ca1e04bef48b36a2ae36c2,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,999304.5347
m1,535,001423f99ed6536524743f1e295c7e5e5fffa39855ca1e04bef48b36a2ae36c2,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,107.9925
m2,535,001423f99ed6536524743f1e295c7e5e5fffa39855ca1e04bef48b36a2ae36c2,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,20.6326
m3,535,001423f99ed6536524743f1e295c7e5e5fffa39855ca1e04bef48b36a2ae36c2,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,48.7922
c1,536,00b53ffca4a382e4ea185a7d603941fd7c2c8b5ff10e818e303ed0bc358bc3cc,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,89.183
c2,536,00b53ffca4a382e4ea185a7d603941fd7c2c8b5ff10e818e303ed0bc358bc3cc,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,92.7218
c3,536,00b53ffca4a382e4ea185a7d603941fd7c2c8b5ff10e818e303ed0bc358bc3cc,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,94.5176
c4,536,00b53ffca4a382e4ea185a7d603941fd7c2c8b5ff10e818e303ed0bc358bc3cc,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,95.5806
c5,536,00b53ffca4a382e4ea185a7d603941fd7c2c8b5ff10e818e303ed0bc358bc3cc,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,96.4194
ca,536,00b53ffca4a382e4ea185a7d603941fd7c2c8b5ff10e818e303ed0bc358bc3cc,00d67d00353c5c1d6f477d137e65e542c4ce672d06adf5774e37858f43fd225c,9,49.356
