height,epoch,miner,balance,sent
110,10,m2,49.6802,28.6081
110,10,m3,49.9946,9.5989
110,10,m1,51.5214,47.0453
122,11,m1,104.9621,97.8140
122,11,m3,40.2745,7.6549
122,11,m2,21.8841,11.9305
132,12,m2,109.8328,64.6997
132,12,m3,32.4986,6.0997
132,12,m1,107.0269,99.7756
144,13,m2,45.0123,25.8074
144,13,m1,107.2117,99.9511
144,13,m3,26.4587,4.8917
157,14,m3,21.4164,3.8833
157,14,m2,119.2489,70.3493
157,14,m1,108.3518,101.0342
169,15,m3,117.3827,23.0765
169,15,m2,48.8546,28.1128
169,15,m1,108.5536,101.2259
180,16,m3,94.1554,18.4311
180,16,m2,20.6474,11.1884
180,16,m1,108.3453,101.0280
194,17,m3,75.7909,14.7582
194,17,m2,110.3032,64.9819
194,17,m1,107.5595,100.2815
204,18,m3,60.9117,11.7823
204,18,m2,45.6443,26.1866
205,18,m1,107.9602,100.6622
218,19,m3,49.6602,9.5320
218,19,m2,119.6993,70.6196
218,19,m1,107.7348,100.4481
229,20,m3,40.007,7.6014
229,20,m2,49.4337,28.4602
229,20,m1,107.7143,100.4286
240,21,m3,32.3604,6.0721
240,21,m2,21.2603,11.5562
240,21,m1,107.9285,100.6321
254,22,m3,26.1377,4.8275
254,22,m2,109.3879,64.4327
254,22,m1,108.9728,101.6242
265,23,m3,21.189,3.8378
265,23,m2,44.9462,25.7677
265,23,m1,108.307,100.9916
277,24,m3,117.3124,23.0625
277,24,m2,119.7643,70.6586
277,24,m1,107.6868,100.4025
288,25,m3,94.3165,18.4633
288,25,m2,49.4325,28.4595
288,25,m1,107.8309,100.5394
300,26,m3,75.7022,14.7404
300,26,m2,20.9348,11.3609
300,26,m1,108.2531,100.9404
312,27,m3,60.8642,11.7728
312,27,m1,108.7801,101.4411
314,27,m2,109.2461,64.3477
326,28,m3,48.8584,9.3717
326,28,m2,45.0972,25.8583
326,28,m1,108.257,100.9441
337,29,m3,39.3653,7.4731
337,29,m2,119.2005,70.3203
337,29,m1,108.3465,101.0292
348,30,m3,31.771,5.9542
348,30,m2,48.7298,28.0379
348,30,m1,108.4741,101.1504
362,31,m3,25.7716,4.7543
362,31,m2,20.6467,11.1880
362,31,m1,108.4675,101.1441
373,32,m3,20.8959,3.7792
373,32,m2,110.1307,64.8784
373,32,m1,107.5914,100.3118
385,33,m3,116.9953,22.9991
385,33,m2,46.3575,26.6145
385,33,m1,107.3382,100.0713
396,34,m3,94.211,18.4422
396,34,m2,119.8166,70.6900
396,34,m1,107.9653,100.6670
408,35,m3,76.2042,14.8408
408,35,m2,49.0814,28.2488
408,35,m1,107.7371,100.4502
422,36,m3,61.5226,11.9045
422,36,m2,20.738,11.2428
422,36,m1,108.3323,101.0157
433,37,m3,49.4673,9.4935
433,37,m2,109.0198,64.2119
433,37,m1,108.874,101.5303
444,38,m3,39.8526,7.5705
444,38,m2,44.6573,25.5944
444,38,m1,108.5009,101.1759
457,39,m3,32.2369,6.0474
457,39,m2,118.9421,70.1653
457,39,m1,108.5352,101.2084
470,40,m3,26.0385,4.8077
470,40,m2,49.5492,28.5295
470,40,m1,107.76,100.4720
480,41,m3,21.1096,3.8219
480,41,m1,108.278,100.9641
480,41,m2,20.9813,11.3888
494,42,m3,117.1367,23.0273
494,42,m1,108.7357,101.3989
494,42,m2,109.4661,64.4797
506,43,m3,93.9884,18.3977
506,43,m1,108.4676,101.1442
506,43,m2,44.8066,25.6840
516,44,m3,75.5455,14.7091
516,44,m1,108.2936,100.9789
516,44,m2,119.1298,70.2779
530,45,m3,60.6562,11.7312
530,45,m1,108.5313,101.2047
530,45,m2,48.8699,28.1219
540,46,m1,107.683,100.3988
542,46,m3,48.8036,9.3607
543,46,m2,21.2932,11.5759
553,47,m3,39.3219,7.4644
553,47,m1,108.2228,100.9117
553,47,m2,109.8255,64.6953
564,48,m3,31.8123,5.9625
564,48,m1,107.7441,100.4569
564,48,m2,45.6292,26.1775
