host,height,besthash,hash_a_645,peers,balance
admin,651,001665873d515d249c369fb93d12395cc2efebf89a43c92067672ba2ad9eefa2,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,999231.1079
m1,651,001665873d515d249c369fb93d12395cc2efebf89a43c92067672ba2ad9eefa2,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,8.083
m2,651,001665873d515d249c369fb93d12395cc2efebf89a43c92067672ba2ad9eefa2,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,9.2686
m3,651,001665873d515d249c369fb93d12395cc2efebf89a43c92067672ba2ad9eefa2,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,14.2277
c1,652,00e0c4dd051a447b160e4be26e190f10ff0727130dc6da80354a15e47f29c4bd,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,90.8084
c2,652,00e0c4dd051a447b160e4be26e190f10ff0727130dc6da80354a15e47f29c4bd,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,93.8442
c3,652,00e0c4dd051a447b160e4be26e190f10ff0727130dc6da80354a15e47f29c4bd,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,95.3
c4,652,00e0c4dd051a447b160e4be26e190f10ff0727130dc6da80354a15e47f29c4bd,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,96.1954
c5,652,00e0c4dd051a447b160e4be26e190f10ff0727130dc6da80354a15e47f29c4bd,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,96.9224
ca,652,00e0c4dd051a447b160e4be26e190f10ff0727130dc6da80354a15e47f29c4bd,006791833817dbb60365872409dbdc2cfafb545b39e2b114402d4ee19614c0ec,9,49.3568
