height,epoch,miner,balance,sent
159,14,m3,49.6026,9.5205
159,14,m2,49.6026,28.5616
159,14,m1,49.919,45.5230
169,15,m2,20.996,11.3976
169,15,m3,40.0369,7.6074
169,15,m1,104.577,97.4481
183,16,m3,32.4199,6.0840
183,16,m2,109.4772,64.4863
183,16,m1,107.2603,99.9973
193,17,m2,44.8697,25.7218
193,17,m3,26.4825,4.8965
193,17,m1,107.784,100.4948
204,18,m3,21.6528,3.9306
205,18,m2,119.2285,70.3371
205,18,m1,107.5122,100.2366
217,19,m2,49.0232,28.2139
217,19,m3,117.5714,23.1143
217,19,m1,107.9092,100.6137
228,20,m2,20.6585,11.1951
228,20,m3,94.3067,18.4613
228,20,m1,108.2007,100.8907
240,21,m2,109.2834,64.3700
244,21,m3,75.6948,14.7390
244,21,m1,108.6148,101.2841
255,22,m2,44.7626,25.6576
254,22,m3,60.8348,11.7670
255,22,m1,108.2739,100.9602
266,23,m3,49.0226,9.4045
266,23,m2,119.6226,70.5736
266,23,m1,107.4353,100.1635
277,24,m2,49.2728,28.3637
277,24,m3,39.4673,7.4935
277,24,m1,107.8592,100.5662
289,25,m3,32.1732,6.0346
289,25,m2,21.0207,11.4124
289,25,m1,107.6426,100.3605
300,26,m1,107.1187,99.8628
303,26,m3,26.0172,4.8034
303,26,m2,110.7111,65.2267
313,27,m3,21.1686,3.8337
314,27,m2,45.6476,26.1886
314,27,m1,107.9665,100.6682
325,28,m3,117.2135,23.0427
325,28,m2,119.5258,70.5155
325,28,m1,108.0477,100.7453
338,29,m3,94.3994,18.4799
338,29,m2,48.8595,28.1157
338,29,m1,107.829,100.5375
350,30,m3,76.2555,14.8511
350,30,m2,20.5898,11.1539
350,30,m1,107.8265,100.5352
361,31,m3,61.1088,11.8218
361,31,m2,109.3023,64.3814
361,31,m1,108.4265,101.1052
372,32,m3,49.2482,9.4496
372,32,m2,44.7561,25.6537
372,32,m1,108.0741,100.7704
385,33,m3,39.6478,7.5296
385,33,m2,119.345,70.4070
385,33,m1,107.9735,100.6748
397,34,m3,32.073,6.0146
397,34,m2,48.7872,28.0723
397,34,m1,108.0997,100.7947
409,35,m3,25.937,4.7874
409,35,m2,21.0275,11.4165
409,35,m1,107.8864,100.5921
420,36,m3,21.1664,3.8333
420,36,m2,109.3122,64.3873
420,36,m1,108.1141,100.8084
432,37,m3,117.6889,23.1378
432,37,m2,45.4061,26.0437
432,37,m1,107.2307,99.9692
446,38,m3,94.4005,18.4801
446,38,m2,119.2114,70.3268
446,38,m1,108.4369,101.1151
457,39,m3,75.9872,14.7974
457,39,m2,48.6748,28.0049
457,39,m1,108.2376,100.9257
468,40,m3,61.0354,11.8071
468,40,m2,21.1069,11.4641
468,40,m1,107.6333,100.3516
480,41,m3,49.0777,9.4155
480,41,m2,109.4034,64.4420
480,41,m1,108.2105,100.9000
493,42,m3,39.617,7.5234
493,42,m2,45.0644,25.8386
493,42,m1,108.4185,101.0976
505,43,m3,31.9426,5.9885
505,43,m2,119.9588,70.7753
505,43,m1,107.4801,100.2061
516,44,m2,48.7741,28.0645
519,44,m3,25.8327,4.7665
519,44,m1,108.208,100.8976
529,45,m3,21.0774,3.8155
529,45,m2,21.5366,11.7220
529,45,m1,107.3014,100.0363
542,46,m3,117.2681,23.0536
542,46,m2,109.6788,64.6073
542,46,m1,108.2031,100.8929
553,47,m3,94.0637,18.4127
553,47,m2,45.3093,25.9856
553,47,m1,107.7722,100.4836
565,48,m3,75.8736,14.7747
565,48,m2,119.1731,70.3039
565,48,m1,107.9794,100.6804
578,49,m3,60.8887,11.7777
578,49,m2,48.7182,28.0309
578,49,m1,108.3212,101.0051
588,50,m1,107.3101,100.0446
591,50,m3,48.9602,9.3920
591,50,m2,21.5617,11.7370
602,51,m3,39.4174,7.4835
602,51,m2,109.5791,64.5475
602,51,m1,108.4809,101.1569
613,52,m3,31.8125,5.9625
613,52,m2,45.1604,25.8962
613,52,m1,107.8656,100.5723
624,53,m3,26.3116,4.8623
624,53,m2,119.1134,70.2680
624,53,m1,107.8015,100.5114
638,54,m3,21.3279,3.8656
638,54,m2,48.9124,28.1474
639,54,m1,108.1191,100.8131
651,55,m3,17.3409,3.0682
651,55,m2,20.7264,11.2358
651,55,m1,8.083,5.7789
662,56,m3,114.2837,22.4567
662,56,m2,10.0432,4.8259
662,56,m1,102.5595,95.5315
674,57,m3,91.6204,17.9241
674,57,m2,105.1225,61.8735
674,57,m1,7.8794,5.5854
686,58,m3,73.5749,14.3150
686,58,m2,43.0982,24.6589
686,58,m1,103.2284,96.1670
