host,height,besthash,hash_a_653,peers,balance
admin,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,999254.8063
m1,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,108.0228
m2,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,20.6807
m3,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,93.8904
c1,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,90.8686
c2,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,93.8442
c3,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,95.3008
c4,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,96.1954
c5,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,96.9218
ca,659,0033b532241368d8647db0de0840cc01c2c868b2da12c3508a69c57ab40dac6a,009f21e17544787250640a4e093b5bd2689a7d07299bb69311f5b19d5b32ae51,9,49.357
