height,epoch,miner,balance,sent
160,14,m3,49.603,9.5206
160,14,m2,49.6024,28.5614
160,14,m1,49.603,45.2229
169,15,m2,20.9958,11.3975
169,15,m3,40.0372,7.6074
169,15,m1,104.5055,97.3802
183,16,m2,109.6443,64.5866
183,16,m3,32.7384,6.1477
183,16,m1,107.0493,99.7968
193,17,m1,107.1015,99.8464
193,17,m3,26.9585,4.9917
194,17,m2,45.3875,26.0325
204,18,m2,119.2046,70.3228
204,18,m3,21.9218,3.9844
204,18,m1,107.5533,100.2756
218,19,m2,48.7312,28.0387
218,19,m3,117.7866,23.1573
218,19,m1,108.5629,101.2348
231,20,m3,94.4787,18.4957
231,20,m2,20.5713,11.1428
231,20,m1,108.2601,100.9471
243,21,m2,109.2187,64.3312
243,21,m3,75.8324,14.7665
243,21,m1,108.3794,101.0604
254,22,m2,44.7665,25.6599
254,22,m3,61.0207,11.8041
255,22,m1,108.2014,100.8913
266,23,m3,49.0658,9.4132
266,23,m2,118.9854,70.1912
266,23,m1,108.2883,100.9739
278,24,m2,48.673,28.0038
278,24,m3,39.5312,7.5062
278,24,m1,108.1058,100.8005
289,25,m3,31.8746,5.9749
289,25,m2,20.624,11.1744
289,25,m1,108.1615,100.8534
300,26,m1,108.0419,100.7398
304,26,m3,26.0227,4.8045
304,26,m2,109.2988,64.3793
312,27,m3,21.0676,3.8135
312,27,m2,44.7981,25.6789
313,27,m1,108.2903,100.9758
327,28,m3,117.1033,23.0207
327,28,m2,119.563,70.5378
327,28,m1,107.9405,100.6435
336,29,m3,93.9612,18.3922
336,29,m2,49.4574,28.4744
336,29,m1,107.4226,100.1515
350,30,m3,75.8598,14.7720
350,30,m2,20.9732,11.3839
350,30,m1,107.7621,100.4740
360,31,m3,60.9076,11.7815
360,31,m2,109.3205,64.3923
360,31,m1,108.3311,101.0145
374,32,m3,49.0051,9.4010
375,32,m2,45.7376,26.2426
375,32,m1,107.401,100.1309
386,33,m3,39.9761,7.5952
386,33,m2,119.7916,70.6750
386,33,m1,107.3631,100.0949
397,34,m3,32.2299,6.0460
397,34,m2,49.3954,28.4372
397,34,m1,107.745,100.4578
409,35,m3,26.1389,4.8278
409,35,m2,20.8074,11.2844
409,35,m1,108.2558,100.9430
420,36,m3,21.1897,3.8379
421,36,m2,109.1596,64.2958
420,36,m1,108.4468,101.1245
436,37,m3,117.2306,23.0461
436,37,m2,45.254,25.9524
436,37,m1,107.9265,100.6302
447,38,m3,94.0631,18.4126
447,38,m2,119.2064,70.3238
447,38,m1,108.1841,100.8749
459,39,m3,75.6053,14.7211
459,39,m2,49.0504,28.2302
459,39,m1,108.7113,101.3757
470,40,m3,60.7334,11.7467
470,40,m2,21.809,11.8854
470,40,m1,107.1132,99.8575
480,41,m3,48.8359,9.3672
480,41,m2,10.1604,4.8962
481,41,m1,107.8311,100.5395
493,42,m3,39.7749,7.5550
493,42,m2,105.1136,61.8682
493,42,m1,107.7304,100.4439
504,43,m3,32.1747,6.0349
504,43,m2,43.065,24.6390
504,43,m1,108.2293,100.9178
518,44,m3,26.0184,4.8037
518,44,m2,118.4428,69.8657
518,44,m1,108.3361,101.0193
530,45,m3,21.0935,3.8187
530,45,m2,48.8713,28.1228
530,45,m1,107.8048,100.5146
541,46,m3,117.2296,23.0459
541,46,m2,21.1899,11.5139
541,46,m1,107.5442,100.2670
553,47,m3,94.0625,18.4125
553,47,m2,110.0434,64.8260
553,47,m1,107.7376,100.4507
565,48,m3,75.5286,14.7057
565,48,m2,45.5222,26.1133
565,48,m1,107.7649,100.4767
578,49,m3,60.7015,11.7403
578,49,m2,119.2285,70.3371
578,49,m1,108.2968,100.9820
590,50,m3,48.916,9.3832
590,50,m2,48.8524,28.1114
590,50,m1,108.0598,100.7568
602,51,m3,39.3822,7.4764
602,51,m2,21.429,11.6574
602,51,m1,107.4268,100.1555
612,52,m3,31.7552,5.9510
612,52,m2,109.8308,64.6985
612,52,m1,108.0691,100.7656
624,53,m3,25.6828,4.7366
625,53,m2,45.3681,26.0209
625,53,m1,107.8505,100.5580
637,54,m3,20.825,3.7650
637,54,m2,119.309,70.3854
637,54,m1,108.0467,100.7444
650,55,m3,117.0148,23.0030
650,55,m2,48.9382,28.1629
651,55,m1,108.2639,100.9507
662,56,m3,93.8904,18.3781
662,56,m2,20.6807,11.2084
662,56,m1,108.1908,100.8813
674,57,m3,75.3909,14.6782
674,57,m2,109.0269,64.2161
674,57,m1,108.5833,101.2541
684,58,m3,60.5913,11.7183
684,58,m2,44.6306,25.5784
684,58,m1,108.3486,101.0312
696,59,m3,48.8278,9.3656
696,59,m2,119.4838,70.4903
696,59,m1,107.5256,100.2493
