host,height,besthash,hash_a_584,peers,balance
admin,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,999275.7331
m1,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,125.6721
m2,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,51.5266
m3,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,119.7946
c1,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,57.757
c2,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,71.7894
c3,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,78.8066
c4,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,83.0148
c5,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,86.3804
ca,590,0026a6e2b03ab6ab518ac3e71255fa0fe63aa73e4ef8ec4995cc0f0bbd7e0502,00dc0e85e582c85589c0877bc1fa5c92b7d322e6eedf1bbb4224e6649115db6c,9,49.3568
