send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
23,2,m2,49.784,28.6704,24
23,2,m3,49.784,9.5568,24
23,2,m1,51.3124,46.8468,24
24,3,m1,104.4204,97.2994,25
24,3,m3,40.182,7.6364,25
24,3,m2,21.0686,11.4412,25
36,4,m3,32.3948,6.079,37
36,4,m2,111.0722,65.4433,37
36,4,m1,108.8392,101.4972,37
48,5,m2,45.5077,26.1046,49
48,5,m3,28.8716,5.3743,49
48,5,m1,107.613,100.3323,49
60,6,m3,24.3217,4.4643,61
60,6,m2,121.4147,71.6488,61
60,6,m1,107.1001,99.8451,61
72,7,m3,120.1468,23.6294,73
72,7,m1,110.249,102.8365,73
72,7,m2,50.6979,29.2187,73
84,8,m2,23.0802,12.6481,85
84,8,m3,96.3668,18.8734,85
84,8,m1,109.8575,102.4646,85
96,9,m3,77.136,15.0272,97
96,9,m2,113.0435,66.6261,97
96,9,m1,108.8007,101.4607,97
108,10,m3,62.2948,12.059,109
108,10,m2,47.2728,27.1637,109
108,10,m1,110.3724,102.9538,109
120,11,m3,50.1146,9.6229,121
120,11,m2,119.9875,70.7925,121
120,11,m1,111.9002,104.4052,121
132,12,m3,40.4465,7.6893,133
132,12,m2,50.5464,29.1278,133
132,12,m1,110.16,102.752,133
144,13,m3,33.6456,6.3291,145
144,13,m2,22.582,12.3492,145
144,13,m1,109.1042,101.749,145
156,14,m3,27.6999,5.14,157
156,14,m2,110.8236,65.2942,157
156,14,m1,109.8936,102.4989,157
168,15,m3,22.5149,4.103,169
168,15,m2,46.3064,26.5838,169
168,15,m1,110.4121,102.9915,169
