experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,epoch_buried,validator_host,validator_address,w_raw_start,w_raw_end,w_eff_start,w_eff_end,psi,p_theoretical_blockweighted,n_blocks,O_i,E_i,p_hat,wilson95_low,wilson95_high,p_theoretical_inside_wilson95,abs_error_p,share_changed_within_epoch
run1-tbt-15s,continentale,1,15,none,true,6,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12849,12849,12849.0,12849.0,1.0,0.08646291,11,1,0.951092,0.09090909,0.01623217,0.37735844,1,0.00444618,1
run1-tbt-15s,continentale,1,15,none,true,6,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,46543,43134,46543.0,43134.0,1.0,0.30235555,11,3,3.325911,0.27272727,0.09746059,0.5656453,1,0.02962827,1
run1-tbt-15s,continentale,1,15,none,true,6,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,94273,86978,94273.0,86978.0,1.0,0.611182,11,7,6.723002,0.63636364,0.35380117,0.84833529,1,0.02518164,1
run1-tbt-15s,continentale,1,15,none,true,7,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12849,12435,12849.0,12435.0,1.0,0.083613,12,0,1.003356,0.0,0.0,0.24249401,1,0.083613,1
run1-tbt-15s,continentale,1,15,none,true,7,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,43134,52732,43134.0,52732.0,1.0,0.30824358,12,4,3.698923,0.33333333,0.13812009,0.60937791,1,0.02508975,1
run1-tbt-15s,continentale,1,15,none,true,7,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,86978,100982,86978.0,100982.0,1.0,0.608144,12,8,7.297728,0.66666667,0.39062209,0.86187991,1,0.05852267,1
run1-tbt-15s,continentale,1,15,none,true,8,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12435,14185,12435.0,14185.0,1.0,0.08116533,12,0,0.973984,0.0,0.0,0.24249401,1,0.08116533,1
run1-tbt-15s,continentale,1,15,none,true,8,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,52732,47081,52732.0,47081.0,1.0,0.30962675,12,7,3.715521,0.58333333,0.31951131,0.80673969,0,0.27370658,1
run1-tbt-15s,continentale,1,15,none,true,8,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,100982,96314,100982.0,96314.0,1.0,0.60920792,12,5,7.310495,0.41666667,0.19326031,0.68048869,1,0.19254125,1
run1-tbt-15s,continentale,1,15,none,true,9,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,14185,12849,14185.0,12849.0,1.0,0.08885842,12,1,1.066301,0.08333333,0.01486509,0.35387991,1,0.00552508,1
run1-tbt-15s,continentale,1,15,none,true,9,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,47081,44838,47081.0,44838.0,1.0,0.30112542,12,3,3.613505,0.25,0.08894167,0.53230533,1,0.05112542,1
run1-tbt-15s,continentale,1,15,none,true,9,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,96314,89605,96314.0,89605.0,1.0,0.61001617,12,8,7.320194,0.66666667,0.39062209,0.86187991,1,0.0566505,1
run1-tbt-15s,continentale,1,15,none,true,10,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12849,14185,12849.0,14185.0,1.0,0.08693667,12,0,1.04324,0.0,0.0,0.24249401,1,0.08693667,1
run1-tbt-15s,continentale,1,15,none,true,10,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,44838,48785,44838.0,48785.0,1.0,0.30155808,12,0,3.618697,0.0,0.0,0.24249401,0,0.30155808,1
run1-tbt-15s,continentale,1,15,none,true,10,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,89605,100982,89605.0,100982.0,1.0,0.61150525,12,12,7.338063,1.0,0.75750599,1.0,0,0.38849475,1
run1-tbt-15s,continentale,1,15,none,true,11,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,14185,14185,14185.0,14185.0,1.0,0.08560108,12,0,1.027213,0.0,0.0,0.24249401,1,0.08560108,1
run1-tbt-15s,continentale,1,15,none,true,11,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,48785,51027,48785.0,51027.0,1.0,0.29995242,12,4,3.599429,0.33333333,0.13812009,0.60937791,1,0.03338092,1
run1-tbt-15s,continentale,1,15,none,true,11,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,100982,103024,100982.0,103024.0,1.0,0.6144465,12,8,7.373358,0.66666667,0.39062209,0.86187991,1,0.05222017,1
run1-tbt-15s,continentale,1,15,none,true,12,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,14185,12435,14185.0,12435.0,1.0,0.08207392,12,3,0.984887,0.25,0.08894167,0.53230533,0,0.16792608,1
run1-tbt-15s,continentale,1,15,none,true,12,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,51027,48785,51027.0,48785.0,1.0,0.30596142,12,3,3.671537,0.25,0.08894167,0.53230533,1,0.05596142,1
run1-tbt-15s,continentale,1,15,none,true,12,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,103024,96314,103024.0,96314.0,1.0,0.61196425,12,6,7.343571,0.5,0.2537816,0.7462184,1,0.11196425,1
run1-tbt-15s,continentale,1,15,none,true,13,1,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12435,12849,12435.0,12849.0,1.0,0.08136583,12,2,0.97639,0.16666667,0.04696514,0.44803086,1,0.08530083,1
run1-tbt-15s,continentale,1,15,none,true,13,1,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,48785,47081,48785.0,47081.0,1.0,0.31006692,12,4,3.720803,0.33333333,0.13812009,0.60937791,1,0.02326642,1
run1-tbt-15s,continentale,1,15,none,true,13,1,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,96314,91646,96314.0,91646.0,1.0,0.60856667,12,6,7.3028,0.5,0.2537816,0.7462184,1,0.10856667,1
run1-tbt-15s,continentale,1,15,none,true,14,0,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12849,12849,12849.0,12849.0,1.0,0.08758567,12,0,1.051028,0.0,0.0,0.24249401,1,0.08758567,1
run1-tbt-15s,continentale,1,15,none,true,14,0,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,47081,42596,47081.0,42596.0,1.0,0.30761792,12,2,3.691415,0.16666667,0.04696514,0.44803086,1,0.14095125,1
run1-tbt-15s,continentale,1,15,none,true,14,0,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,91646,84937,91646.0,84937.0,1.0,0.60479642,12,10,7.257557,0.83333333,0.55196914,0.95303486,1,0.22853692,1
run1-tbt-15s,continentale,1,15,none,true,15,0,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,12849,12849,12849.0,12849.0,1.0,0.091529,2,0,0.183058,0.0,0.0,0.65761977,1,0.091529,0
run1-tbt-15s,continentale,1,15,none,true,15,0,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,42596,42596,42596.0,42596.0,1.0,0.303429,2,0,0.606858,0.0,0.0,0.65761977,1,0.303429,0
run1-tbt-15s,continentale,1,15,none,true,15,0,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,84937,84937,84937.0,84937.0,1.0,0.605042,2,2,1.210084,1.0,0.34238023,1.0,1,0.394958,0
run1-tbt-15s,continentale,1,15,none,true,all,0,m3,1DVAYRLwA57d87NS9TFhcyQtj8C9mS32fKGiy9,,,,,1.0,0.08495917,109,7,9.260549,0.06422018,0.03145365,0.1266572,1,0.02073898,
run1-tbt-15s,continentale,1,15,none,true,all,0,m2,1Fa91C9vk2Fmhr2c3x5vQUpki246CgvwBUVKfa,,,,,1.0,0.30516146,109,30,33.262599,0.27522936,0.20012023,0.3656422,1,0.0299321,
run1-tbt-15s,continentale,1,15,none,true,all,0,m1,1PpTi3s5tJLjp9iNH9aPhA4Q5X1xfyjCBggDGf,,,,,1.0,0.60987938,109,72,66.476852,0.66055046,0.56754566,0.74262403,1,0.05067108,
