experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run1-tbt-15s,1,intercontinentale,15,none,true,12,6,1,60,71,61,11,11,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,8,6.691843,0.608349,0.608349,0.608349,0,0.727273,89605,89605,89605.0,89605.0,11,16.3864,9.702,22.567,0.5924,7,0,1,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,6,1,60,71,61,11,11,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,1,0.959584,0.087235,0.087235,0.087235,0,0.090909,12849,12849,12849.0,12849.0,11,21.2264,13.491,22.65,0.9151,1,0,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,6,1,60,71,61,11,11,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,2,3.348573,0.304416,0.304416,0.304416,0,0.181818,44838,44838,44838.0,44838.0,11,19.2756,11.007,22.497,0.785,3,1,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,7,1,72,83,72,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,9,7.380815,0.615068,0.608349,0.624474,1,0.75,89605,89000,89605.0,89000.0,12,16.8947,9.328,22.322,0.6263,9,0,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,7,1,72,83,72,12,12,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,0,1.000028,0.083336,0.087235,0.077877,1,0.0,12849,11099,12849.0,11099.0,12,20.7662,10.933,22.566,0.8844,0,0,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,7,1,72,83,72,12,12,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,3,3.619157,0.301596,0.304416,0.297649,1,0.25,44838,42421,44838.0,42421.0,12,18.3062,7.851,22.516,0.7204,3,0,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,8,1,84,95,84,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,6,7.369001,0.614083,0.624474,0.599537,1,0.5,89000,94273,89000.0,94273.0,12,18.3441,12.978,22.364,0.7229,6,0,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,8,1,84,95,84,12,12,m3,1MLVVG8fMGWs7VjPzEUks1PZciECtd6qf8R948,4,0.996191,0.083016,0.077877,0.090211,1,0.333333,11099,14185,11099.0,14185.0,12,19.7778,8.579,22.45,0.8185,3,0,1,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,8,1,84,95,84,12,12,m2,1PwHZnrqgjRdTWg1eAavbk64Zjg1K2K25m4v5P,2,3.634808,0.302901,0.297649,0.310252,1,0.166667,42421,48785,42421.0,48785.0,12,18.7613,8.027,22.317,0.7508,3,1,0,1,1,0
run1-tbt-15s,1,intercontinentale,15,none,true,12,9,1,96,107,96,12,12,m1,1BCbQWmgd57VhPC3P556KkGd4Y4x8a8CV1bddD,7,7.303667,0.608639,0.599537,0.621382,1,0.583333,94273,98356,94273.0,98356.0,12,16.0573,7.262,22.339,0.5705,7,0,0,1,1,0
