height,hash,miner_address,miner_host,time,txcount,confirmations,epoch,in_setup
1,001d1c2799ff2046b74c8b2c111eda869cbea510dc19c18687b656d2d7abc2f3,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684801,1,173,1,1
2,00e0e6893fafcf46810a31f77fc83bc97ff48d016034f60238b61532f180028a,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684802,1,172,1,1
3,00b153f951b05485be7c3d074c47165c5e1fc80b1207928c0367168a48c12504,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684816,4,171,1,1
4,002a0f5c43dbdedbd7d90b96bd92600943ed2084f16ba3558dc35f429d1d5861,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684832,1,170,1,1
5,001a8d2578c6cc4cac8e47983107e7cf4f45efec612b3a74072e1e3122032662,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684853,1,169,1,1
6,00050828c7c5d0b268f26f79a45a442922b35d25ee2b10972228ab4cddcd018b,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684875,40,168,1,1
7,0044d33f97969af2222591b329f56e01c0e4ca7047698987e7a74cb909d8d987,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684891,1,167,1,1
8,00ba3067d3f7bf864b4a827552847c1fd2978b33c4ef0c61464dd5a3183727b1,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684910,1,166,1,1
9,002ede62b24b80b898cc16ac5ab7868237ee4c00191694274d47aed7971e90c0,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684928,1,165,1,1
10,006f3d27900578f874ffebcddd41f7394e3b7461a98eb09454772ea7eb6bd4fc,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684948,1,164,1,1
11,0012a686da8b1018c97ccb2ec6526a34a8fb9d4e8173f0f0532db7dd3fe0c647,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684964,1,163,1,1
12,00923ffab838ac8486ec0d80aaa4cbc84d3c824676eb29f7440b640c26fd5243,178YcKNrBS74JFtDEHasjPF5n79EskqvQRXdhX,,946684978,1,162,2,1
