send_height,epoch_harness,miner_host,balance_before_gas,sent_gas,assumed_confirm_height
22,2,m3,50.0998,9.62,23
22,2,m2,49.7842,28.6705,23
22,2,m1,51.313,46.8473,23
24,3,m2,21.0687,11.4412,25
24,3,m3,40.4346,7.6869,25
24,3,m1,104.9815,97.8324,25
36,4,m3,33.2643,6.2529,37
36,4,m2,109.4769,64.4861,37
36,4,m1,109.5677,102.1893,37
48,5,m2,47.1548,27.0929,49
48,5,m3,27.6708,5.1342,49
48,5,m1,107.7782,100.4893,49
60,6,m2,120.5989,71.1593,61
60,6,m3,24.1248,4.425,61
60,6,m1,108.7665,101.4282,61
72,7,m3,120.3186,23.6637,73
72,7,m2,50.3826,29.0296,73
72,7,m1,109.8259,102.4346,73
84,8,m2,22.1186,12.0712,85
84,8,m3,96.5041,18.9008,85
84,8,m1,109.7783,102.3894,85
96,9,m3,77.2167,15.0433,97
96,9,m2,112.0576,66.0346,97
96,9,m1,109.3717,102.0031,97
108,10,m3,62.666,12.1332,109
108,10,m2,46.1522,26.4913,109
108,10,m1,110.4852,103.0609,109
120,11,m3,50.4876,9.6975,121
120,11,m2,121.1229,71.4737,121
120,11,m1,109.7977,102.4078,121
132,12,m3,41.3411,7.8682,133
132,12,m2,51.0362,29.4217,133
132,12,m1,109.4221,102.051,133
144,13,m3,33.3223,6.2645,145
144,13,m2,23.0357,12.6214,145
144,13,m1,110.0725,102.6689,145
156,14,m3,27.72,5.144,157
156,14,m2,111.4767,65.686,157
156,14,m1,109.5282,102.1518,157
168,15,m3,22.6232,4.1246,169
168,15,m2,47.5221,27.3133,169
168,15,m1,109.2924,101.9278,169
180,16,m3,118.9658,23.3932,181
180,16,m2,20.675,11.205,181
180,16,m1,110.3944,102.9747,181
