height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
60,6,1,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,1.2679518e-05,20.066,20.066,2000-01-01 00:14:35,0,run/data/m1/debug.log,458
60,6,1,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,4.63136209e-05,22.432,22.432,2000-01-01 00:14:36,0,run/data/m2/debug.log,455
60,6,1,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,2.64803458e-05,22.128,22.128,2000-01-01 00:14:36,0,run/data/m3/debug.log,471
61,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,2.87323048e-08,7.496,7.496,2000-01-01 00:14:55,0,run/data/m1/debug.log,675
61,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,2.08012253e-05,21.699,21.699,2000-01-01 00:14:57,0,run/data/m2/debug.log,470
61,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,5.73941555e-06,15.909,15.909,2000-01-01 00:14:57,0,run/data/m3/debug.log,486
62,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,4.95836518e-05,22.455,22.455,2000-01-01 00:15:03,0,run/data/m1/debug.log,979
62,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,1.41391945e-05,20.537,20.537,2000-01-01 00:15:04,0,run/data/m2/debug.log,486
62,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,2.89818661e-05,22.243,22.243,2000-01-01 00:15:04,0,run/data/m3/debug.log,502
63,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,8.14011499e-06,17.861,17.861,2000-01-01 00:15:26,0,run/data/m1/debug.log,994
63,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,1.0723984e-05,19.300,19.300,2000-01-01 00:15:25,0,run/data/m2/debug.log,850
63,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,0.000170150747,22.467,22.467,2000-01-01 00:15:26,0,run/data/m3/debug.log,517
64,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,1.67159702e-05,21.056,21.056,2000-01-01 00:15:45,0,run/data/m1/debug.log,1017
64,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,2.75653671e-05,22.108,22.108,2000-01-01 00:15:45,0,run/data/m2/debug.log,1232
64,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,0.000193124017,22.383,22.383,2000-01-01 00:15:46,0,run/data/m3/debug.log,548
65,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,2.26618033e-05,21.673,21.673,2000-01-01 00:16:07,0,run/data/m1/debug.log,1162
65,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,5.70804893e-05,22.230,22.230,2000-01-01 00:16:08,0,run/data/m2/debug.log,1267
65,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,7.54091211e-06,17.209,17.209,2000-01-01 00:16:08,0,run/data/m3/debug.log,563
66,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,4.69200263e-06,14.722,14.722,2000-01-01 00:16:27,0,run/data/m1/debug.log,1177
66,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,2.34121526e-05,21.814,21.814,2000-01-01 00:16:27,0,run/data/m2/debug.log,1282
66,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,2.12051001e-06,11.288,11.288,2000-01-01 00:16:26,0,run/data/m3/debug.log,1065
67,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,1.88543028e-05,21.375,21.375,2000-01-01 00:16:39,0,run/data/m1/debug.log,1199
67,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,3.72436356e-05,22.239,22.239,2000-01-01 00:16:39,0,run/data/m2/debug.log,1305
67,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,0.000139307241,22.300,22.300,2000-01-01 00:16:38,0,run/data/m3/debug.log,1332
68,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,3.6613419e-06,13.335,13.335,2000-01-01 00:17:01,0,run/data/m1/debug.log,1270
68,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,4.66241454e-05,22.051,22.051,2000-01-01 00:17:02,0,run/data/m2/debug.log,1336
68,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,0.000132970227,22.067,22.067,2000-01-01 00:17:01,0,run/data/m3/debug.log,1363
69,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,6.27066975e-07,8.411,8.411,2000-01-01 00:17:15,0,run/data/m1/debug.log,1410
69,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,2.871999e-05,21.868,21.868,2000-01-01 00:17:16,0,run/data/m2/debug.log,1351
69,6,0,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,9.85050824e-05,22.083,22.083,2000-01-01 00:17:16,0,run/data/m3/debug.log,1398
70,6,0,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,1.34088041e-05,20.099,20.099,2000-01-01 00:17:24,0,run/data/m1/debug.log,1744
70,6,0,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,1.57566672e-06,10.283,10.283,2000-01-01 00:17:25,0,run/data/m2/debug.log,1366
