host_a,host_b,one_way_ms,rtt_ms,hops
m1,m2,3.838,7.676,1
m1,m3,5.103,10.206,1
m1,c1,1.879,3.758,1
m1,c2,2.707,5.414,1
m1,c3,6.454,12.908,2
m1,c4,5.78,11.56,2
m1,admin,2.405,4.81,1
m1,ca,7.647,15.294,2
m1,c5,8.301,16.602,2
m2,m3,1.819,3.638,1
m2,c1,5.717,11.434,2
m2,c2,6.545,13.09,2
m2,c3,2.616,5.232,1
m2,c4,1.942,3.884,1
m2,admin,6.243,12.486,2
m2,ca,4.363,8.726,2
m2,c5,5.017,10.034,2
m3,c1,6.982,13.964,2
m3,c2,7.81,15.62,2
m3,c3,4.435,8.87,2
m3,c4,3.761,7.522,2
m3,admin,7.508,15.016,2
m3,ca,2.544,5.088,1
m3,c5,3.198,6.396,1
c1,c2,4.586,9.172,2
c1,c3,8.333,16.666,3
c1,c4,7.659,15.318,3
c1,admin,4.284,8.568,2
c1,ca,9.526,19.052,3
c1,c5,10.18,20.36,3
c2,c3,9.161,18.322,3
c2,c4,8.487,16.974,3
c2,admin,5.112,10.224,2
c2,ca,10.354,20.708,3
c2,c5,11.008,22.016,3
c3,c4,4.558,9.116,2
c3,admin,8.859,17.718,3
c3,ca,6.979,13.958,3
c3,c5,7.633,15.266,3
c4,admin,8.185,16.37,3
c4,ca,6.305,12.61,3
c4,c5,6.959,13.918,3
admin,ca,10.052,20.104,3
admin,c5,10.706,21.412,3
ca,c5,5.742,11.484,2
