experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,cluster_head_host,cluster_head_address,esg_miner,tau_miner,n_companies,companies,tau_cluster_sum,c_i_sum,theta_code,theta_thesis,W_k_raw,A_k_alloc,R_k_reconciled,B_k_prev,B_k,rho_k,rho_k_prev,feedback_factor,w_k_recomputed,w_k_int_recomputed,w_k_published,w_k_published_prev,publish_confirm_height,publish_logged_height,publish_logged_weight,recompute_match,implied_W_k_raw_from_published,implied_raw_delta_over_esg_miner,malus_M,psi,w_after_malus,w_effective_g,W_tot_snapshot,share_snapshot,blocks_mined_epoch,blocks_measured_epoch
run1-tbt-15s,1,nazionale,15,none,true,12,1,1,0,11,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,0.0,0,0,,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,1,,19,18,1,1,0.01,,0.0,1.0,1,1.0,3.0,0.333333,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,1,1,0,11,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,0.0,0,0,,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,1,,19,18,1,1,0.01,,0.0,1.0,1,1.0,3.0,0.333333,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,1,1,0,11,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,0.0,0,0,,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,1,,19,18,1,1,0.01,,0.0,1.0,1,1.0,3.0,0.333333,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,2,1,12,23,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,3,1,c5:esg=76.32:tau=2:c_i=1.5264,2,1.5264,10.0,27,79.212,0.392724,9.62,0.0,0.0,1.0,0.0,0.5,39.606,3961,3961,1,30,29,3961,1,79.22,0.0005,0.0,1.0,3961,3961.0,20170.0,0.196381,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,2,1,12,23,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,3,2,c3:esg=92.76:tau=2:c_i=1.8552 c4:esg=70.53:tau=2:c_i=1.4106,4,3.2658,10.0,27,151.444386,0.750844,28.6705,0.0,0.0,1.0,0.0,0.5,75.722193,7572,7572,1,30,29,7572,1,151.44,-0.0002,0.0,1.0,7572,7572.0,20170.0,0.375409,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,2,1,12,23,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,3,2,c1:esg=77.16:tau=2:c_i=1.5432 c2:esg=99.26:tau=2:c_i=1.9852,4,3.5284,10.0,27,172.741464,0.856432,46.8473,0.0,0.0,1.0,0.0,0.5,86.370732,8637,8637,1,30,29,8637,1,172.74,-0.0001,0.0,1.0,8637,8637.0,20170.0,0.42821,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,3,1,24,35,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,62.0,71,128.492,1.114498,7.6869,0.0,0.0,1.0,1.0,1.0,128.492,12849,12849,3961,42,41,12849,1,128.49,-0.0001,0.0,1.0,12849,12849.0,142961.0,0.089878,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,3,1,24,35,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=11:c_i=10.2036 c4:esg=70.53:tau=8:c_i=5.6424,19,15.846,62.0,71,431.33782,3.741286,11.4412,0.0,0.0,1.0,1.0,1.0,431.33782,43134,43134,7572,42,41,43134,1,431.34,0.0001,0.0,1.0,43134,43134.0,142961.0,0.301719,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,3,1,24,35,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=22:c_i=16.9752 c2:esg=99.26:tau=14:c_i=13.8964,36,30.8716,62.0,71,869.782536,7.544215,97.8324,0.0,0.0,1.0,1.0,1.0,869.782536,86978,86978,8637,42,41,86978,1,869.78,-0.0001,0.0,1.0,86978,86978.0,142961.0,0.608404,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,4,1,36,47,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,63.0,70,128.492,1.116164,6.2529,0.0,0.0,1.0,1.0,1.0,128.492,12849,,12849,,53,12849,,,,0.0,1.0,,,145050.0,0.088583,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,4,1,36,47,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=10:c_i=9.2760 c4:esg=70.53:tau=9:c_i=6.3477,19,15.6237,63.0,70,425.964829,3.700202,64.4861,0.0,0.0,1.0,1.0,1.0,425.964829,42596,42596,43134,54,53,42596,1,425.96,-0.0002,0.0,1.0,42596,42596.0,145050.0,0.293664,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,4,1,36,47,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=22:c_i=16.9752 c2:esg=99.26:tau=15:c_i=14.8890,37,31.8642,63.0,70,896.046732,7.783634,102.1893,0.0,0.0,1.0,1.0,1.0,896.046732,89605,89605,86978,54,53,89605,1,896.05,0.0001,0.0,1.0,89605,89605.0,145050.0,0.617752,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,5,1,48,59,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,1,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,65.0,72,110.992,0.976352,5.1342,0.0,0.0,1.0,1.0,1.0,110.992,11099,11099,,66,65,11099,1,110.99,-0.0001,0.0,1.0,11099,11099.0,147785.0,0.075102,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,5,1,48,59,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=12:c_i=11.1312 c4:esg=70.53:tau=9:c_i=6.3477,21,17.4789,65.0,72,470.805013,4.141483,27.0929,0.0,0.0,1.0,1.0,1.0,470.805013,47081,47081,42596,66,65,47081,1,470.81,0.0002,0.0,1.0,47081,47081.0,147785.0,0.318578,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,5,1,48,59,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=22:c_i=16.9752 c2:esg=99.26:tau=15:c_i=14.8890,37,31.8642,65.0,72,896.046732,7.882165,100.4893,0.0,0.0,1.0,1.0,1.0,896.046732,89605,,89605,,65,89605,,,,0.0,1.0,,,147785.0,0.60632,0,0
run1-tbt-15s,1,nazionale,15,none,true,12,6,1,60,71,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=8:c_i=6.1056,8,6.1056,71.0,78,141.848,1.269373,4.425,0.0,0.0,1.0,1.0,1.0,141.848,14185,14185,11099,78,77,14185,1,141.85,0.0001,0.0,1.0,14185,14185.0,158680.0,0.089394,2,11
run1-tbt-15s,1,nazionale,15,none,true,12,6,1,60,71,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=12:c_i=11.1312 c4:esg=70.53:tau=10:c_i=7.0530,22,18.1842,71.0,78,487.852114,4.365703,71.1593,0.0,0.0,1.0,1.0,1.0,487.852114,48785,48785,47081,78,77,48785,1,487.85,-0.0001,0.0,1.0,48785,48785.0,158680.0,0.307443,3,11
run1-tbt-15s,1,nazionale,15,none,true,12,6,1,60,71,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,1,2,c1:esg=77.16:tau=25:c_i=19.2900 c2:esg=99.26:tau=16:c_i=15.8816,41,35.1716,71.0,78,957.100536,8.564924,101.4282,0.0,0.0,1.0,1.0,1.0,957.100536,95710,95710,,78,77,95710,1,957.1,-0.0,0.0,1.0,95710,95710.0,158680.0,0.603164,6,11
run1-tbt-15s,1,nazionale,15,none,true,12,7,1,72,83,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=6:c_i=4.5792,6,4.5792,53.0,60,115.136,0.979143,23.6637,0.0,0.0,1.0,1.0,1.0,115.136,11514,11514,14185,90,89,11514,1,115.14,0.0002,0.0,1.0,11514,11514.0,124644.0,0.092375,0,12
run1-tbt-15s,1,nazionale,15,none,true,12,7,1,72,83,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=9:c_i=8.3484 c4:esg=70.53:tau=7:c_i=4.9371,16,13.2855,53.0,60,369.450535,3.141892,29.0296,0.0,0.0,1.0,1.0,1.0,369.450535,36945,36945,48785,90,89,36945,1,369.45,-0.0,0.0,1.0,36945,36945.0,124644.0,0.296404,2,12
run1-tbt-15s,1,nazionale,15,none,true,12,7,1,72,83,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=18:c_i=13.8888 c2:esg=99.26:tau=13:c_i=12.9038,31,26.7926,53.0,60,761.852196,6.478965,102.4346,0.0,0.0,1.0,1.0,1.0,761.852196,76185,76185,95710,90,89,76185,1,761.85,-0.0001,0.0,1.0,76185,76185.0,124644.0,0.611221,10,12
run1-tbt-15s,1,nazionale,15,none,true,12,8,1,84,95,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,63.0,71,128.492,1.119129,18.9008,0.0,0.0,1.0,1.0,1.0,128.492,12849,12849,11514,102,101,12849,1,128.49,-0.0001,0.0,1.0,12849,12849.0,144665.0,0.088819,0,12
run1-tbt-15s,1,nazionale,15,none,true,12,8,1,84,95,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=11:c_i=10.2036 c4:esg=70.53:tau=9:c_i=6.3477,20,16.5513,63.0,71,448.384921,3.905307,12.0712,0.0,0.0,1.0,1.0,1.0,448.384921,44838,44838,36945,102,101,44838,1,448.38,-0.0002,0.0,1.0,44838,44838.0,144665.0,0.309944,4,12
run1-tbt-15s,1,nazionale,15,none,true,12,8,1,84,95,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=22:c_i=16.9752 c2:esg=99.26:tau=14:c_i=13.8964,36,30.8716,63.0,71,869.782536,7.575563,102.3894,0.0,0.0,1.0,1.0,1.0,869.782536,86978,86978,76185,102,101,86978,1,869.78,-0.0001,0.0,1.0,86978,86978.0,144665.0,0.601237,8,12
run1-tbt-15s,1,nazionale,15,none,true,12,9,1,96,107,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,66.0,73,128.492,1.118973,15.0433,0.0,0.0,1.0,1.0,1.0,128.492,12849,,12849,,113,12849,,,,0.0,1.0,,,151576.0,0.084769,2,12
run1-tbt-15s,1,nazionale,15,none,true,12,9,1,96,107,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=12:c_i=11.1312 c4:esg=70.53:tau=9:c_i=6.3477,21,17.4789,66.0,73,470.805013,4.100006,66.0346,0.0,0.0,1.0,1.0,1.0,470.805013,47081,47081,44838,114,113,47081,1,470.81,0.0002,0.0,1.0,47081,47081.0,151576.0,0.31061,1,12
run1-tbt-15s,1,nazionale,15,none,true,12,9,1,96,107,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=23:c_i=17.7468 c2:esg=99.26:tau=15:c_i=14.8890,38,32.6358,66.0,73,916.463268,7.981021,102.0031,0.0,0.0,1.0,1.0,1.0,916.463268,91646,91646,86978,114,113,91646,1,916.46,-0.0001,0.0,1.0,91646,91646.0,151576.0,0.604621,9,12
run1-tbt-15s,1,nazionale,15,none,true,12,10,1,108,119,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,1,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,66.0,73,110.992,0.975361,12.1332,0.0,0.0,1.0,1.0,1.0,110.992,11099,11099,,126,125,11099,1,110.99,-0.0001,0.0,1.0,11099,11099.0,150210.0,0.07389,0,12
run1-tbt-15s,1,nazionale,15,none,true,12,10,1,108,119,m2,17Sjr3aPX8Bmfo7avGvib3ZJUxrz8u9aL8S8fU,24.17,2,2,c3:esg=92.76:tau=11:c_i=10.2036 c4:esg=70.53:tau=9:c_i=6.3477,20,16.5513,66.0,73,448.384921,3.940259,26.4913,0.0,0.0,1.0,1.0,1.0,448.384921,44838,44838,47081,126,125,44838,1,448.38,-0.0002,0.0,1.0,44838,44838.0,150210.0,0.298502,4,12
run1-tbt-15s,1,nazionale,15,none,true,12,10,1,108,119,m1,19yJUVFMutzSwj7ZAFvNZCniykq7siRUGdBDmi,26.46,2,2,c1:esg=77.16:tau=23:c_i=17.7468 c2:esg=99.26:tau=16:c_i=15.8816,39,33.6284,66.0,73,942.727464,8.284379,103.0609,0.0,0.0,1.0,1.0,1.0,942.727464,94273,94273,91646,126,125,94273,1,942.73,0.0001,0.0,1.0,94273,94273.0,150210.0,0.627608,8,12
run1-tbt-15s,1,nazionale,15,none,true,12,11,1,120,131,m3,14KnmFNEyURiePokvh2K6DsJopgbgjeyn5WeVj,17.5,2,1,c5:esg=76.32:tau=8:c_i=6.1056,8,6.1056,70.0,77,141.848,1.246746,9.6975,0.0,0.0,1.0,1.0,1.0,141.848,14185,14185,11099,138,137,14185,1,141.85,0.0001,0.0,1.0,14185,14185.0,159284.0,0.089055,2,12
