tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
59,60,admin,12,15.833,15.000,-0.833,7.500,2000-01-01 00:15:02,2,run/data/admin/debug.log,526
59,60,m1,12,15.833,15.000,-0.833,7.500,2000-01-01 00:14:47,3,run/data/m1/debug.log,452
59,60,m2,12,15.833,15.000,-0.833,7.500,2000-01-01 00:14:47,3,run/data/m2/debug.log,477
59,60,m3,12,15.833,15.000,-0.833,7.500,2000-01-01 00:14:46,3,run/data/m3/debug.log,474
60,61,admin,12,15.917,15.000,-0.917,7.500,2000-01-01 00:15:20,2,run/data/admin/debug.log,543
60,61,m1,12,15.917,15.000,-0.917,7.500,2000-01-01 00:15:03,3,run/data/m1/debug.log,467
60,61,m2,12,15.917,15.000,-0.917,7.500,2000-01-01 00:15:03,3,run/data/m2/debug.log,492
60,61,m3,12,15.917,15.000,-0.917,7.500,2000-01-01 00:15:02,3,run/data/m3/debug.log,596
61,62,admin,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:38,2,run/data/admin/debug.log,557
61,62,m1,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:21,3,run/data/m1/debug.log,483
61,62,m2,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:20,3,run/data/m2/debug.log,559
61,62,m3,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:21,3,run/data/m3/debug.log,612
62,63,admin,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:53,2,run/data/admin/debug.log,571
62,63,m1,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:38,3,run/data/m1/debug.log,498
62,63,m2,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:37,3,run/data/m2/debug.log,798
62,63,m3,12,16.167,15.000,-1.167,7.500,2000-01-01 00:15:38,3,run/data/m3/debug.log,627
63,64,admin,12,16.500,15.000,-1.500,7.500,2000-01-01 00:16:07,2,run/data/admin/debug.log,588
63,64,m1,12,16.500,15.000,-1.500,7.500,2000-01-01 00:15:53,3,run/data/m1/debug.log,1009
63,64,m2,12,16.500,15.000,-1.500,7.500,2000-01-01 00:15:54,3,run/data/m2/debug.log,813
63,64,m3,12,16.500,15.000,-1.500,7.500,2000-01-01 00:15:54,3,run/data/m3/debug.log,642
64,65,admin,12,16.333,15.000,-1.333,7.500,2000-01-01 00:16:26,2,run/data/admin/debug.log,602
64,65,m1,12,16.333,15.000,-1.333,7.500,2000-01-01 00:16:07,3,run/data/m1/debug.log,1218
64,65,m2,12,16.333,15.000,-1.333,7.500,2000-01-01 00:16:08,3,run/data/m2/debug.log,828
64,65,m3,12,16.333,15.000,-1.333,7.500,2000-01-01 00:16:08,3,run/data/m3/debug.log,657
65,66,admin,12,16.583,15.000,-1.583,7.500,2000-01-01 00:16:44,2,run/data/admin/debug.log,617
65,66,m1,12,16.583,15.000,-1.583,7.500,2000-01-01 00:16:26,3,run/data/m1/debug.log,1318
65,66,m2,12,16.583,15.000,-1.583,7.500,2000-01-01 00:16:27,3,run/data/m2/debug.log,843
65,66,m3,12,16.583,15.000,-1.583,7.500,2000-01-01 00:16:27,3,run/data/m3/debug.log,672
66,67,admin,12,16.833,15.000,-1.833,7.500,2000-01-01 00:16:55,2,run/data/admin/debug.log,631
