experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run1-tbt-15s,1,regionale,15,none,true,12,6,1,60,71,61,11,11,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,0,0.930157,0.08456,0.087235,0.08135,1,0.0,12849,12849,12849.0,12849.0,11,22.2015,22.038,22.283,0.9801,0,0,0,2,2,0
run1-tbt-15s,1,regionale,15,none,true,12,6,1,60,71,61,11,11,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,3,3.370832,0.306439,0.304416,0.308867,1,0.272727,44838,48785,44838.0,48785.0,11,18.0515,11.407,22.233,0.7034,4,1,0,2,2,0
run1-tbt-15s,1,regionale,15,none,true,12,6,1,60,71,61,11,11,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,8,6.699011,0.609001,0.608349,0.609783,1,0.727273,89605,96314,89605.0,96314.0,11,17.1387,10.514,21.915,0.6426,7,0,1,2,2,0
run1-tbt-15s,1,regionale,15,none,true,12,7,1,72,83,72,12,12,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,0,0.964124,0.080344,0.08135,0.078935,1,0.0,12849,12435,12849.0,12435.0,12,21.1774,14.022,22.217,0.9118,0,0,0,5,5,0
run1-tbt-15s,1,regionale,15,none,true,12,7,1,72,83,72,12,12,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,0,3.710468,0.309206,0.308867,0.309679,1,0.0,48785,48785,48785.0,48785.0,12,19.8238,12.698,22.213,0.8216,5,5,0,5,5,0
run1-tbt-15s,1,regionale,15,none,true,12,7,1,72,83,72,12,12,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,12,7.325408,0.610451,0.609783,0.611385,1,1.0,96314,96314,96314.0,96314.0,12,15.771,8.285,22.012,0.5514,7,0,5,5,5,0
run1-tbt-15s,1,regionale,15,none,true,12,8,1,84,95,84,12,12,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,1,1.003767,0.083647,0.078935,0.090244,1,0.083333,12435,14185,12435.0,14185.0,12,21.2146,8.718,22.517,0.9143,1,0,0,2,2,0
run1-tbt-15s,1,regionale,15,none,true,12,8,1,84,95,84,12,12,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,4,3.588501,0.299042,0.309679,0.284149,1,0.333333,48785,44664,48785.0,44664.0,12,18.9412,8.812,22.499,0.7627,4,0,0,2,2,0
run1-tbt-15s,1,regionale,15,none,true,12,8,1,84,95,84,12,12,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,7,7.407732,0.617311,0.611385,0.625607,1,0.583333,96314,98336,96314.0,98336.0,12,17.2729,11.945,22.428,0.6515,7,0,0,2,2,0
run1-tbt-15s,1,regionale,15,none,true,12,9,1,96,107,96,12,12,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,1,1.06532,0.088777,0.090244,0.086722,1,0.083333,14185,14185,14185.0,14185.0,12,20.6208,7.949,22.417,0.8747,2,1,0,1,1,0
