experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,cluster_head_host,cluster_head_address,esg_miner,tau_miner,n_companies,companies,tau_cluster_sum,c_i_sum,theta_code,theta_thesis,W_k_raw,A_k_alloc,R_k_reconciled,B_k_prev,B_k,rho_k,rho_k_prev,feedback_factor,w_k_recomputed,w_k_int_recomputed,w_k_published,w_k_published_prev,publish_confirm_height,publish_logged_height,publish_logged_weight,recompute_match,implied_W_k_raw_from_published,implied_raw_delta_over_esg_miner,malus_M,psi,w_after_malus,w_effective_g,W_tot_snapshot,share_snapshot,blocks_mined_epoch,blocks_measured_epoch,dumpfunction_effect,malus_trajectory
run1-tbt-15s,regionale,1,15,none,true,12,1,1,0,11,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,0.0,0,0,,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,1,,19,18,1,1,0.01,,0.0,1.0,1,1.0,3.0,0.333333,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,1,1,0,11,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,0.0,0,0,,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,1,,19,18,1,1,0.01,,0.0,1.0,1,1.0,3.0,0.333333,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,1,1,0,11,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,0.0,0,0,,0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1,1,,19,18,1,1,0.01,,0.0,1.0,1,1.0,3.0,0.333333,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,2,1,12,23,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,17.5,2,1,c5:esg=76.32:tau=1:c_i=0.7632,1,0.7632,5.0,19,48.356,0.205103,0.0,0.0,0.205103,0.0,0.0,0.5,24.178,2418,2418,1,30,29,2418,1,48.36,0.0002,0.0,1.0,2418,2418.0,11788.0,0.205124,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,2,1,12,23,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,24.17,2,2,c3:esg=92.76:tau=1:c_i=0.9276 c4:esg=70.53:tau=1:c_i=0.7053,2,1.6329,5.0,19,87.807193,0.372437,0.0,0.0,0.372437,0.0,0.0,0.5,43.903597,4390,4390,1,30,29,4390,1,87.8,-0.0003,0.0,1.0,4390,4390.0,11788.0,0.372413,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,2,1,12,23,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,26.46,2,2,c1:esg=77.16:tau=1:c_i=0.7716 c2:esg=99.26:tau=1:c_i=0.9926,2,1.7642,5.0,19,99.600732,0.42246,0.0,0.0,0.42246,0.0,0.0,0.5,49.800366,4980,4980,1,30,29,4980,1,99.6,-0.0,0.0,1.0,4980,4980.0,11788.0,0.422464,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,3,1,24,35,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,17.5,3,1,c5:esg=76.32:tau=8:c_i=6.1056,8,6.1056,67.0,79,159.348,1.33684,17.1932,0.205103,-0.0,1.0,0.0,0.5,79.674,7967,7967,2418,42,41,7967,1,159.34,-0.0005,0.0,1.0,7967,7967.0,79862.0,0.09976,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,3,1,24,35,m2,1QfNfpZhwfH6CM4ixrSJgDoDJhiRFdtubEjpYo,24.17,3,2,c3:esg=92.76:tau=12:c_i=11.1312 c4:esg=70.53:tau=9:c_i=6.3477,21,17.4789,67.0,79,494.975013,4.152563,40.1116,0.372437,0.0,1.0,0.0,0.5,247.487507,24749,24749,4390,42,41,24749,1,494.98,0.0002,0.0,1.0,24749,24749.0,79862.0,0.309897,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,3,1,24,35,m1,1YLDd55XmgLpCAy6ncxQKNEsQ8HSppoxHySYBe,26.46,3,2,c1:esg=77.16:tau=23:c_i=17.7468 c2:esg=99.26:tau=15:c_i=14.8890,38,32.6358,67.0,79,942.923268,7.910597,142.6216,0.42246,-0.0,1.0,0.0,0.5,471.461634,47146,47146,4980,42,41,47146,1,942.92,-0.0001,0.0,1.0,47146,47146.0,79862.0,0.590343,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
run1-tbt-15s,regionale,1,15,none,true,12,4,1,36,47,m3,126zpQGvcdYaSuvkAvrpLoXoNrPtK4JEbekAiJ,17.5,2,1,c5:esg=76.32:tau=7:c_i=5.3424,7,5.3424,64.0,71,128.492,1.116621,6.1792,-0.0,-0.0,1.0,1.0,1.0,128.492,12849,12849,7967,54,53,12849,1,128.49,-0.0001,0.0,1.0,12849,12849.0,147292.0,0.087235,0,0,"not computable: dump-function=none in this run: g(w) = w, no damping to measure",not computable: malus registry empty: M = 0 and Psi = 1 in every epoch (no decay to observe)
