experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,n_clusters,n_published,gini_w_published,gini_input_W_k_raw,gini_input_c_i_sum,gini_delta_published_minus_input,entropy_norm_w_published,entropy_norm_input_W_k_raw,HHI_w_published,dominant_host,dominant_share,n_recompute_match,n_recompute_mismatch,n_hosts_verification_ok_log,n_hosts_verification_failed_log,gini_note
run1-tbt-15s,regionale,1,15,none,true,1,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.33333333,m3,0.33333333,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,2,3,3,0.14489311,0.14490408,0.1604051,-1.097e-05,0.96195302,0.96194241,0.35924239,m1,0.42246352,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,3,3,3,0.32705584,0.32705258,0.31459811,3.26e-06,0.82297931,0.82298423,0.45449343,m1,0.59034334,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,4,3,3,0.34740968,0.34740643,0.32890422,3.25e-06,0.798455,0.79845864,0.47036785,m1,0.6083494,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,5,3,2,0.16378128,0.35228797,0.33441861,-0.18850669,0.92115423,0.79064183,0.55364862,m1,0.66378128,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,6,3,1,,0.35496837,0.32140054,,,0.78667818,,m3,1.0,1,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,7,3,3,0.35690853,0.35691189,0.33538917,-3.37e-06,0.79010683,0.79010283,0.4802686,m1,0.62560677,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,8,3,2,0.15841495,0.34306309,0.32087521,-0.18464814,0.92632742,0.80218018,0.55019059,m1,0.65841495,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,9,3,3,0.36007934,0.3600798,0.32714279,-4.6e-07,0.78104524,0.7810441,0.48043603,m1,0.61775963,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,10,3,2,0.37939401,0.346972,0.32862613,0.03242202,0.53110025,0.79631452,0.78787963,m1,0.87939401,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,11,3,2,0.18299415,0.3479179,0.32246269,-0.16492375,0.90109566,0.80137668,0.56697372,m1,0.68299415,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,12,3,3,0.36274922,0.36275021,0.3306904,-9.9e-07,0.77663827,0.77663651,0.48244921,m1,0.6188148,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,13,3,3,0.35177311,0.35177127,0.3336836,1.83e-06,0.79367041,0.79367257,0.47418694,m1,0.61370226,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run1-tbt-15s,regionale,1,15,none,true,14,3,0,,0.34374404,0.32140054,,,0.80281038,,,,0,0,0,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
