experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_host,validator_address,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,MissedTurnRate,MissedTurnRate_note,n_rounds_won_not_argmin,blocks_won
run2-tbt-10s,continentale,1,10,none,true,6,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run2-tbt-10s,continentale,1,10,none,true,6,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,4,1,0.25,,0,3
run2-tbt-10s,continentale,1,10,none,true,6,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,1,4
run2-tbt-10s,continentale,1,10,none,true,7,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0,0.0,,0,1
run2-tbt-10s,continentale,1,10,none,true,7,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0,0.0,,0,9
run2-tbt-10s,continentale,1,10,none,true,7,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,0,0.0,,0,2
run2-tbt-10s,continentale,1,10,none,true,8,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run2-tbt-10s,continentale,1,10,none,true,8,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0,0.0,,1,10
run2-tbt-10s,continentale,1,10,none,true,8,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,1,0.33333333,,0,2
run2-tbt-10s,continentale,1,10,none,true,9,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run2-tbt-10s,continentale,1,10,none,true,9,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0,0.0,,1,10
run2-tbt-10s,continentale,1,10,none,true,9,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,1,0.33333333,,0,2
run2-tbt-10s,continentale,1,10,none,true,10,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0,0.0,,0,1
run2-tbt-10s,continentale,1,10,none,true,10,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,8,0,0.0,,0,8
run2-tbt-10s,continentale,1,10,none,true,10,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,0,3
run2-tbt-10s,continentale,1,10,none,true,11,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,0,0.0,,0,2
run2-tbt-10s,continentale,1,10,none,true,11,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,6,0,0.0,,1,7
run2-tbt-10s,continentale,1,10,none,true,11,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,4,1,0.25,,0,3
run2-tbt-10s,continentale,1,10,none,true,12,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run2-tbt-10s,continentale,1,10,none,true,12,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0,0.0,,0,9
run2-tbt-10s,continentale,1,10,none,true,12,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,0,3
run2-tbt-10s,continentale,1,10,none,true,13,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,1,1.0,,0,0
run2-tbt-10s,continentale,1,10,none,true,13,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,8,0,0.0,,1,9
run2-tbt-10s,continentale,1,10,none,true,13,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,0,3
run2-tbt-10s,continentale,1,10,none,true,14,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0,0.0,,0,1
run2-tbt-10s,continentale,1,10,none,true,14,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,5,0,0.0,,1,6
run2-tbt-10s,continentale,1,10,none,true,14,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,6,1,0.16666667,,0,5
run2-tbt-10s,continentale,1,10,none,true,15,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0,0.0,,0,1
run2-tbt-10s,continentale,1,10,none,true,15,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,0,0.0,,2,9
run2-tbt-10s,continentale,1,10,none,true,15,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,4,2,0.5,,0,2
run2-tbt-10s,continentale,1,10,none,true,16,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,0,0.0,,0,1
run2-tbt-10s,continentale,1,10,none,true,16,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,9,0,0.0,,1,10
run2-tbt-10s,continentale,1,10,none,true,16,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,2,1,0.5,,0,1
run2-tbt-10s,continentale,1,10,none,true,17,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,3,1,0.33333333,,1,3
run2-tbt-10s,continentale,1,10,none,true,17,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,6,1,0.16666667,,1,6
run2-tbt-10s,continentale,1,10,none,true,17,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,0,3
run2-tbt-10s,continentale,1,10,none,true,18,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,0,0.0,,0,2
run2-tbt-10s,continentale,1,10,none,true,18,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,7,0,0.0,,0,7
run2-tbt-10s,continentale,1,10,none,true,18,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,3,0,0.0,,0,3
run2-tbt-10s,continentale,1,10,none,true,19,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,2,2,1.0,,0,0
run2-tbt-10s,continentale,1,10,none,true,19,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,5,0,0.0,,1,6
run2-tbt-10s,continentale,1,10,none,true,19,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,5,0,0.0,,1,6
run2-tbt-10s,continentale,1,10,none,true,20,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,0,0,,not computable: never the theoretical argmin in this epoch,0,0
run2-tbt-10s,continentale,1,10,none,true,20,m1,1M1uMpgaw82fhzH6tz99Eybn5ydKoNaFrwXUvb,4,0,0.0,,0,4
run2-tbt-10s,continentale,1,10,none,true,20,m2,1ZMv2Lqqkcy5zY6fAyGy1Dn6KT3fBVb7GxkCd3,8,0,0.0,,0,8
run2-tbt-10s,continentale,1,10,none,true,21,m3,1KxWxQCw8B6cfbPkjPqbyQ6co3qCuicxpv4P58,1,1,1.0,,0,0
