send_height,kind,to_host,amount_gas
6,init,c1,100.0
6,init,c2,100.0
6,init,c3,100.0
6,init,c4,100.0
6,init,c5,100.0
6,init,m1,50.0
6,init,m2,50.0
6,init,m3,50.0
6,init,ca,50.0
34,refill,m1,100.0
37,refill,m1,100.0
37,refill,m2,100.0
49,refill,m1,100.0
61,refill,m1,100.0
61,refill,m2,100.0
73,refill,m1,100.0
73,refill,m3,100.0
84,refill,m1,100.0
99,refill,m1,100.0
99,refill,m2,100.0
111,refill,m1,100.0
122,refill,m1,100.0
134,refill,m1,100.0
134,refill,m2,100.0
146,refill,m1,100.0
157,refill,m1,100.0
157,refill,m2,100.0
169,refill,m1,100.0
180,refill,m1,100.0
180,refill,m3,100.0
195,refill,m1,100.0
195,refill,m2,100.0
206,refill,m1,100.0
218,refill,m1,100.0
218,refill,m2,100.0
229,refill,m1,100.0
241,refill,m1,100.0
254,refill,m1,100.0
254,refill,m2,100.0
265,refill,m1,100.0
278,refill,m1,100.0
288,refill,m1,100.0
288,refill,m2,100.0
288,refill,m3,100.0
303,refill,m1,100.0
313,refill,m1,100.0
313,refill,m2,100.0
325,refill,m1,100.0
337,refill,m1,100.0
