height,epoch,in_setup,host,address,score_raw,delay_logged_s,start_in_s,log_timestamp,duplicate_index,source_file,source_line
64,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,2.88251476e-06,8.672,8.672,2000-01-01 00:10:32,0,run/data/m1/debug.log,462
64,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,1.91466022e-05,14.496,14.496,2000-01-01 00:10:30,0,run/data/m2/debug.log,460
64,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,3.21588512e-05,14.894,14.894,2000-01-01 00:10:31,0,run/data/m3/debug.log,472
65,6,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,3.53641882e-06,9.401,9.401,2000-01-01 00:10:40,0,run/data/m1/debug.log,494
65,6,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,3.11846266e-06,9.006,9.006,2000-01-01 00:10:41,0,run/data/m2/debug.log,475
65,6,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,6.51033456e-05,15.050,15.050,2000-01-01 00:10:41,0,run/data/m3/debug.log,487
66,6,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,1.5381764e-06,7.149,7.149,2000-01-01 00:10:50,0,run/data/m1/debug.log,512
66,6,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,2.04901779e-05,14.584,14.584,2000-01-01 00:10:51,0,run/data/m2/debug.log,495
66,6,0,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,5.79237415e-05,14.949,14.949,2000-01-01 00:10:51,0,run/data/m3/debug.log,502
67,6,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,6.77353104e-06,11.556,11.556,2000-01-01 00:10:58,0,run/data/m1/debug.log,884
67,6,0,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,6.90419926e-05,15.000,15.000,2000-01-01 00:10:59,0,run/data/m2/debug.log,510
