experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,height,epoch,epoch_buried,candidate_host,candidate_address,weight_raw_inforce,weight_record_epoch_tag,weight_record_confirm_height,psi,weight_effective,W_tot_effective,p_theoretical,score_raw,E_i,u_i,score_norm,phi_s,phi_bound_s,delay_logged_s,delay_recomputed_s,delay_mismatch_s,delay_recompute_ok,W_tot_implied_by_logged_delay,is_winner,rank_by_delay,rank_by_score,is_theoretical_argmin_delay,is_theoretical_argmin_score,actual_proposer_host,actual_proposer_address,block_hash,block_time,parent_time,verify_delay_floor_s,time_bar_ok,fork_detected,n_competing_blocks,balance_gas_sample,balance_sample_height,streak_position
run2-tbt-10s,1,intercontinentale,10,none,true,12,65,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,107087,4,54,1.0,107087.0,161475.0,0.66318,3.53641882e-06,0.37870448,0.68474794,0.43506423,0.25,5.000,9.401,9.4006,-0.0004,1,,1,2,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,0038ce960750dc802867ee5019fb9f065e04ba9a9a6833fea28f8d6d73c33fe6,946685450,946685440,9,1,0,0,107.0717,64,1
run2-tbt-10s,1,intercontinentale,10,none,true,12,65,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,41030,4,54,1.0,41030.0,161475.0,0.254095,3.11846266e-06,0.12795052,0.87989691,0.39562098,0.25,5.000,9.006,9.0062,0.0002,1,,0,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,0038ce960750dc802867ee5019fb9f065e04ba9a9a6833fea28f8d6d73c33fe6,946685450,946685440,9,1,0,0,119.4805,64,
run2-tbt-10s,1,intercontinentale,10,none,true,12,65,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,13358,4,54,1.0,13358.0,161475.0,0.082725,6.51033456e-05,0.86965049,0.419098,0.99997281,0.25,5.000,15.05,15.0497,-0.0003,1,,0,3,3,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,0038ce960750dc802867ee5019fb9f065e04ba9a9a6833fea28f8d6d73c33fe6,946685450,946685440,9,1,0,0,23.2815,64,
run2-tbt-10s,1,intercontinentale,10,none,true,12,66,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,107087,4,54,1.0,107087.0,161475.0,0.66318,1.5381764e-06,0.1647187,0.84813225,0.21993422,-0.25,5.000,7.149,7.1493,0.0003,1,,1,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,000ed28e7e270a7236878cd9c4b4870af2e2b6213580ba741f378095861bd93f,946685458,946685450,7,1,0,0,107.0717,64,2
run2-tbt-10s,1,intercontinentale,10,none,true,12,66,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,41030,4,54,1.0,41030.0,161475.0,0.254095,2.04901779e-05,0.840712,0.43140326,0.96343455,-0.25,5.000,14.584,14.5843,0.0003,1,,0,2,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,000ed28e7e270a7236878cd9c4b4870af2e2b6213580ba741f378095861bd93f,946685458,946685450,7,1,0,0,119.4805,64,
run2-tbt-10s,1,intercontinentale,10,none,true,12,66,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,13358,4,54,1.0,13358.0,161475.0,0.082725,5.79237415e-05,0.77374534,0.46128217,0.99991332,-0.25,5.000,14.949,14.9491,0.0001,1,,0,3,3,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,000ed28e7e270a7236878cd9c4b4870af2e2b6213580ba741f378095861bd93f,946685458,946685450,7,1,0,0,23.2815,64,
run2-tbt-10s,1,intercontinentale,10,none,true,12,67,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,105590,5,66,1.0,105590.0,157352.0,0.671043,6.77353104e-06,0.71521714,0.4890859,0.65555769,0.0,5.000,11.556,11.5556,-0.0004,1,,1,1,1,1,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00570deab0746e26d5155505a390a4847d272d85b3a45af1ae431adaa7973907,946685470,946685458,11,1,0,0,107.5939,67,3
run2-tbt-10s,1,intercontinentale,10,none,true,12,67,6,1,m2,1U9k1edYTa5QzLkoar9sYbaRncvZGQCJ33agpc,38404,5,66,1.0,38404.0,157352.0,0.244064,6.90419926e-05,2.65148868,0.07054611,0.99998086,0.0,5.000,15.0,14.9998,-0.0002,1,,0,3,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00570deab0746e26d5155505a390a4847d272d85b3a45af1ae431adaa7973907,946685470,946685458,11,1,0,0,119.4043,67,
run2-tbt-10s,1,intercontinentale,10,none,true,12,67,6,1,m3,1H2ZSPhnLnBw6i2ghJ5DcHXH7AafiDkSkFdiq2,13358,4,54,1.0,13358.0,157352.0,0.084892,0.000127673527,1.70546297,0.18168825,1.0,0.0,5.000,15.0,15.0,-0.0,1,,0,2,3,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00570deab0746e26d5155505a390a4847d272d85b3a45af1ae431adaa7973907,946685470,946685458,11,1,0,0,23.2815,67,
run2-tbt-10s,1,intercontinentale,10,none,true,12,68,6,1,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,105590,5,66,1.0,105590.0,157352.0,0.671043,9.32308317e-06,0.98442435,0.37365426,0.76938504,0.083,5.000,12.711,12.7105,-0.0005,1,,1,2,2,0,0,m1,1CoWuY4gZW7xVpsTregiYWuhnsmgnnBimpbDjx,00794562a0eba8c89b31ba14b9e3832afddf8299457175d216013bdb1517e06e,946685483,946685470,12,1,1,1,107.5939,67,4
