experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,n_clusters,n_published,gini_w_published,gini_input_W_k_raw,gini_input_c_i_sum,gini_delta_published_minus_input,entropy_norm_w_published,entropy_norm_input_W_k_raw,HHI_w_published,dominant_host,dominant_share,n_recompute_match,n_recompute_mismatch,n_hosts_verification_ok_log,n_hosts_verification_failed_log,gini_note
run2-tbt-10s,intercontinentale,1,10,none,true,1,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.33333333,m1,0.33333333,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,2,3,0,,0.0,0.0,,,0.0,,,,0,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,3,3,3,0.29456574,0.29456243,0.22673871,3.31e-06,0.85954553,0.85954785,0.43985436,m1,0.59278453,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,4,3,3,0.38697012,0.38697303,0.24150753,-2.91e-06,0.75246365,0.75245947,0.5112155,m1,0.66318006,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,5,3,2,0.23329444,0.39077071,0.22711289,-0.15747627,0.83669749,0.74755592,0.60885259,m1,0.73329444,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,6,3,3,0.41348948,0.41349212,0.23492758,-2.64e-06,0.71317321,0.71316887,0.53668435,m1,0.68627913,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,7,3,3,0.3785461,0.37854743,0.25693573,-1.33e-06,0.76297919,0.76297691,0.50100307,m1,0.65005664,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,8,3,2,0.23480956,0.39795902,0.23492758,-0.16314947,0.83447824,0.73722884,0.61027106,m1,0.73480956,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,9,3,2,0.40730166,0.4029839,0.24150753,0.00431776,0.44541297,0.72819068,0.83178928,m1,0.90730166,2,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
run2-tbt-10s,intercontinentale,1,10,none,true,10,3,3,0.4084675,0.40847237,0.22065906,-4.87e-06,0.72164422,0.72163698,0.53973555,m1,0.69551228,3,0,10,0,gini_input is the Gini of W_k^(e) (ESG x activity before the rho feedback): the baseline the published weight is compared with; if gini_published - gini_input grows over epochs the feedback amplifies inequality beyond the inputs
