sample_height,host,balance_gas
34,c1,99.8044
34,c2,99.8042
34,c3,99.8042
34,c4,99.8048
34,c5,99.8044
34,m1,4.344
34,m2,21.0684
34,m3,41.6566
34,ca,49.3572
37,c1,99.6082
37,c2,99.6634
37,c3,99.7192
37,c4,99.7198
37,c5,99.7192
37,m1,7.072
37,m2,9.5822
37,m3,34.4814
37,ca,49.3572
40,c1,99.3858
40,c2,99.4968
40,c3,99.6082
40,c4,99.6088
40,c5,99.6636
40,m1,107.072
40,m2,109.5822
40,m3,34.6482
40,ca,49.3572
42,c1,99.1632
42,c2,99.3856
42,c3,99.497
42,c4,99.5532
42,c5,99.608
42,m1,107.3
42,m2,109.4768
42,m3,34.5432
42,ca,49.3572
46,c1,98.9402
46,c2,99.2186
46,c3,99.386
46,c4,99.442
46,c5,99.5524
46,m1,108.1722
46,m2,109.4768
46,m3,34.5432
46,ca,49.3572
49,c1,98.7732
49,c2,99.107
49,c3,99.2746
49,c4,99.3864
49,c5,99.4412
49,m1,7.2338
49,m2,45.2574
49,m3,27.9894
49,ca,49.3572
52,c1,98.5504
52,c2,98.9396
52,c3,99.163
52,c4,99.2752
52,c5,99.3858
52,m1,107.4462
52,m2,45.8126
52,m3,27.9894
52,ca,49.3572
55,c1,98.3272
55,c2,98.8282
55,c3,99.0514
55,c4,99.2196
55,c5,99.3302
55,m1,107.648
55,m2,45.7362
55,m3,27.9138
55,ca,49.3572
58,c1,98.1044
58,c2,98.661
58,c3,98.9402
58,c4,99.108
58,c5,99.2744
58,m1,107.648
58,m2,45.7362
58,m3,27.9138
58,ca,49.3572
61,c1,97.9374
61,c2,98.5494
61,c3,98.8846
61,c4,99.0522
61,c5,99.2186
61,m1,7.1514
61,m2,19.4493
61,m3,22.686
61,ca,49.3572
63,c1,97.7144
63,c2,98.382
63,c3,98.773
63,c4,98.9408
63,c5,99.107
63,m1,107.5762
63,m2,119.4493
63,m3,22.686
63,ca,49.3572
66,c1,97.4916
66,c2,98.2704
66,c3,98.6616
66,c4,98.8852
66,c5,99.0512
66,m1,108.054
66,m2,119.3729
66,m3,22.6104
66,ca,49.3572
68,c1,97.2688
68,c2,98.1032
68,c3,98.55
68,c4,98.7738
68,c5,98.9954
68,m1,109.0662
68,m2,119.3729
68,m3,22.6104
68,ca,49.3572
71,c1,97.1016
71,c2,97.9918
71,c3,98.4384
71,c4,98.718
71,c5,98.9396
71,m1,109.5118
71,m2,119.3729
71,m3,22.6104
71,ca,49.3572
74,c1,96.8784
74,c2,97.8246
74,c3,98.3268
74,c4,98.6064
74,c5,98.8838
74,m1,7.1995
74,m2,49.0156
74,m3,18.4431
74,ca,49.3572
78,c1,96.6554
78,c2,97.7132
78,c3,98.2154
78,c4,98.5506
78,c5,98.7726
78,m1,108.3035
78,m2,49.021
78,m3,118.3379
78,ca,49.3572
80,c1,96.4322
80,c2,97.5464
80,c3,98.1038
80,c4,98.439
80,c5,98.717
80,m1,108.6379
80,m2,49.5052
80,m3,118.3379
80,ca,49.3572
83,c1,96.2648
83,c2,97.435
83,c3,97.9922
83,c4,98.3832
83,c5,98.6612
83,m1,109.1395
83,m2,49.5052
83,m3,118.3379
83,ca,49.3572
85,c1,96.0422
85,c2,97.2676
85,c3,97.9364
85,c4,98.2718
85,c5,98.6056
85,m1,7.2595
85,m2,20.9569
85,m3,95.0253
85,ca,49.3572
88,c1,95.8194
88,c2,97.156
88,c3,97.8248
88,c4,98.216
88,c5,98.55
88,m1,108.4559
88,m2,20.9569
88,m3,95.0253
88,ca,49.3572
91,c1,95.5966
91,c2,96.9888
91,c3,97.7134
91,c4,98.1044
91,c5,98.4386
91,m1,109.1095
91,m2,20.8805
91,m3,95.2287
91,ca,49.3572
93,c1,95.3734
93,c2,96.8774
93,c3,97.6018
93,c4,98.0486
93,c5,98.383
93,m1,109.3323
93,m2,20.8805
93,m3,95.2287
93,ca,49.3572
96,c1,95.206
96,c2,96.71
96,c3,97.4906
96,c4,97.937
96,c5,98.3272
96,m1,7.0698
96,m2,9.4412
96,m3,76.7162
96,ca,49.3572
100,c1,94.983
100,c2,96.5986
100,c3,97.379
100,c4,97.8814
100,c5,98.2716
100,m1,108.4078
100,m2,109.4412
100,m3,76.7162
100,ca,49.3572
103,c1,94.7596
103,c2,96.4308
103,c3,97.2672
103,c4,97.7696
103,c5,98.2156
103,m1,109.0978
103,m2,109.3648
103,m3,76.7162
103,ca,49.3572
106,c1,94.5356
106,c2,96.3188
106,c3,97.1552
106,c4,97.7138
106,c5,98.1036
106,m1,109.6014
106,m2,109.3648
106,m3,76.8282
106,ca,49.3572
109,c1,94.3118
109,c2,96.151
109,c3,97.0434
109,c4,97.6018
109,c5,98.0476
109,m1,7.2032
109,m2,44.9007
109,m3,61.8174
109,ca,49.3572
111,c1,94.1434
111,c2,96.039
111,c3,96.9876
111,c4,97.5458
111,c5,97.9918
111,m1,108.1568
111,m2,44.9007
111,m3,61.8174
111,ca,49.3572
