height,signer_address,signer_host,score,delay_floor_s,ntime,parent_ntime,n_hosts_seen,hosts_seen,n_lines,first_log_timestamp,first_source_file,first_source_line
64,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,9.11442376e-06,12,946685447,946685434,4,admin m1 m2 m3,8,2000-01-01 00:10:47,run/data/admin/debug.log,548
65,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,1.19390021e-06,6,946685453,946685447,4,admin m1 m2 m3,8,2000-01-01 00:10:54,run/data/admin/debug.log,562
66,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,1.75517751e-05,14,946685468,946685453,4,admin m1 m2 m3,8,2000-01-01 00:11:08,run/data/admin/debug.log,577
67,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,6.80598737e-06,11,946685480,946685468,4,admin m1 m2 m3,8,2000-01-01 00:11:20,run/data/admin/debug.log,591
68,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,6.89095804e-06,11,946685492,946685480,4,admin m1 m2 m3,8,2000-01-01 00:11:32,run/data/admin/debug.log,605
69,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,3.16972271e-06,8,946685501,946685492,4,admin m1 m2 m3,8,2000-01-01 00:11:41,run/data/admin/debug.log,619
70,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,9.4776966e-06,12,946685514,946685501,4,admin m1 m2 m3,8,2000-01-01 00:11:55,run/data/admin/debug.log,633
71,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,5.15716729e-06,10,946685525,946685514,4,admin m1 m2 m3,8,2000-01-01 00:12:05,run/data/admin/debug.log,650
72,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,6.26552445e-07,5,946685532,946685525,4,admin m1 m2 m3,8,2000-01-01 00:12:12,run/data/admin/debug.log,664
73,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,m2,1.2603784e-07,4,946685538,946685532,4,admin m1 m2 m3,8,2000-01-01 00:12:19,run/data/admin/debug.log,678
74,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,2.79154129e-06,8,946685548,946685538,4,admin m1 m2 m3,8,2000-01-01 00:12:29,run/data/admin/debug.log,692
75,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,m1,3.01693775e-05,14,946685564,946685548,4,admin m1 m2 m3,8,2000-01-01 00:12:44,run/data/admin/debug.log,708
