experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run2-tbt-10s,regionale,1,10,none,true,7,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.09861229,0.96100995,9,3,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,7,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.16032087,9,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,7,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.19931091,3,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,8,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,2.19722458,0.99502607,9,1,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,8,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,1.5040774,2.08761249,9,2,12,m1,m3,
run2-tbt-10s,regionale,1,10,none,true,8,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,-0.69314718,1.09258643,1,2,12,m2,m3,
run2-tbt-10s,regionale,1,10,none,true,9,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,,0.97072392,11,0,12,m1,m2,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,9,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,2.39789527,2.10241612,11,1,12,m1,m3,
run2-tbt-10s,regionale,1,10,none,true,9,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.1316922,0,1,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,10,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.60943791,0.95510595,10,2,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,10,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.20071967,10,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,10,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.24561372,2,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,11,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.5040774,0.9997895,9,2,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,11,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,2.19722458,2.19587792,9,1,12,m1,m3,
run2-tbt-10s,regionale,1,10,none,true,11,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,0.69314718,1.19608842,2,1,12,m2,m3,
run2-tbt-10s,regionale,1,10,none,true,12,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,,0.967474,12,0,12,m1,m2,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,12,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.08774496,12,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,12,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.12027095,0,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,13,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.09861229,0.98031775,9,3,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,13,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.12557582,9,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,13,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.14525808,3,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,14,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,2.39789527,0.98144155,11,1,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,14,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.20980729,11,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,14,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.22836574,1,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,15,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,0.33647224,0.95490381,7,5,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,15,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.20705519,7,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,15,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.25215138,5,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,16,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.09861229,1.00954976,9,3,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,16,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.14522741,9,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,16,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.13567765,3,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,17,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.5040774,0.94683407,9,2,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,17,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,2.19722458,2.0322763,9,1,12,m1,m3,
run2-tbt-10s,regionale,1,10,none,true,17,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,0.69314718,1.08544223,2,1,12,m2,m3,
run2-tbt-10s,regionale,1,10,none,true,18,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1.60943791,0.90889708,10,2,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,18,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,2.12612619,10,0,12,m1,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,18,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,,1.21722911,2,0,12,m2,m3,not computable: a zero count in the epoch
run2-tbt-10s,regionale,1,10,none,true,19,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,-0.55961579,0.96643029,4,7,12,m1,m2,
run2-tbt-10s,regionale,1,10,none,true,19,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,1.38629436,2.26077566,4,1,12,m1,m3,
run2-tbt-10s,regionale,1,10,none,true,19,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,1ddHuTA1GMyEmio87QhyJBkR7WPUSwnavqqzM,1.94591015,1.29434537,7,1,12,m2,m3,
run2-tbt-10s,regionale,1,10,none,true,20,1KzW2ShtUjCJuvMCFeYJrHKrcGfjEj2t77aQAv,1S5cgrFXRwv4CuTTTJy8S9h42X7UwwZUUN52kq,0.33647224,0.96035486,7,5,12,m1,m2,
