send_height,kind,to_host,amount_gas
11,init,c1,100.0
11,init,c2,100.0
11,init,c3,100.0
11,init,c4,100.0
11,init,c5,100.0
11,init,m1,50.0
11,init,m2,50.0
11,init,m3,50.0
11,init,ca,50.0
67,refill,m1,100.0
73,refill,m1,100.0
73,refill,m2,100.0
85,refill,m1,100.0
98,refill,m1,100.0
98,refill,m2,100.0
108,refill,m1,100.0
108,refill,m3,100.0
123,refill,m1,100.0
134,refill,m1,100.0
134,refill,m2,100.0
145,refill,m1,100.0
161,refill,m1,100.0
161,refill,m2,100.0
173,refill,m1,100.0
184,refill,m1,100.0
195,refill,m1,100.0
195,refill,m2,100.0
205,refill,m1,100.0
221,refill,m1,100.0
221,refill,m3,100.0
231,refill,m1,100.0
231,refill,m2,100.0
243,refill,m1,100.0
255,refill,m1,100.0
255,refill,m2,100.0
267,refill,m1,100.0
282,refill,m1,100.0
292,refill,m1,100.0
292,refill,m2,100.0
304,refill,m1,100.0
314,refill,m1,100.0
314,refill,m2,100.0
324,refill,m1,100.0
329,refill,m3,100.0
339,refill,m1,100.0
349,refill,m1,100.0
349,refill,m2,100.0
361,refill,m1,100.0
378,refill,m1,100.0
378,refill,m2,100.0
389,refill,m1,100.0
400,refill,m1,100.0
411,refill,m1,100.0
411,refill,m2,100.0
422,refill,m1,100.0
437,refill,m1,100.0
437,refill,m2,100.0
437,refill,m3,100.0
