host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Paris,48.8566,2.3522
c1,1SSC2XrW9PNniKVfAx3JCNZpVNFW1DAQfiFm4j,company,m1,17.5,3,Zurich,47.3769,8.5417
c2,1bgdBC45cJoHQt1vDh2YdLX2naj9s5n42n8Q5,company,m1,77.16,4,Marseille,43.2965,5.3698
c3,1GMNEQPW8JDLYbPsyfnKhv4RKdRhpiGNa3P9Zo,company,m2,99.26,5,Amsterdam,52.3676,4.9041
c4,18pe3itSBY7SpsRAvT1vdKtLA2jcrWRfPTNLku,company,m2,92.76,6,Warszawa,52.2297,21.0122
c5,1ZPKsqPFkrpVzhBzVbQPBbTxSQqwDgsWSSaFew,company,m3,70.53,9,Lisboa,38.7223,-9.1393
ca,,ca,,,8,London,51.5074,-0.1278
m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,miner,m1,85.56,0,HUB_IT_Milano,45.4642,9.19
m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,miner,m2,26.46,1,HUB_DE_Frankfurt,50.1109,8.6821
m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,miner,m3,24.17,2,HUB_ES_Madrid,40.4168,-3.7038
