experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,epoch,epoch_buried,epoch_start_height,epoch_end_height,epoch_measured_start_height,n_blocks_epoch,n_rounds_with_scores,validator_host,validator_address,O_i,E_i_expected,p_theoretical_blockweighted,p_theoretical_start,p_theoretical_end,share_changed_within_epoch,p_observed,w_raw_start,w_raw_end,w_eff_start,w_eff_end,n_delays_logged,delay_mean_s,delay_min_s,delay_max_s,delay_pos_in_band_mean,n_rounds_theoretical_argmin,n_rounds_theoretical_argmin_lost,n_rounds_won_not_argmin,n_forks_epoch,n_competing_blocks_epoch,n_rejects_epoch
run3-tbt-5s,1,continentale,5,none,true,12,9,1,96,107,99,9,9,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,2,0.780527,0.086725,0.084935,0.088158,1,0.222222,7531,8243,7531.0,8243.0,9,6.5741,3.21,7.533,0.8148,2,1,1,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,9,1,96,107,99,9,9,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,4,2.164893,0.240544,0.231594,0.247703,1,0.444444,20535,23161,20535.0,23161.0,9,6.2557,3.503,7.533,0.7511,3,0,1,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,9,1,96,107,99,9,9,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,3,6.054579,0.672731,0.683471,0.664139,1,0.333333,60602,62099,60602.0,62099.0,9,5.7663,3.807,7.482,0.6533,4,2,1,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,10,1,108,119,108,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,2,1.094161,0.09118,0.088158,0.095412,1,0.166667,8243,9948,8243.0,9948.0,12,6.4183,3.766,7.367,0.7837,3,1,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,10,1,108,119,108,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,0,2.962295,0.246858,0.247703,0.245674,1,0.0,23161,25615,23161.0,25615.0,12,6.6646,3.777,7.367,0.8329,0,0,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,10,1,108,119,108,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,10,7.943543,0.661962,0.664139,0.658914,1,0.833333,62099,68701,62099.0,68701.0,12,5.2808,2.54,7.017,0.5562,9,0,1,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,11,1,120,131,120,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,3,1.168627,0.097386,0.095412,0.100149,1,0.25,9948,9948,9948.0,9948.0,12,6.4955,3.919,7.356,0.7991,2,0,1,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,11,1,120,131,120,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,2,3.017742,0.251478,0.245674,0.259604,1,0.166667,25615,25787,25615.0,25787.0,12,6.1689,3.724,7.344,0.7338,3,1,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,11,1,120,131,120,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,7,7.813632,0.651136,0.658914,0.640247,1,0.583333,68701,63597,68701.0,63597.0,12,5.3572,2.683,7.262,0.5714,7,1,1,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,12,1,132,143,132,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,0.987643,0.082304,0.100149,0.05732,1,0.083333,9948,5826,9948.0,5826.0,12,7.0759,4.339,7.45,0.9152,2,1,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,12,1,132,143,132,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,1,3.077314,0.256443,0.259604,0.252017,1,0.083333,25787,25615,25787.0,25615.0,12,6.3826,2.517,7.433,0.7765,2,1,0,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,12,1,132,143,132,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,10,7.935044,0.661254,0.640247,0.690663,1,0.833333,63597,70199,63597.0,70199.0,12,5.0259,2.745,7.285,0.5052,8,0,2,1,1,0
run3-tbt-5s,1,continentale,5,none,true,12,13,1,144,155,144,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,3,0.889797,0.07415,0.05732,0.097711,1,0.25,5826,9948,5826.0,9948.0,12,6.8042,4.073,7.408,0.8608,1,0,2,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,13,1,144,155,144,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,2,2.90158,0.241798,0.252017,0.227492,1,0.166667,25615,23161,25615.0,23161.0,12,6.7074,3.214,7.413,0.8415,3,1,0,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,13,1,144,155,144,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,7,8.208623,0.684052,0.690663,0.674796,1,0.583333,70199,68701,70199.0,68701.0,12,5.7327,2.463,7.294,0.6465,8,2,1,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,14,1,156,167,156,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,1.142883,0.09524,0.097711,0.091781,1,0.0,9948,9948,9948.0,9948.0,12,7.0467,4.56,7.494,0.9093,0,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,14,1,156,167,156,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,0,2.895254,0.241271,0.227492,0.260561,1,0.0,23161,28242,23161.0,28242.0,12,6.6815,4.697,7.431,0.8363,0,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,14,1,156,167,156,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,12,7.961863,0.663489,0.674796,0.647658,1,1.0,68701,70199,68701.0,70199.0,12,4.4732,2.472,6.209,0.3946,12,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,15,1,168,179,168,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,0.977434,0.081453,0.091781,0.066994,1,0.0,9948,5826,9948.0,5826.0,12,6.8405,4.95,7.548,0.8681,2,2,0,3,3,0
run3-tbt-5s,1,continentale,5,none,true,12,15,1,168,179,168,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,1,3.004605,0.250384,0.260561,0.236135,1,0.083333,28242,20535,28242.0,20535.0,12,6.458,4.37,7.483,0.7916,1,0,0,3,3,0
run3-tbt-5s,1,continentale,5,none,true,12,15,1,168,179,168,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,11,8.017961,0.668163,0.647658,0.696871,1,0.916667,70199,60602,70199.0,60602.0,12,4.6792,2.505,6.456,0.4358,9,0,2,3,3,0
run3-tbt-5s,1,continentale,5,none,true,12,16,1,180,191,180,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,0.991393,0.082616,0.066994,0.104487,1,0.083333,5826,9948,5826.0,9948.0,12,6.9113,5.158,7.383,0.8823,1,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,16,1,180,191,180,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,1,2.869281,0.239107,0.236135,0.243267,1,0.083333,20535,23161,20535.0,23161.0,12,6.6321,4.137,7.383,0.8264,0,0,1,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,16,1,180,191,180,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,10,8.139326,0.678277,0.696871,0.652246,1,0.833333,60602,62099,60602.0,62099.0,12,5.3583,3.323,7.451,0.5717,11,1,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,17,1,192,203,192,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,1.200947,0.100079,0.104487,0.093908,1,0.083333,9948,9948,9948.0,9948.0,12,6.8845,3.354,7.397,0.8769,1,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,17,1,192,203,192,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,3,2.919997,0.243333,0.243267,0.243425,1,0.25,23161,25787,23161.0,25787.0,12,6.2533,2.528,7.349,0.7507,3,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,17,1,192,203,192,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,8,7.879056,0.656588,0.652246,0.662667,1,0.666667,62099,70199,62099.0,70199.0,12,5.3042,2.461,7.038,0.5608,8,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,18,1,204,215,204,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,0.96877,0.080731,0.093908,0.062284,1,0.083333,9948,5826,9948.0,5826.0,12,6.7519,4.888,7.4,0.8504,1,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,18,1,204,215,204,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,3,3.073176,0.256098,0.243425,0.27384,1,0.25,25787,25615,25787.0,25615.0,12,6.6882,2.927,7.4,0.8376,2,0,1,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,18,1,204,215,204,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,8,7.958053,0.663171,0.662667,0.663876,1,0.666667,70199,62099,70199.0,62099.0,12,5.3424,3.421,7.295,0.5685,9,1,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,19,1,216,227,216,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,0.917457,0.076455,0.062284,0.096295,1,0.0,5826,9948,5826.0,9948.0,12,6.9404,3.51,7.35,0.8881,1,1,0,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,19,1,216,227,216,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,6,3.037849,0.253154,0.27384,0.224194,1,0.5,25615,23161,25615.0,23161.0,12,5.9162,2.694,7.35,0.6832,6,2,2,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,19,1,216,227,216,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,6,8.044694,0.670391,0.663876,0.679512,1,0.5,62099,70199,62099.0,70199.0,12,5.9969,4.402,7.311,0.6994,5,2,3,2,2,0
run3-tbt-5s,1,continentale,5,none,true,12,20,1,228,239,228,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,1.132965,0.094414,0.096295,0.091781,1,0.083333,9948,9948,9948.0,9948.0,12,6.9406,4.111,7.333,0.8881,1,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,20,1,228,239,228,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,5,2.872163,0.239347,0.224194,0.260561,1,0.416667,23161,28242,23161.0,28242.0,12,6.2496,3.564,7.328,0.7499,5,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,20,1,228,239,228,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,6,7.994872,0.666239,0.679512,0.647658,1,0.5,70199,70199,70199.0,70199.0,12,5.9313,4.113,7.284,0.6863,6,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,21,1,240,251,240,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,0,1.050272,0.087523,0.091781,0.081562,1,0.0,9948,7531,9948.0,7531.0,12,7.2283,5.965,7.498,0.9456,1,1,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,21,1,240,251,240,12,12,m2,19EEeSY2KeYEN5fm97hBm6Egx4Qu8ShLcWD9iS,2,3.078114,0.256509,0.260561,0.250837,1,0.166667,28242,23161,28242.0,23161.0,12,5.9043,3.48,7.459,0.6809,2,0,0,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,21,1,240,251,240,12,12,m1,1Z3VEAVVVNdushdAEx1zY2ufwRC6JUZYLedtDs,10,7.871614,0.655968,0.647658,0.667602,1,0.833333,70199,61643,70199.0,61643.0,12,4.3628,2.361,7.364,0.3726,9,0,1,0,0,0
run3-tbt-5s,1,continentale,5,none,true,12,22,1,252,263,252,12,12,m3,16DXgBMMssAC9UUE4fZDpJUNaRG6wpVbEBV2Lj,1,1.018892,0.084908,0.081562,0.089592,1,0.083333,7531,8243,7531.0,8243.0,12,7.2068,4.861,7.541,0.9414,1,0,0,1,1,0
