host,height,besthash,hash_at_reference,peers,balance_gas
admin,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,999307.2235
m1,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,108.0207
m2,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,49.8294
m3,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,21.3348
c1,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,85.986
c2,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,90.5896
c3,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,92.8918
c4,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,94.2948
c5,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,95.4136
ca,421,00e7782d2697d06429e14e281f950b2c77b74bdb077b51330463acda1d823ad7,0070ca0aeb2e2ec99937a09734f90de74ea5ccdc24023758351b1da965344925,9,49.3572
