experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,height,epoch,epoch_buried,n_candidates_logged,n_candidates_with_weight,all_candidates_logged,winner_observed_host,winner_observed_address,winner_observed_logged_score,winner_theoretical_argmin_delay_host,winner_theoretical_argmin_score_host,argmin_delay_equals_argmin_score,winner_matches_theoretical_argmin,inversion,observed_winner_rank_by_delay,delay_min_s,delay_winner_s,margin_G_logged_s,margin_G_recomputed_s,inversion_gap_s,score_min,score_gap_2_1,W_tot_effective,W_tot_minus_argmin_weff,weff_argmin_score,p_observed_winner,phi_s,phi_identical_across_nodes,block_time,parent_time,dt_prev_s,scheduler_residual_s,verify_delay_floor_s,time_bar_slack_s,time_bar_ok,verify_parent_matches_chain,fork_detected,n_competing_blocks,competing_hashes,n_rejects,txcount,streak_length_so_far,winner_repeats_previous,n_candidates_delay_recompute_mismatch
run3-tbt-5s,1,intercontinentale,5,none,true,12,99,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,5.525,5.525,1.737,1.7373,0.0,9.75260947e-06,2.223054563e-05,95245.0,33146.0,62099.0,0.651992,0.0,1,946685302,946685295,7,1.475,5,2,1,1,0,0,,0,5,1,,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,100,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,3.138,3.138,4.236,4.2366,0.0,1.43233162e-06,3.722924778e-05,95245.0,33146.0,62099.0,0.651992,0.0,1,946685305,946685302,3,-0.138,3,0,1,1,0,0,,0,1,2,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,101,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,3.011,3.011,4.414,4.4135,0.0,1.0940169e-06,4.08881943e-05,95245.0,33146.0,62099.0,0.651992,0.083,1,946685308,946685305,3,-0.011,3,0,1,1,0,0,,0,3,3,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,102,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,6.331,6.331,1.191,1.1903,0.0,1.49662464e-05,4.8603603899999996e-05,95245.0,33146.0,62099.0,0.651992,0.167,1,946685315,946685308,7,0.669,6,1,1,1,0,0,,0,4,4,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,103,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,2.718,2.718,4.69,4.6908,0.0,4.20407042e-07,4.0865243958000003e-05,89380.0,28778.0,60602.0,0.678026,0.167,1,946685318,946685315,3,0.282,2,1,1,1,0,0,,0,4,5,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,104,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,5.496,5.496,2.035,2.0344,0.0,1.00457446e-05,7.41947662e-05,89380.0,28778.0,60602.0,0.678026,0.167,1,946685324,946685318,6,0.504,5,1,1,1,0,0,,0,3,6,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,105,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m2,m2,1,0,1,2,6.49,6.492,0.002,0.0022,0.002,1.73535266e-05,2.3840699999998655e-08,89380.0,68845.0,20535.0,0.678026,0.25,1,946685330,946685324,6,-0.492,6,0,1,1,0,0,,0,2,7,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,106,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,4.659,4.659,2.891,2.8901,0.0,6.1307529e-06,9.696071709999999e-05,89380.0,28778.0,60602.0,0.678026,0.25,1,946685336,946685330,6,1.341,4,2,1,1,0,0,,0,4,8,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,107,9,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,3.941,3.941,3.529,3.5299,0.0,3.85452273e-06,6.285021197000001e-05,89380.0,28778.0,60602.0,0.678026,-0.083,1,946685340,946685336,4,0.059,3,1,1,1,0,0,,0,4,9,1,0
run3-tbt-5s,1,intercontinentale,5,none,true,12,108,10,1,3,3,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,1,m1,m1,1,1,0,1,3.275,3.275,4.124,4.1244,0.0,1.83958414e-06,4.012692276e-05,89380.0,28778.0,60602.0,0.678026,0.083,1,946685344,946685340,4,0.725,3,1,1,1,0,0,,0,1,10,1,0
