experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,epoch_buried,validator_host,validator_address,w_raw_start,w_raw_end,w_eff_start,w_eff_end,psi,p_theoretical_blockweighted,n_blocks,O_i,E_i,p_hat,wilson95_low,wilson95_high,p_theoretical_inside_wilson95,abs_error_p,share_changed_within_epoch
run3-tbt-5s,intercontinentale,1,5,none,true,9,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,20535,25615.0,20535.0,1.0,0.24716633,9,0,2.224497,0.0,0.0,0.29914505,1,0.24716633,1
run3-tbt-5s,intercontinentale,1,5,none,true,9,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,7531,8243,7531.0,8243.0,1.0,0.08637778,9,0,0.7774,0.0,0.0,0.29914505,1,0.08637778,1
run3-tbt-5s,intercontinentale,1,5,none,true,9,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,60602,62099.0,60602.0,1.0,0.66645533,9,9,5.998098,1.0,0.70085495,1.0,0,0.33354467,1
run3-tbt-5s,intercontinentale,1,5,none,true,10,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,20535,23161,20535.0,23161.0,1.0,0.2353815,12,0,2.824578,0.0,0.0,0.24249401,1,0.2353815,1
run3-tbt-5s,intercontinentale,1,5,none,true,10,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,8243,9948,8243.0,9948.0,1.0,0.09733358,12,2,1.168003,0.16666667,0.04696514,0.44803086,1,0.06933308,1
run3-tbt-5s,intercontinentale,1,5,none,true,10,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,60602,62099,60602.0,62099.0,1.0,0.66728433,12,10,8.007412,0.83333333,0.55196914,0.95303486,1,0.166049,1
run3-tbt-5s,intercontinentale,1,5,none,true,11,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,23161,23161.0,23161.0,1.0,0.23830867,12,4,2.859704,0.33333333,0.13812009,0.60937791,1,0.09502467,1
run3-tbt-5s,intercontinentale,1,5,none,true,11,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,8243,9948.0,8243.0,1.0,0.09526075,12,1,1.143129,0.08333333,0.01486509,0.35387991,1,0.01192742,1
run3-tbt-5s,intercontinentale,1,5,none,true,11,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,68701,62099.0,68701.0,1.0,0.66643058,12,7,7.997167,0.58333333,0.31951131,0.80673969,1,0.08309725,1
run3-tbt-5s,intercontinentale,1,5,none,true,12,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,20515,23161.0,20515.0,1.0,0.227312,12,2,2.727744,0.16666667,0.04696514,0.44803086,1,0.06064533,1
run3-tbt-5s,intercontinentale,1,5,none,true,12,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,8243,9948,8243.0,9948.0,1.0,0.09281483,12,2,1.113778,0.16666667,0.04696514,0.44803086,1,0.07385183,1
run3-tbt-5s,intercontinentale,1,5,none,true,12,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,68701,62099,68701.0,62099.0,1.0,0.67987317,12,8,8.158478,0.66666667,0.39062209,0.86187991,1,0.0132065,1
run3-tbt-5s,intercontinentale,1,5,none,true,13,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,20515,28242,20515.0,28242.0,1.0,0.23785417,12,2,2.85425,0.16666667,0.04696514,0.44803086,1,0.0711875,1
run3-tbt-5s,intercontinentale,1,5,none,true,13,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,9948,9948.0,9948.0,1.0,0.10093525,12,0,1.211223,0.0,0.0,0.24249401,1,0.10093525,1
run3-tbt-5s,intercontinentale,1,5,none,true,13,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,62099,70199,62099.0,70199.0,1.0,0.66121058,12,10,7.934527,0.83333333,0.55196914,0.95303486,1,0.17212275,1
run3-tbt-5s,intercontinentale,1,5,none,true,14,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,28242,23161,28242.0,23161.0,1.0,0.24929017,12,1,2.991482,0.08333333,0.01486509,0.35387991,1,0.16595683,1
run3-tbt-5s,intercontinentale,1,5,none,true,14,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,5826,9948.0,5826.0,1.0,0.07801308,12,0,0.936157,0.0,0.0,0.24249401,1,0.07801308,1
run3-tbt-5s,intercontinentale,1,5,none,true,14,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,70199,70199.0,70199.0,1.0,0.67269675,12,11,8.072361,0.91666667,0.64612009,0.98513491,1,0.24396992,1
run3-tbt-5s,intercontinentale,1,5,none,true,15,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,25615,23161.0,25615.0,1.0,0.24773017,12,2,2.972762,0.16666667,0.04696514,0.44803086,1,0.0810635,1
run3-tbt-5s,intercontinentale,1,5,none,true,15,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,5826,9948,5826.0,9948.0,1.0,0.07757258,12,1,0.930871,0.08333333,0.01486509,0.35387991,1,0.00576075,1
run3-tbt-5s,intercontinentale,1,5,none,true,15,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,70199,60145,70199.0,60145.0,1.0,0.67469725,12,9,8.096367,0.75,0.46769467,0.91105833,1,0.07530275,1
run3-tbt-5s,intercontinentale,1,5,none,true,16,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25615,25787,25615.0,25787.0,1.0,0.26428992,12,5,3.171479,0.41666667,0.19326031,0.68048869,1,0.15237675,1
run3-tbt-5s,intercontinentale,1,5,none,true,16,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,9948,9948.0,9948.0,1.0,0.102361,12,0,1.228332,0.0,0.0,0.24249401,1,0.102361,1
run3-tbt-5s,intercontinentale,1,5,none,true,16,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,60145,63597,60145.0,63597.0,1.0,0.63334908,12,7,7.600189,0.58333333,0.31951131,0.80673969,1,0.05001575,1
run3-tbt-5s,intercontinentale,1,5,none,true,17,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,25787,23161,25787.0,23161.0,1.0,0.250224,12,4,3.002688,0.33333333,0.13812009,0.60937791,1,0.08310933,1
run3-tbt-5s,intercontinentale,1,5,none,true,17,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,9948,5826,9948.0,5826.0,1.0,0.08326983,12,0,0.999238,0.0,0.0,0.24249401,1,0.08326983,1
run3-tbt-5s,intercontinentale,1,5,none,true,17,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,63597,68701,63597.0,68701.0,1.0,0.66650658,12,8,7.998079,0.66666667,0.39062209,0.86187991,1,0.00016008,1
run3-tbt-5s,intercontinentale,1,5,none,true,18,1,m2,1MHYudquDYbqcfKFeiPme4REV3zEevG9hz5JMm,23161,23161,23161.0,23161.0,1.0,0.23966492,12,5,2.875979,0.41666667,0.19326031,0.68048869,1,0.17700175,1
run3-tbt-5s,intercontinentale,1,5,none,true,18,1,m3,1azp6DNJXJxktRDqVLpMUDiVHKGQQTmFUsTbZR,5826,9948,5826.0,9948.0,1.0,0.07832567,12,0,0.939908,0.0,0.0,0.24249401,1,0.07832567,1
run3-tbt-5s,intercontinentale,1,5,none,true,18,1,m1,1ihctmEdJFVpXYNx7B1rbP9ALaeCCZpNVWv4q,68701,62099,68701.0,62099.0,1.0,0.68201,12,7,8.18412,0.58333333,0.31951131,0.80673969,1,0.09867667,1
