host,height,besthash,hash_at_reference,peers,balance_gas
admin,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,999308.2377
m1,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,7.6692
m2,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,48.8128
m3,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,26.4169
c1,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,85.9902
c2,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,90.5912
c3,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,92.8912
c4,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,94.2958
c5,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,95.4126
ca,415,00d8c35744ac0142fd33e0564008ab63516eb48b46d271f046f470d670513cf2,0027f9e9bd793997aff611158f3d2eed8ce964b4e13f3a93bae009b24b0fb4f0,9,49.3568
