experiment_id,replication_id,area,target_block_time,dumpfunction,malus_enabled,weight_epoch_length,height,epoch,epoch_buried,n_candidates_logged,n_candidates_with_weight,all_candidates_logged,winner_observed_host,winner_observed_address,winner_observed_logged_score,winner_theoretical_argmin_delay_host,winner_theoretical_argmin_score_host,argmin_delay_equals_argmin_score,winner_matches_theoretical_argmin,inversion,observed_winner_rank_by_delay,delay_min_s,delay_winner_s,margin_G_logged_s,margin_G_recomputed_s,inversion_gap_s,score_min,score_gap_2_1,W_tot_effective,W_tot_minus_argmin_weff,weff_argmin_score,p_observed_winner,phi_s,phi_identical_across_nodes,block_time,parent_time,dt_prev_s,scheduler_residual_s,verify_delay_floor_s,time_bar_slack_s,time_bar_ok,verify_parent_matches_chain,fork_detected,n_competing_blocks,competing_hashes,n_rejects,txcount,streak_length_so_far,winner_repeats_previous,n_candidates_delay_recompute_mismatch
run3-tbt-5s,1,nazionale,5,none,true,12,99,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,7.114,7.114,0.218,0.2182,0.0,3.16244463e-05,1.43827336e-05,88668.0,28066.0,60602.0,0.683471,-0.417,1,946685305,946685297,8,0.886,7,1,1,1,0,0,,0,4,1,,0
run3-tbt-5s,1,nazionale,5,none,true,12,100,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.513,5.513,1.901,1.9011,0.0,1.08896476e-05,7.3848933e-05,88668.0,28066.0,60602.0,0.683471,-0.417,1,946685312,946685305,7,1.487,5,2,1,1,0,0,,0,3,2,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,101,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,3.22,3.22,1.641,1.6411,0.0,2.01981287e-06,5.622773500000001e-06,88668.0,28066.0,60602.0,0.683471,-0.5,1,946685315,946685312,3,-0.22,3,0,1,1,0,0,,0,1,3,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,102,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.839,5.839,0.164,0.1636,0.0,1.27766742e-05,1.2081888999999997e-06,88668.0,28066.0,60602.0,0.683471,-0.25,1,946685321,946685315,6,0.161,5,1,1,1,0,0,,0,9,4,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,103,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.935,5.935,0.669,0.6687,0.0,1.30336608e-05,6.559474100000001e-06,95957.0,33858.0,62099.0,0.647154,-0.667,1,946685328,946685321,7,1.065,5,2,1,1,0,0,,0,2,5,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,104,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,2.953,2.953,1.637,1.6369,0.0,1.29933989e-06,4.82927681e-06,95957.0,33858.0,62099.0,0.647154,-0.667,1,946685331,946685328,3,0.047,2,1,1,1,0,0,,0,1,6,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,105,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m3,m3,1,0,1,2,6.197,6.524,0.327,0.3271,0.327,1.48500155e-05,3.3077371e-06,95957.0,87714.0,8243.0,0.647154,-0.5,1,946685338,946685331,7,0.476,6,1,1,1,0,0,,0,4,7,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,106,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m3,m3,1,0,1,2,6.897,7.021,0.124,0.1238,0.124,2.39360235e-05,2.9440373000000003e-06,95957.0,87714.0,8243.0,0.647154,-0.5,1,946685346,946685338,8,0.979,7,1,1,1,0,0,,0,5,8,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,107,9,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,6.636,6.636,0.634,0.6342,0.0,2.10405601e-05,3.23946646e-05,95957.0,33858.0,62099.0,0.647154,-1.0,1,946685353,946685346,7,0.364,6,1,1,1,0,0,,0,3,9,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,108,10,1,3,3,1,m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1,m2,m2,1,1,0,1,3.808,3.808,2.745,2.7454,0.0,3.7394194e-06,1.6071548700000003e-05,95957.0,70342.0,25615.0,0.266942,-1.0,1,946685359,946685353,6,2.192,3,3,1,1,0,0,,0,3,1,0,0
run3-tbt-5s,1,nazionale,5,none,true,12,109,10,1,3,3,1,m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1,m1,m1,1,0,1,2,5.523,5.995,0.472,0.4715,0.472,1.08813081e-05,3.249955899999999e-06,95957.0,33858.0,62099.0,0.266942,-1.083,1,946685366,946685359,7,1.005,5,2,1,1,0,0,,0,8,2,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,110,10,1,3,3,1,m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1,m1,m1,1,0,1,2,7.057,7.176,0.119,0.1186,0.119,3.39262244e-05,9.9558875e-06,95957.0,33858.0,62099.0,0.266942,-1.25,1,946685373,946685366,7,-0.176,7,0,1,1,0,0,,0,3,3,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,111,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.993,5.993,1.061,1.0613,0.0,1.45268608e-05,2.0163027499999995e-05,95957.0,33858.0,62099.0,0.647154,-1.333,1,946685381,946685373,8,2.007,5,3,1,1,1,1,00fd9cb600ab13d97485608633a0b437d1d05bb11aa35412cad8a3f7b580e66e,0,5,1,0,0
run3-tbt-5s,1,nazionale,5,none,true,12,112,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.15,5.15,0.593,0.5928,0.0,9.12308459e-06,3.4894926100000003e-06,95957.0,33858.0,62099.0,0.647154,-1.333,1,946685386,946685381,5,-0.15,5,0,1,1,0,0,,0,3,2,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,113,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m3,m3,1,0,1,2,5.647,6.659,1.012,1.0116,1.012,1.17497328e-05,1.0213561099999998e-05,95957.0,87714.0,8243.0,0.647154,-1.167,1,946685394,946685386,8,1.341,6,2,1,1,1,1,008f34b4d4028e287f1ba526b3672b170ac3272cfaca1c9417711ff2c24fbf74,0,4,3,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,114,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,3.801,3.801,3.006,3.0062,0.0,4.07268166e-06,2.288177464e-05,95957.0,33858.0,62099.0,0.647154,-1.583,1,946685399,946685394,5,1.199,3,2,1,1,0,0,,0,6,4,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,115,10,1,3,3,1,m2,1M2z5HwZUMH7221MNFHycGfwkoENnFENJm4KAx,1,m2,m2,1,1,0,1,2.315,2.315,2.2,2.2004,0.0,2.19588877e-07,5.650940753e-06,105934.0,80147.0,25787.0,0.243425,-1.5,1,946685403,946685399,4,1.685,2,2,1,1,0,0,,0,2,1,0,0
run3-tbt-5s,1,nazionale,5,none,true,12,116,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,3.033,3.033,4.164,4.1639,0.0,1.60803117e-06,4.132121793e-05,105934.0,35735.0,70199.0,0.662667,-1.25,1,946685407,946685403,4,0.967,3,1,1,1,0,0,,0,3,1,0,0
run3-tbt-5s,1,nazionale,5,none,true,12,117,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,4.958,4.958,1.629,1.6287,0.0,7.4321107e-06,1.18769602e-05,105934.0,35735.0,70199.0,0.662667,-1.333,1,946685413,946685407,6,1.042,4,2,1,1,0,0,,0,3,2,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,118,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.35,5.35,0.002,0.0018,0.0,9.13501587e-06,8.753049999999545e-09,105934.0,35735.0,70199.0,0.662667,-1.25,1,946685418,946685413,5,-0.35,5,0,1,1,0,0,,0,3,3,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,119,10,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,2.58,2.58,4.714,4.7136,0.0,5.44150522e-07,6.2542964778e-05,105934.0,35735.0,70199.0,0.662667,-1.0,1,946685422,946685418,4,1.42,2,2,1,1,0,0,,0,3,4,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,120,11,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,6.325,6.325,0.796,0.7963,0.0,1.4958035e-05,1.41518073e-05,105934.0,35735.0,70199.0,0.662667,-0.75,1,946685428,946685422,6,-0.325,6,0,1,1,0,0,,0,4,5,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,121,11,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,5.837,5.837,1.461,1.4611,0.0,1.1283275e-05,3.18209532e-05,105934.0,35735.0,70199.0,0.662667,-0.75,1,946685435,946685428,7,1.163,5,2,1,1,0,0,,0,4,6,1,0
run3-tbt-5s,1,nazionale,5,none,true,12,122,11,1,3,3,1,m1,1CDYMG7QEtXPWnEVVWcYX1NBF1jKK4gz6vthcp,1,m1,m1,1,1,0,1,4.408,4.408,1.966,1.9662,0.0,5.00652925e-06,1.0417997950000001e-05,105934.0,35735.0,70199.0,0.662667,-0.75,1,946685440,946685435,5,0.592,4,1,1,1,0,0,,0,5,7,1,0
