experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run3-tbt-5s,nazionale,1,5,none,true,9,m1,7,0.382153,0.198338,0.59292095,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,9,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,10,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,10,m1,9,0.23860545,0.60430162,0.68433379,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,10,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,11,m1,10,0.20307432,0.73281983,0.69581417,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,11,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,12,m3,4,0.38582658,0.48337343,1.05472908,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,12,m1,6,0.32394758,0.45780544,0.5100441,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,12,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,13,m2,4,0.5521739,0.11463843,1.39390161,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,13,m1,6,0.23622801,0.82300023,1.18523228,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,13,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,14,m1,11,0.16454288,0.88106656,0.95426088,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,14,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,15,m1,10,0.26921481,0.3925595,0.76113668,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,15,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,16,m1,9,0.24723567,0.56072945,0.96140642,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,16,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,16,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,17,m1,8,0.18619701,0.89980733,0.78502002,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run3-tbt-5s,nazionale,1,5,none,true,17,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run3-tbt-5s,nazionale,1,5,none,true,17,m2,3,0.51726063,0.29427083,1.05226526,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
