host,height,besthash,hash_at_reference,peers,balance_gas
admin,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,999303.7507
m1,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,107.4496
m2,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,21.3363
m3,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,49.5738
c1,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,89.1842
c2,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,92.7208
c3,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,94.516
c4,537,000e16afafdf609a42e51377c732f1b37288d0c382ee891c1c90e0c8bd888bab,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,95.5796
c5,537,00827567f0a6ecd4f52b0564861f5ad8ef3aa77a7256e0184b88794d5530b040,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,96.4202
ca,538,00827567f0a6ecd4f52b0564861f5ad8ef3aa77a7256e0184b88794d5530b040,00f8eef08f9c5fecf5a12a7dc4909bcf1e3efee515dae058c880c8dfafee962f,9,49.3564
