tip_height,round_height,host,window,mean_spacing_s,tblock_s,phi_s,phi_bound_s,log_timestamp,n_occurrences,source_file,source_line
143,144,admin,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:27,2,run/data/admin/debug.log,743
143,144,m1,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:22,3,run/data/m1/debug.log,635
143,144,m2,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:22,3,run/data/m2/debug.log,649
143,144,m3,12,3.167,3.000,-0.167,1.500,2000-01-01 00:07:23,3,run/data/m3/debug.log,624
144,145,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:30,2,run/data/admin/debug.log,761
144,145,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:27,3,run/data/m1/debug.log,692
144,145,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:28,3,run/data/m2/debug.log,670
144,145,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:28,3,run/data/m3/debug.log,645
145,146,admin,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:33,2,run/data/admin/debug.log,775
145,146,m1,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:29,3,run/data/m1/debug.log,858
145,146,m2,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:30,3,run/data/m2/debug.log,686
145,146,m3,12,3.250,3.000,-0.250,1.500,2000-01-01 00:07:30,3,run/data/m3/debug.log,661
146,147,admin,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:37,2,run/data/admin/debug.log,789
146,147,m1,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:33,3,run/data/m1/debug.log,874
146,147,m2,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:32,3,run/data/m2/debug.log,729
146,147,m3,12,3.333,3.000,-0.333,1.500,2000-01-01 00:07:34,3,run/data/m3/debug.log,676
147,148,admin,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:43,9,run/data/admin/debug.log,805
147,148,m1,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:38,10,run/data/m1/debug.log,889
147,148,m2,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:37,10,run/data/m2/debug.log,934
147,148,m3,12,3.417,3.000,-0.417,1.500,2000-01-01 00:07:38,10,run/data/m3/debug.log,691
148,149,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:45,2,run/data/admin/debug.log,856
148,149,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:42,3,run/data/m1/debug.log,1823
148,149,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:42,3,run/data/m2/debug.log,1366
148,149,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:42,3,run/data/m3/debug.log,1265
149,150,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:48,2,run/data/admin/debug.log,875
149,150,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:46,3,run/data/m1/debug.log,1884
149,150,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:44,3,run/data/m2/debug.log,2100
149,150,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:46,3,run/data/m3/debug.log,1326
150,151,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:51,2,run/data/admin/debug.log,889
150,151,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:48,3,run/data/m1/debug.log,2038
150,151,m2,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:49,3,run/data/m2/debug.log,2120
150,151,m3,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:49,3,run/data/m3/debug.log,1341
151,152,admin,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:56,2,run/data/admin/debug.log,903
151,152,m1,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:51,3,run/data/m1/debug.log,2280
151,152,m2,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:52,3,run/data/m2/debug.log,2135
151,152,m3,12,3.500,3.000,-0.500,1.500,2000-01-01 00:07:52,3,run/data/m3/debug.log,1356
152,153,admin,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:59,2,run/data/admin/debug.log,917
152,153,m1,12,3.583,3.000,-0.583,1.500,2000-01-01 00:07:55,3,run/data/m1/debug.log,2349
