host_a,host_b,one_way_ms,rtt_ms,hops
m1,m2,4.127,8.254,1
m1,m3,8.818,17.636,1
m1,c1,2.529,5.058,1
m1,c2,3.713,7.426,1
m1,c3,7.671,15.342,2
m1,c4,11.358,22.716,2
m1,admin,8.472,16.944,2
m1,ca,9.591,19.182,2
m1,c5,13.335,26.67,2
m2,m3,10.621,21.242,1
m2,c1,6.656,13.312,2
m2,c2,7.84,15.68,2
m2,c3,3.544,7.088,1
m2,c4,7.231,14.462,1
m2,admin,4.345,8.69,1
m2,ca,5.464,10.928,1
m2,c5,15.138,30.276,2
m3,c1,11.347,22.694,2
m3,c2,12.531,25.062,2
m3,c3,14.165,28.33,2
m3,c4,17.852,35.704,2
m3,admin,14.966,29.932,2
m3,ca,16.085,32.17,2
m3,c5,4.517,9.034,1
c1,c2,6.242,12.484,2
c1,c3,10.2,20.4,3
c1,c4,13.887,27.774,3
c1,admin,11.001,22.002,3
c1,ca,12.12,24.24,3
c1,c5,15.864,31.728,3
c2,c3,11.384,22.768,3
c2,c4,15.071,30.142,3
c2,admin,12.185,24.37,3
c2,ca,13.304,26.608,3
c2,c5,17.048,34.096,3
c3,c4,10.775,21.55,2
c3,admin,7.889,15.778,2
c3,ca,9.008,18.016,2
c3,c5,18.682,37.364,3
c4,admin,11.576,23.152,2
c4,ca,12.695,25.39,2
c4,c5,22.369,44.738,3
admin,ca,9.809,19.618,2
admin,c5,19.483,38.966,3
ca,c5,20.602,41.204,3
