experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,validator_i_host,validator_j_host,note
run4-tbt-3s,continentale,1,3,none,true,14,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1.09861229,1.0402344,9,3,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,14,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.81370613,9,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,14,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.77347172,3,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,15,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,-1.09861229,1.06174505,3,9,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,15,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.90138694,3,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,15,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.8396419,9,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,16,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,,1.05991952,12,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,16,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.75125211,12,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,16,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.69133259,0,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,17,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,,1.05375534,12,0,12,m1,m2,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,17,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,1.97366459,12,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,17,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.91990925,0,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,18,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,2.39789527,1.05323619,11,1,12,m1,m2,
run4-tbt-3s,continentale,1,3,none,true,18,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,2.02614339,11,0,12,m1,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,18,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1VuBTTQVFkVMQoHen4dKPJgUfqJY1ta899xaf7,,0.97290719,1,0,12,m2,m3,not computable: a zero count in the epoch
run4-tbt-3s,continentale,1,3,none,true,19,1PJJAyxet5ARk1XH3GjK9tVTPH3keFUewkjkfi,1VAcJXZ4zmVYXXG3RSh25pvJNoJdBeVy9ChdT6,1.09861229,1.06777695,9,3,12,m1,m2,
