sample_height,host,balance_gas
110,c1,99.8042
110,c2,99.804
110,c3,99.8042
110,c4,99.804
110,c5,99.8038
110,m1,4.3387
110,m2,21.1529
110,m3,40.3502
110,ca,49.356
119,c1,99.6076
119,c2,99.663
119,c3,99.7192
119,c4,99.7188
119,c5,99.7184
119,m1,105.0405
119,m2,21.0769
119,m3,40.2744
119,ca,49.356
129,c1,99.3844
129,c2,99.4956
129,c3,99.6078
129,c4,99.6074
129,c5,99.6628
129,m1,7.076
129,m2,9.5096
129,m3,32.4985
129,ca,49.356
139,c1,99.1608
139,c2,99.3842
139,c3,99.4964
139,c4,99.5516
139,c5,99.607
139,m1,7.1586
139,m2,45.0438
139,m3,26.4097
139,ca,49.356
147,c1,98.9368
147,c2,99.2166
147,c3,99.3848
147,c4,99.4402
147,c5,99.5512
147,m1,7.3697
147,m2,19.4136
147,m3,21.7981
147,ca,49.356
156,c1,98.713
156,c2,99.1046
156,c3,99.273
156,c4,99.3844
156,c5,99.44
156,m1,108.1731
156,m2,119.3376
156,m3,17.8198
156,ca,49.356
165,c1,98.4892
165,c2,98.937
165,c3,99.1612
165,c4,99.2726
165,c5,99.3842
165,m1,7.8895
165,m2,48.8898
165,m3,117.744
165,ca,49.356
173,c1,98.3216
173,c2,98.825
173,c3,99.0492
173,c4,99.2166
173,c5,99.3286
173,m1,7.5217
173,m2,20.6051
173,m3,94.5566
173,ca,49.356
182,c1,98.0976
182,c2,98.6576
182,c3,98.9372
182,c4,99.1046
182,c5,99.2726
182,m1,7.1593
182,m2,9.2784
182,m3,76.379
182,ca,49.356
191,c1,97.8738
191,c2,98.4898
191,c3,98.8254
191,c4,99.0488
191,c5,99.1606
191,m1,107.6195
191,m2,109.922
191,m3,76.379
191,ca,49.356
198,c1,97.6498
198,c2,98.378
198,c3,98.7134
198,c4,98.937
198,c5,99.1046
198,m1,7.2686
198,m2,45.6465
198,m3,61.3526
198,ca,49.356
206,c1,97.4258
206,c2,98.21
206,c3,98.6018
206,c4,98.881
206,c5,99.0488
206,m1,7.5538
206,m2,19.4134
206,m3,49.4371
206,ca,49.356
215,c1,97.202
215,c2,98.0982
215,c3,98.4898
215,c4,98.769
215,c5,98.993
215,m1,108.5264
215,m2,119.3078
215,m3,49.3315
215,ca,49.356
223,c1,97.0342
223,c2,97.9306
223,c3,98.4338
223,c4,98.7132
223,c5,98.9372
223,m1,7.9189
223,m2,48.7948
223,m3,39.744
223,ca,49.356
232,c1,96.8104
232,c2,97.8188
