host,address,role,cluster_head_host,esg,gml_node_id,label,lat,lon
admin,,admin,,,7,Paris,48.8566,2.3522
c1,1MZ34BZBycanzV6MQpn4kGo3igKxDeCFHrm4ys,company,m1,17.5,3,Zurich,47.3769,8.5417
c2,1LB6qUDEtPSL1cXPypZpfPq4jGZRpZVJ3UzARx,company,m1,77.16,4,Marseille,43.2965,5.3698
c3,14pmjhAXKHStX1ymPpwvt7n9i412fia61DZFdB,company,m2,99.26,5,Amsterdam,52.3676,4.9041
c4,1TFFyiBbp1YeJiDAG9heTHahno55ikaZcom68e,company,m2,92.76,6,Warszawa,52.2297,21.0122
c5,1Zf6vhjhrZjDD8A5EitQbbxXVqtZKz5YEQ5i7C,company,m3,70.53,9,Toronto,43.6532,-79.3832
ca,,ca,,,8,London,51.5074,-0.1278
m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,miner,m1,85.56,0,HUB_IT_Milano,45.4642,9.19
m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,miner,m2,26.46,1,HUB_DE_Frankfurt,50.1109,8.6821
m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,miner,m3,24.17,2,HUB_US_New_York,40.7128,-74.006
