height,signer_address,signer_host,score,delay_floor_s,ntime,parent_ntime,n_hosts_seen,hosts_seen,n_lines,first_log_timestamp,first_source_file,first_source_line
144,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1.11978262e-05,2,946685245,946685242,4,admin m1 m2 m3,8,2000-01-01 00:07:27,run/data/admin/debug.log,805
145,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,9.33112954e-06,2,946685250,946685245,4,admin m1 m2 m3,8,2000-01-01 00:07:31,run/data/admin/debug.log,819
146,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,3.33451233e-06,2,946685253,946685250,4,admin m1 m2 m3,8,2000-01-01 00:07:34,run/data/admin/debug.log,833
147,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,2.71535763e-05,3,946685258,946685253,4,admin m1 m2 m3,8,2000-01-01 00:07:38,run/data/admin/debug.log,847
148,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,2.06272508e-05,3,946685262,946685258,4,admin m1 m2 m3,8,2000-01-01 00:07:43,run/data/admin/debug.log,861
149,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.39874174e-06,1,946685264,946685262,4,admin m1 m2 m3,8,2000-01-01 00:07:45,run/data/admin/debug.log,877
150,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,4.11469182e-06,2,946685267,946685264,4,admin m1 m2 m3,8,2000-01-01 00:07:47,run/data/admin/debug.log,892
151,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,5.11592645e-06,2,946685270,946685267,4,admin m1 m2 m3,8,2000-01-01 00:07:50,run/data/admin/debug.log,906
152,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.04685727e-05,2,946685273,946685270,4,admin m1 m2 m3,8,2000-01-01 00:07:54,run/data/admin/debug.log,920
153,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,2.26763866e-05,3,946685278,946685273,4,admin m1 m2 m3,8,2000-01-01 00:07:58,run/data/admin/debug.log,934
154,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,5.36799588e-06,2,946685281,946685278,4,admin m1 m2 m3,8,2000-01-01 00:08:01,run/data/admin/debug.log,951
155,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,9.72418864e-06,2,946685285,946685281,4,admin m1 m2 m3,11,2000-01-01 00:08:05,run/data/admin/debug.log,965
155,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,2.78231965e-05,3,946685285,946685281,4,admin m1 m2 m3,9,2000-01-01 00:08:06,run/data/admin/debug.log,976
156,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,8.71318377e-05,4,946685289,946685285,4,admin m1 m2 m3,11,2000-01-01 00:08:10,run/data/admin/debug.log,995
156,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1.1191605e-05,3,946685290,946685285,4,admin m1 m2 m3,9,2000-01-01 00:08:10,run/data/admin/debug.log,1006
157,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,4.144199e-05,4,946685294,946685289,4,admin m1 m2 m3,14,2000-01-01 00:08:14,run/data/admin/debug.log,1026
157,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,4.11804451e-05,4,946685294,946685290,4,admin m1 m2 m3,12,2000-01-01 00:08:14,run/data/admin/debug.log,1037
157,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,4.35526531e-05,4,946685294,946685289,4,admin m1 m2 m3,10,2000-01-01 00:08:15,run/data/admin/debug.log,1053
158,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,4.44114983e-06,2,946685296,946685294,4,admin m1 m2 m3,8,2000-01-01 00:08:17,run/data/admin/debug.log,1077
159,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,4.10557653e-06,2,946685299,946685296,4,admin m1 m2 m3,8,2000-01-01 00:08:19,run/data/admin/debug.log,1095
160,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.81206589e-05,3,946685303,946685299,4,admin m1 m2 m3,8,2000-01-01 00:08:23,run/data/admin/debug.log,1109
161,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,9.35776486e-06,2,946685306,946685303,4,admin m1 m2 m3,8,2000-01-01 00:08:26,run/data/admin/debug.log,1123
162,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.97785884e-07,1,946685308,946685306,4,admin m1 m2 m3,8,2000-01-01 00:08:29,run/data/admin/debug.log,1138
163,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.20204679e-05,3,946685312,946685308,4,admin m1 m2 m3,8,2000-01-01 00:08:32,run/data/admin/debug.log,1152
164,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.11289375e-05,3,946685315,946685312,4,admin m1 m2 m3,8,2000-01-01 00:08:35,run/data/admin/debug.log,1166
165,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,3.9577397e-05,4,946685320,946685315,4,admin m1 m2 m3,8,2000-01-01 00:08:40,run/data/admin/debug.log,1180
166,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1.72019368e-05,3,946685324,946685320,4,admin m1 m2 m3,8,2000-01-01 00:08:44,run/data/admin/debug.log,1195
167,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,3.39943488e-05,4,946685328,946685324,4,admin m1 m2 m3,8,2000-01-01 00:08:49,run/data/admin/debug.log,1209
168,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,4.08426898e-06,2,946685331,946685328,4,admin m1 m2 m3,8,2000-01-01 00:08:51,run/data/admin/debug.log,1223
