txid,publisher_address,publisher_host,node_address,node_host,weight,epoch_tag,height_payload,timestamp_payload,blocktime,confirmations,confirm_height,confirm_height_source
4c015c44cc5c18b0ca7a9747f1a24b2e19d9e9fcfcdb89d4f2921be1f382f4a3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1,6,85,946685064,946685066,450,86,txs.log UpdateTx
6ce2a2aeb9464bd521f1ef8ce6f26369ff3dbacb6d1d5378fcf83b2a2792e056,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1,6,85,946685064,946685066,450,86,txs.log UpdateTx
36bbeba1949e5f46c484b98794a6687d33615ece72470ba1424dcd526937bf66,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1,6,85,946685064,946685066,450,86,txs.log UpdateTx
3907af73de6329d63384051b43cf5f0d7c32bd4b21c27711ead38105c0b2b7b3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,3269,8,101,946685112,946685116,434,102,txs.log UpdateTx
cec399aaa3e737cb9af3d2fd15213ea74e0147b76f1179b58960fd8f443aad2e,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,5186,8,101,946685115,946685116,434,102,txs.log UpdateTx
86e4594c0b16862741d3f327caac07da82be81023bf6c0fda0d6d26431adb980,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,12606,8,101,946685115,946685116,434,102,txs.log UpdateTx
4e39423b236398006df159bd132e76dc0db20c243ad1a83bfbc2c179b56cfd25,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,4278,9,113,946685148,946685151,422,114,txs.log UpdateTx
c17246f08f81173cebe8093379df7cbb60d093249107606ab32155b94efa2729,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1323,9,113,946685148,946685151,422,114,txs.log UpdateTx
9cfb7b3d965bdb3180fae3c9d46bd5eba53a8ffb2b0ccc05118e11bb6702926a,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1209,9,113,946685148,946685151,422,114,txs.log UpdateTx
cbde46a80e77f381a1a11a3835c9b2567108b3f3c0ce686d2c8c649e0a90b502,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,21453,10,125,946685187,946685188,410,126,txs.log UpdateTx
6c61d31c85451a64b1c1e72e1ee3a604e9a9510ef05f4c457cf7dc413be76091,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,7727,10,125,946685187,946685188,410,126,txs.log UpdateTx
809db65c04d89071c9baabbc095fc68c1d6acb2a1ff713bb06eea95adc886284,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,4122,10,125,946685187,946685188,410,126,txs.log UpdateTx
63635dabc8facd1a9c7653655baa63be7c681d72667d94f73d7a518cad85a66c,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,6539,11,137,946685223,946685226,398,138,txs.log UpdateTx
814d2fa0aa147465aac263f07624c701845cdbf894d401bd0020b467683e97a2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,15454,11,138,946685226,946685228,397,139,txs.log UpdateTx
60891177a64db5693821f8c5ec945a9b76df37d3d9c20b613f8d354d4bc561b3,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,42907,11,137,946685226,946685228,397,139,txs.log UpdateTx
0170f2870c53e8b6eac1457dbb50193b10b683961c56baf7b9097e37462c0c8c,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,44404,12,149,946685265,946685267,386,150,txs.log UpdateTx
4fc527eeb22587e2b0f093e778f62649d2111d698bdd3a3bbb52e59e30133f7c,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,18080,12,149,946685265,946685267,386,150,txs.log UpdateTx
13dce5f0f47cf257e210884d9df3a15e001d0622a6e29676588bb6247d95ee8a,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,8243,12,149,946685265,946685267,386,150,txs.log UpdateTx
1c7573381f48203853ab442a59df6f3441fbb6f3cd45bdf4d2909de013f6c7bb,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,52503,13,161,946685307,946685308,374,162,txs.log UpdateTx
1746cd5c43886f1375a306567b96c5ebbd5c34c735806ab4065712c0d732d5f5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,6539,13,161,946685307,946685308,374,162,txs.log UpdateTx
c7e3784e103d3ac0e1b213cc5e97e64ce0d963af7ba5d5a6c1582a3ba89dd191,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,8243,14,173,946685352,946685354,362,174,txs.log UpdateTx
1cba8bbac930a77ccbbd97eab5663b17d823871ee072202db3675f3e1b8429ff,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,12808,14,173,946685352,946685354,362,174,txs.log UpdateTx
bef03f42554270847d25dc45aa207d5e76982b8e9f4abcbc2689617dced12c44,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,44404,14,173,946685352,946685354,362,174,txs.log UpdateTx
0cd2f3eafa22b62a67dcfd7b6726a930c87c2c693548cde43cdefb9e6736ad6b,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,18080,15,185,946685394,946685396,350,186,txs.log UpdateTx
5e339ced939c1d9e42f1ec1904dbee8cc74b98c9fa5b8711462ad7db605766f2,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,51006,15,185,946685394,946685396,350,186,txs.log UpdateTx
31209c64a517180d95fe76683261d2e03559b8dc22ecaf5dc40ebd1271d03b77,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,45901,16,197,946685442,946685445,338,198,txs.log UpdateTx
f7e2363f7e8b74431f74ee00888eb79593267308a2e278d45cf15816b19eb002,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,5826,16,197,946685442,946685445,338,198,txs.log UpdateTx
5b142bfec306c65a35f7a9ab7b0d001b7eb84c249b37daa8744121d94fbe2acb,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,52503,17,209,946685487,946685489,326,210,txs.log UpdateTx
8a64656c7a0781c5fb4e018a078856069aef497572b880a78a867bd99a2a09bd,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,17889,17,209,946685487,946685489,326,210,txs.log UpdateTx
b2c36f6af34f8789400419323acc1d5184f0ba461a2a94497cb8df3d8380d786,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,6539,17,209,946685487,946685489,326,210,txs.log UpdateTx
cc74645bfc4d23f6edd5a37e84e1d1cafb59f8c3a58733c8aa232bd56efd1dfa,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,51006,18,221,946685529,946685532,314,222,txs.log UpdateTx
88489979a530507d80d7aaddc7538b45a45aa50f241d807a7165bc78abdf1313,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,15454,18,221,946685529,946685532,314,222,txs.log UpdateTx
6179b86b507a7cf4bcf2ee211b066b455ccec29dc6bbf50e018bc3f0d8d9da15,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,8243,18,221,946685532,946685536,313,223,txs.log UpdateTx
d7b0d5c25f8c5d26b476c3117848aab4ea2787c62d3152a840904fdd81386d30,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,44404,19,233,946685571,946685572,302,234,txs.log UpdateTx
319c121ab8d9ce7edd8d716505487e567c42df63bec854c96e2501c0e58a732d,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,18080,19,233,946685571,946685572,302,234,txs.log UpdateTx
91999dd399c2357bea16a7f2b0202db860b2e78712dafba5b83dcdd391446ca9,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,51006,20,245,946685610,946685613,290,246,txs.log UpdateTx
99720374113f62154b2877c1ca05fbc126a9f00f12d5599faa74ef0d246d8547,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,15454,20,245,946685610,946685613,290,246,txs.log UpdateTx
8ae9b4c2b0f1d4717a0fc77317ed8eb60426ed8c8d5ddfc7e703d4ea5faf9195,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,4122,20,245,946685610,946685613,290,246,txs.log UpdateTx
a95041fdc4751a7671da98abced2f5df126f7b2efa767e90c95d73e53da0f6f8,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,45901,21,257,946685655,946685658,278,258,txs.log UpdateTx
bb94f72e6568304a0a1d0205a38b92fec055a93a4601bd1aebb1a9c3c83c7fe6,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,18080,21,257,946685655,946685658,278,258,txs.log UpdateTx
595bef332e37402128fbafd6a00889b81c7f5fc9ec0e52a1e2376b73face2947,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,8243,21,257,946685655,946685658,278,258,txs.log UpdateTx
70bf7a2cf82abd9024eaea51f88bda049729c15cd2a95072513cca9b4c6c76d3,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,51006,22,269,946685697,946685701,266,270,txs.log UpdateTx
145aee42985df1933a6d9a5bb616d85c794c3ace2bad94e452d7c26bea0d62ed,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,52503,23,281,946685739,946685742,254,282,txs.log UpdateTx
2e9d206acc981c42de8c9acc1a505d936e525d19adaefa04bfd8e8e268bd1946,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,15434,23,281,946685739,946685742,254,282,txs.log UpdateTx
90e936f2add2af2a3a4e3a617419d0ef32742d226c0b9f637579ef0947bc9902,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,5826,23,281,946685739,946685742,254,282,txs.log UpdateTx
2f8a7ab0579157f9107435f5c1163e83d7affdbe6d565179ded2dbcb6daaa273,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,42907,24,293,946685778,946685779,242,294,txs.log UpdateTx
88d48943bba4917dd121724132d07410571574be7101805959aae0c1eebf3eb5,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,15454,24,293,946685778,946685779,242,294,txs.log UpdateTx
0231b6b7c251f74621cb49f7c84924cdf0fda2ea501fcecc6b5b0551df0865e4,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,6539,24,293,946685778,946685779,242,294,txs.log UpdateTx
13ff02e1fb07f6370ebd180846f0a6da9f8fac8a92fbffcb4a358ddce87d9148,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,44404,25,305,946685814,946685816,230,306,txs.log UpdateTx
d3572d303672936c786ab489b7189d9c649be136a6e5e03ac53d53f2064e98a7,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,8243,25,305,946685814,946685816,230,306,txs.log UpdateTx
ca56a503f25d66818ca174675d547b936434e5581f405bc371d09d017331bd8a,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,15434,26,317,946685856,946685860,218,318,txs.log UpdateTx
e554e579026a3d933e56f032d1eb49cca2681a27119094cb863b4eeee8af3580,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,m3,6539,26,317,946685857,946685860,218,318,txs.log UpdateTx
2edb59b3beab175566f5c14b9fb85f997b75d9dcb38833b3538394153f97f677,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,m1,43947,27,329,946685904,946685908,206,330,txs.log UpdateTx
46df0052e288b9861ee6f0ec72c52fc8c7b358d2af8915913e2f57043a15c3e7,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,m2,18080,27,329,946685904,946685908,206,330,txs.log UpdateTx
