experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,validator_i,validator_j,log_ratio_observed,log_ratio_theoretical,O_i,O_j,B,note,validator_i_host,validator_j_host
run4-tbt-3s,intercontinentale,1,3,none,true,14,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.87080135,0,1,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,14,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-0.96822426,0,11,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,14,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-2.39789527,-1.83902561,1,11,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,15,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.76149562,0,3,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,15,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.13597208,0,9,12,not computable: a zero count in the epoch,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,15,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,-1.09861229,-1.89746771,3,9,12,,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,16,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.58488585,9,0,12,not computable: a zero count in the epoch,m2,m3
run4-tbt-3s,intercontinentale,1,3,none,true,16,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,1.09861229,-1.15358563,9,3,12,,m2,m1
run4-tbt-3s,intercontinentale,1,3,none,true,16,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,1X6UMfyYAa2CneQRWw6ESrCuLmu9JzSVF142bA,,-1.73847148,0,3,12,not computable: a zero count in the epoch,m3,m1
run4-tbt-3s,intercontinentale,1,3,none,true,17,1EjTSBbBL4yFpTtoME9NpC8UpK1PLnzA3NnRS5,1QgfFWVY65u3QeYVETh4jPoFqBBL2MwgpBFZvm,,0.92415608,5,0,12,not computable: a zero count in the epoch,m2,m3
