experiment_id,area,replication_id,target_block_time,dumpfunction,malus_enabled,epoch,argmin_class_host,n,ks_stat,ks_p,mean_gap_x_rate,expected_mean,note
run4-tbt-3s,intercontinentale,1,3,none,true,13,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,13,m1,8,0.2476919,0.62439649,0.72105495,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,13,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,14,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,14,m1,9,0.29401174,0.34751122,0.90701231,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,14,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,15,m1,9,0.1765777,0.89796615,0.84291023,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,15,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,15,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,16,m1,6,0.40882441,0.20342778,0.40953781,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,16,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,16,m2,4,0.25923406,0.8845973,0.73882184,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,17,m1,8,0.35134766,0.21791278,0.78177161,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,17,m2,4,0.31139061,0.73478329,0.68208842,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,18,m1,10,0.28196757,0.33818172,1.22195073,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,18,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,18,m2,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,19,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,19,m2,5,0.27114918,0.77362229,1.01721148,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,19,m1,6,0.22728499,0.85470537,1.62205687,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,20,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,20,m1,8,0.39153693,0.12933456,1.53627766,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,20,m2,3,0.38354832,0.64034749,1.12308324,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,21,m3,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,21,m1,10,0.29705483,0.28086902,1.20993571,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,22,m1,9,0.33717631,0.20505077,1.6274188,1.0,"gap standardised by (W - w_i) of its round, tested against Exp(1)"
run4-tbt-3s,intercontinentale,1,3,none,true,22,m2,2,,,,,not computable: n < 3 or W - w_i <= 0
run4-tbt-3s,intercontinentale,1,3,none,true,22,m3,1,,,,,not computable: n < 3 or W - w_i <= 0
